Comunidades autónomas;Tipo de dato;Periodo;Total
Total;Dato base;2020M01;4138371
Total;Dato base;2019M12;4314612
Total;Dato base;2019M11;4664345
Total;Dato base;2019M10;7624486
Total;Dato base;2019M09;8914761
Total;Dato base;2019M08;10121985
Total;Dato base;2019M07;9887047
Total;Dato base;2019M06;8828499
Total;Dato base;2019M05;7952788
Total;Dato base;2019M04;7169675
Total;Dato base;2019M03;5645747
Total;Dato base;2019M02;4380126
Total;Dato base;2019M01;4195641
Total;Dato base;2018M12;4354798
Total;Dato base;2018M11;4536873
Total;Dato base;2018M10;7649860
Total;Dato base;2018M09;8932308
Total;Dato base;2018M08;10175761
Total;Dato base;2018M07;10020246
Total;Dato base;2018M06;8554306
Total;Dato base;2018M05;8086048
Total;Dato base;2018M04;6780378
Total;Dato base;2018M03;5393186
Total;Dato base;2018M02;4218047
Total;Dato base;2018M01;4106601
Total;Dato base;2017M12;3982530
Total;Dato base;2017M11;4392575
Total;Dato base;2017M10;7269931
Total;Dato base;2017M09;8877270
Total;Dato base;2017M08;10397745
Total;Dato base;2017M07;10493438
Total;Dato base;2017M06;8431975
Total;Dato base;2017M05;8002648
Total;Dato base;2017M04;7081594
Total;Dato base;2017M03;4913943
Total;Dato base;2017M02;4119137
Total;Dato base;2017M01;3905736
Total;Dato base;2016M12;3990446
Total;Dato base;2016M11;4098262
Total;Dato base;2016M10;7137723
Total;Dato base;2016M09;7932607
Total;Dato base;2016M08;10027471
Total;Dato base;2016M07;9545792
Total;Dato base;2016M06;7552758
Total;Dato base;2016M05;7111154
Total;Dato base;2016M04;6086327
Total;Dato base;2016M03;4627206
Total;Dato base;2016M02;3678726
Total;Dato base;2016M01;3526537
Total;Dato base;2015M12;3512914
Total;Dato base;2015M11;3754802
Total;Dato base;2015M10;6432341
Total;Tasa de variación anual;2020M01;-136
Total;Tasa de variación anual;2019M12;-092
Total;Tasa de variación anual;2019M11;281
Total;Tasa de variación anual;2019M10;-033
Total;Tasa de variación anual;2019M09;-020
Total;Tasa de variación anual;2019M08;-053
Total;Tasa de variación anual;2019M07;-133
Total;Tasa de variación anual;2019M06;321
Total;Tasa de variación anual;2019M05;-165
Total;Tasa de variación anual;2019M04;574
Total;Tasa de variación anual;2019M03;468
Total;Tasa de variación anual;2019M02;384
Total;Tasa de variación anual;2019M01;217
Total;Tasa de variación anual;2018M12;935
Total;Tasa de variación anual;2018M11;329
Total;Tasa de variación anual;2018M10;523
Total;Tasa de variación anual;2018M09;062
Total;Tasa de variación anual;2018M08;-213
Total;Tasa de variación anual;2018M07;-451
Total;Tasa de variación anual;2018M06;145
Total;Tasa de variación anual;2018M05;104
Total;Tasa de variación anual;2018M04;-425
Total;Tasa de variación anual;2018M03;975
Total;Tasa de variación anual;2018M02;240
Total;Tasa de variación anual;2018M01;514
Total;Tasa de variación anual;2017M12;-020
Total;Tasa de variación anual;2017M11;718
Total;Tasa de variación anual;2017M10;185
Total;Tasa de variación anual;2017M09;1191
Total;Tasa de variación anual;2017M08;369
Total;Tasa de variación anual;2017M07;993
Total;Tasa de variación anual;2017M06;1164
Total;Tasa de variación anual;2017M05;1254
Total;Tasa de variación anual;2017M04;1635
Total;Tasa de variación anual;2017M03;620
Total;Tasa de variación anual;2017M02;1197
Total;Tasa de variación anual;2017M01;1075
Total;Tasa de variación anual;2016M12;1359
Total;Tasa de variación anual;2016M11;915
Total;Tasa de variación anual;2016M10;1097
Total;Tasa de variación anual;2016M09;952
Total;Tasa de variación anual;2016M08;634
Total;Tasa de variación anual;2016M07;999
Total;Tasa de variación anual;2016M06;1289
Total;Tasa de variación anual;2016M05;819
Total;Tasa de variación anual;2016M04;1159
Total;Tasa de variación anual;2016M03;1545
Total;Tasa de variación anual;2016M02;1395
Total;Tasa de variación anual;2016M01;1104
Total;Tasa de variación anual;2015M12;792
Total;Tasa de variación anual;2015M11;1056
Total;Tasa de variación anual;2015M10;889
Total;Acumulado en lo que va de año;2020M01;4138371
Total;Acumulado en lo que va de año;2019M12;83701011
Total;Acumulado en lo que va de año;2019M11;79386398
Total;Acumulado en lo que va de año;2019M10;74722053
Total;Acumulado en lo que va de año;2019M09;67097568
Total;Acumulado en lo que va de año;2019M08;58182807
Total;Acumulado en lo que va de año;2019M07;48060821
Total;Acumulado en lo que va de año;2019M06;38173774
Total;Acumulado en lo que va de año;2019M05;29345275
Total;Acumulado en lo que va de año;2019M04;21392487
Total;Acumulado en lo que va de año;2019M03;14222812
Total;Acumulado en lo que va de año;2019M02;8577065
Total;Acumulado en lo que va de año;2019M01;4195641
Total;Acumulado en lo que va de año;2018M12;82808413
Total;Acumulado en lo que va de año;2018M11;78453616
Total;Acumulado en lo que va de año;2018M10;73916743
Total;Acumulado en lo que va de año;2018M09;66266882
Total;Acumulado en lo que va de año;2018M08;57334574
Total;Acumulado en lo que va de año;2018M07;47158813
Total;Acumulado en lo que va de año;2018M06;37138567
Total;Acumulado en lo que va de año;2018M05;28584261
Total;Acumulado en lo que va de año;2018M04;20498213
Total;Acumulado en lo que va de año;2018M03;13717834
Total;Acumulado en lo que va de año;2018M02;8324648
Total;Acumulado en lo que va de año;2018M01;4106601
Total;Acumulado en lo que va de año;2017M12;81868522
Total;Acumulado en lo que va de año;2017M11;77885991
Total;Acumulado en lo que va de año;2017M10;73493416
Total;Acumulado en lo que va de año;2017M09;66223486
Total;Acumulado en lo que va de año;2017M08;57346216
Total;Acumulado en lo que va de año;2017M07;46948471
Total;Acumulado en lo que va de año;2017M06;36455033
Total;Acumulado en lo que va de año;2017M05;28023059
Total;Acumulado en lo que va de año;2017M04;20020410
Total;Acumulado en lo que va de año;2017M03;12938816
Total;Acumulado en lo que va de año;2017M02;8024873
Total;Acumulado en lo que va de año;2017M01;3905736
Total;Acumulado en lo que va de año;2016M12;75315008
Total;Acumulado en lo que va de año;2016M11;71324562
Total;Acumulado en lo que va de año;2016M10;67226301
Total;Acumulado en lo que va de año;2016M09;60088578
Total;Acumulado en lo que va de año;2016M08;52155971
Total;Acumulado en lo que va de año;2016M07;42128500
Total;Acumulado en lo que va de año;2016M06;32582708
Total;Acumulado en lo que va de año;2016M05;25029951
Total;Acumulado en lo que va de año;2016M04;17918796
Total;Acumulado en lo que va de año;2016M03;11832469
Total;Acumulado en lo que va de año;2016M02;7205263
Total;Acumulado en lo que va de año;2016M01;3526537
Total;Acumulado en lo que va de año;2015M12;""
Total;Acumulado en lo que va de año;2015M11;""
Total;Acumulado en lo que va de año;2015M10;""
Total;Tasa de variación acumulada;2020M01;-136
Total;Tasa de variación acumulada;2019M12;108
Total;Tasa de variación acumulada;2019M11;119
Total;Tasa de variación acumulada;2019M10;109
Total;Tasa de variación acumulada;2019M09;125
Total;Tasa de variación acumulada;2019M08;148
Total;Tasa de variación acumulada;2019M07;191
Total;Tasa de variación acumulada;2019M06;279
Total;Tasa de variación acumulada;2019M05;266
Total;Tasa de variación acumulada;2019M04;436
Total;Tasa de variación acumulada;2019M03;368
Total;Tasa de variación acumulada;2019M02;303
Total;Tasa de variación acumulada;2019M01;217
Total;Tasa de variación acumulada;2018M12;115
Total;Tasa de variación acumulada;2018M11;073
Total;Tasa de variación acumulada;2018M10;058
Total;Tasa de variación acumulada;2018M09;007
Total;Tasa de variación acumulada;2018M08;-002
Total;Tasa de variación acumulada;2018M07;045
Total;Tasa de variación acumulada;2018M06;188
Total;Tasa de variación acumulada;2018M05;200
Total;Tasa de variación acumulada;2018M04;239
Total;Tasa de variación acumulada;2018M03;602
Total;Tasa de variación acumulada;2018M02;374
Total;Tasa de variación acumulada;2018M01;514
Total;Tasa de variación acumulada;2017M12;870
Total;Tasa de variación acumulada;2017M11;920
Total;Tasa de variación acumulada;2017M10;932
Total;Tasa de variación acumulada;2017M09;1021
Total;Tasa de variación acumulada;2017M08;995
Total;Tasa de variación acumulada;2017M07;1144
Total;Tasa de variación acumulada;2017M06;1188
Total;Tasa de variación acumulada;2017M05;1196
Total;Tasa de variación acumulada;2017M04;1173
Total;Tasa de variación acumulada;2017M03;935
Total;Tasa de variación acumulada;2017M02;1138
Total;Tasa de variación acumulada;2017M01;1075
Total;Tasa de variación acumulada;2016M12;1046
Total;Tasa de variación acumulada;2016M11;1029
Total;Tasa de variación acumulada;2016M10;1036
Total;Tasa de variación acumulada;2016M09;1029
Total;Tasa de variación acumulada;2016M08;1041
Total;Tasa de variación acumulada;2016M07;1142
Total;Tasa de variación acumulada;2016M06;1185
Total;Tasa de variación acumulada;2016M05;1154
Total;Tasa de variación acumulada;2016M04;1293
Total;Tasa de variación acumulada;2016M03;1364
Total;Tasa de variación acumulada;2016M02;1250
Total;Tasa de variación acumulada;2016M01;1104
Total;Tasa de variación acumulada;2015M12;""
Total;Tasa de variación acumulada;2015M11;""
