Comunidad,Año,Mes,Numero Paradas
Extremadura,2005,Agosto,74670
Principado de Asturias,2005,Agosto,51392
Castilla y León,2005,Agosto,103787
Comunidad de Madrid,2005,Agosto,227684
Islas Baleares,2005,Agosto,29248
Canarias,2005,Agosto,131822
Cantabria,2005,Agosto,21349
Aragón,2005,Agosto,38222
Comunidad Foral de Navarra,2005,Agosto,21975
Galicia,2005,Agosto,157295
Melilla,2005,Agosto,5420
Región de Murcia,2005,Agosto,44313
Andalucía,2005,Agosto,452633
La Rioja,2005,Agosto,9896
País Vasco,2005,Agosto,84766
Comunidad Valenciana,2005,Agosto,199931
Ceuta,2005,Agosto,6016
Cataluña,2005,Agosto,269054
Castilla-La Mancha,2005,Agosto,89637
Extremadura,2005,Diciembre,77722
Principado de Asturias,2005,Diciembre,56753
Castilla y León,2005,Diciembre,115650
Comunidad de Madrid,2005,Diciembre,216066
Islas Baleares,2005,Diciembre,48903
Canarias,2005,Diciembre,129930
Cantabria,2005,Diciembre,24177
Aragón,2005,Diciembre,41508
Comunidad Foral de Navarra,2005,Diciembre,22292
Galicia,2005,Diciembre,178676
Melilla,2005,Diciembre,7018
Región de Murcia,2005,Diciembre,44572
Andalucía,2005,Diciembre,480961
La Rioja,2005,Diciembre,10279
País Vasco,2005,Diciembre,83390
Comunidad Valenciana,2005,Diciembre,200721
Ceuta,2005,Diciembre,6691
Cataluña,2005,Diciembre,262605
Castilla-La Mancha,2005,Diciembre,95023
Extremadura,2005,Julio,73634
Principado de Asturias,2005,Julio,51247
Castilla y León,2005,Julio,104757
Comunidad de Madrid,2005,Julio,224153
Islas Baleares,2005,Julio,28156
Canarias,2005,Julio,134923
Cantabria,2005,Julio,21723
Aragón,2005,Julio,36242
Comunidad Foral de Navarra,2005,Julio,22199
Galicia,2005,Julio,157423
Melilla,2005,Julio,5536
Región de Murcia,2005,Julio,41966
Andalucía,2005,Julio,449296
La Rioja,2005,Julio,9598
País Vasco,2005,Julio,81389
Comunidad Valenciana,2005,Julio,194524
Ceuta,2005,Julio,6024
Cataluña,2005,Julio,259417
Castilla-La Mancha,2005,Julio,87210
Extremadura,2005,Junio,74534
Principado de Asturias,2005,Junio,54014
Castilla y León,2005,Junio,107566
Comunidad de Madrid,2005,Junio,221889
Islas Baleares,2005,Junio,27736
Canarias,2005,Junio,136477
Cantabria,2005,Junio,22962
Aragón,2005,Junio,35741
Comunidad Foral de Navarra,2005,Junio,21338
Galicia,2005,Junio,162264
Melilla,2005,Junio,5910
Región de Murcia,2005,Junio,40955
Andalucía,2005,Junio,434880
La Rioja,2005,Junio,9433
País Vasco,2005,Junio,78795
Comunidad Valenciana,2005,Junio,197869
Ceuta,2005,Junio,6019
Cataluña,2005,Junio,247969
Castilla-La Mancha,2005,Junio,88509
Extremadura,2005,Mayo,74476
Principado de Asturias,2005,Mayo,57681
Castilla y León,2005,Mayo,111204
Comunidad de Madrid,2005,Mayo,222419
Islas Baleares,2005,Mayo,29544
Canarias,2005,Mayo,137472
Cantabria,2005,Mayo,24133
Aragón,2005,Mayo,37331
Comunidad Foral de Navarra,2005,Mayo,21207
Galicia,2005,Mayo,172079
Melilla,2005,Mayo,6950
Región de Murcia,2005,Mayo,41312
Andalucía,2005,Mayo,430097
La Rioja,2005,Mayo,9560
País Vasco,2005,Mayo,80632
Comunidad Valenciana,2005,Mayo,198775
Ceuta,2005,Mayo,6204
Cataluña,2005,Mayo,252704
Castilla-La Mancha,2005,Mayo,93613
Extremadura,2005,Noviembre,78201
Principado de Asturias,2005,Noviembre,56370
Castilla y León,2005,Noviembre,114686
Comunidad de Madrid,2005,Noviembre,220227
Islas Baleares,2005,Noviembre,47996
Canarias,2005,Noviembre,131855
Cantabria,2005,Noviembre,23299
Aragón,2005,Noviembre,41274
Comunidad Foral de Navarra,2005,Noviembre,21506
Galicia,2005,Noviembre,172838
Melilla,2005,Noviembre,6204
Región de Murcia,2005,Noviembre,44209
Andalucía,2005,Noviembre,485358
La Rioja,2005,Noviembre,9928
País Vasco,2005,Noviembre,83241
Comunidad Valenciana,2005,Noviembre,195894
Ceuta,2005,Noviembre,6694
Cataluña,2005,Noviembre,263825
Castilla-La Mancha,2005,Noviembre,91975
Extremadura,2005,Octubre,77643
Principado de Asturias,2005,Octubre,55334
Castilla y León,2005,Octubre,111032
Comunidad de Madrid,2005,Octubre,221285
Islas Baleares,2005,Octubre,35198
Canarias,2005,Octubre,130290
Cantabria,2005,Octubre,23032
Aragón,2005,Octubre,41463
Comunidad Foral de Navarra,2005,Octubre,21416
Galicia,2005,Octubre,164299
Melilla,2005,Octubre,5983
Región de Murcia,2005,Octubre,44313
Andalucía,2005,Octubre,477069
La Rioja,2005,Octubre,9597
País Vasco,2005,Octubre,81852
Comunidad Valenciana,2005,Octubre,192355
Ceuta,2005,Octubre,6467
Cataluña,2005,Octubre,262588
Castilla-La Mancha,2005,Octubre,91645
Extremadura,2005,Septiembre,77065
Principado de Asturias,2005,Septiembre,52946
Castilla y León,2005,Septiembre,104891
Comunidad de Madrid,2005,Septiembre,221671
Islas Baleares,2005,Septiembre,29362
Canarias,2005,Septiembre,128178
Cantabria,2005,Septiembre,21808
Aragón,2005,Septiembre,38969
Comunidad Foral de Navarra,2005,Septiembre,21194
Galicia,2005,Septiembre,157116
Melilla,2005,Septiembre,5775
