Comunidad,Año,Mes,Temperatura Media,Temperatura Minima,Temperatura Maxima,Presion Maxima,Racha
Andalucía,2010,Enero,10.13,6.53,13.73,984.15,11.02
Aragón,2010,Enero,3.62,-0.27,7.5,934.21,10.11
Islas Baleares,2010,Enero,9.64,6.37,12.9,1013.47,12.9
Cataluña,2010,Enero,6.76,3.19,10.34,992.94,9.47
Canarias,2010,Enero,18.4,15.24,21.53,990.77,10.41
Cantabria,2010,Enero,6.18,3.13,9.22,982.92,12.0
Castilla-La Mancha,2010,Enero,4.97,1.25,8.68,935.67,10.21
Castilla y León,2010,Enero,3.19,-0.23,6.62,913.28,10.62
Comunidad de Madrid,2010,Enero,3.63,0.54,6.71,908.47,10.84
Comunidad Foral de Navarra,2010,Enero,4.78,1.52,8.04,971.36,10.86
Comunidad Valenciana,2010,Enero,9.34,5.36,13.32,1003.1,11.58
Extremadura,2010,Enero,7.94,4.5,11.39,975.86,10.78
Galicia,2010,Enero,7.48,4.43,10.54,989.97,12.68
País Vasco,2010,Enero,6.79,3.98,9.59,993.51,12.61
Principado de Asturias,2010,Enero,6.88,4.39,9.38,1000.13,10.78
Región de Murcia,2010,Enero,9.57,5.24,13.87,990.05,10.56
La Rioja,2010,Enero,5.14,2.03,8.24,975.7,9.55
Ceuta,2010,Enero,13.81,11.15,16.47,1009.17,13.27
Melilla,2010,Enero,14.46,11.47,17.44,1011.98,13.88
Andalucía,2010,Febrero,11.21,7.63,14.79,972.41,12.71
Aragón,2010,Febrero,4.64,0.34,8.93,927.29,11.78
Islas Baleares,2010,Febrero,10.52,7.03,14.02,1007.74,14.87
Cataluña,2010,Febrero,7.3,2.72,11.88,971.63,10.64
Canarias,2010,Febrero,18.88,15.58,22.18,976.94,14.0
Cantabria,2010,Febrero,6.87,3.48,10.26,973.91,13.12
Castilla-La Mancha,2010,Febrero,6.13,2.03,10.24,928.97,12.11
Castilla y León,2010,Febrero,3.61,-0.41,7.62,904.53,12.54
Comunidad de Madrid,2010,Febrero,4.33,0.68,7.99,902.82,11.87
Comunidad Foral de Navarra,2010,Febrero,5.68,1.71,9.66,964.12,13.17
