TERRITORIO;TIPOLOGÍA PENAL;2012_ene_mar;2013_ene_mar;var_porc_13s12
Almería;1.-DELITOS Y FALTAS (EU);8630;8017;-7,1
Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;1;-66,7
Almería;3.-DELINCUENCIA VIOLENTA (EU);395;401;1,5
Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);280;289;3,2
Almería;4.-ROBOS CON FUERZA;2245;2256;0,5
Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);918;1013;10,3
Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);228;193;-15,4
Almería;6.-TRÁFICO DE DROGAS (EU);65;58;-10,8
Almería;7.-DAÑOS;1084;897;-17,3
Almería;8.-HURTOS;2056;1882;-8,5
Cádiz;1.-DELITOS Y FALTAS (EU);14617;13401;-8,3
Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Cádiz;3.-DELINCUENCIA VIOLENTA (EU);360;397;10,3
Cádiz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);236;262;11
Cádiz;4.-ROBOS CON FUERZA;2322;2242;-3,4
Cádiz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);778;796;2,3
Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);460;365;-20,7
Cádiz;6.-TRÁFICO DE DROGAS (EU);322;274;-14,9
Cádiz;7.-DAÑOS;1825;1470;-19,5
Cádiz;8.-HURTOS;4714;4288;-9
Córdoba;1.-DELITOS Y FALTAS (EU);7281;7680;5,5
Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Córdoba;3.-DELINCUENCIA VIOLENTA (EU);252;278;10,3
Córdoba;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);210;238;13,3
Córdoba;4.-ROBOS CON FUERZA;1289;1562;21,2
Córdoba;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);347;425;22,5
Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);132;155;17,4
Córdoba;6.-TRÁFICO DE DROGAS (EU);31;29;-6,5
Córdoba;7.-DAÑOS;874;861;-1,5
Córdoba;8.-HURTOS;2480;2564;3,4
Granada;1.-DELITOS Y FALTAS (EU);9917;9829;-0,9
Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;2;-66,7
Granada;3.-DELINCUENCIA VIOLENTA (EU);445;459;3,1
Granada;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);375;388;3,5
Granada;4.-ROBOS CON FUERZA;1560;1819;16,6
Granada;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);434;529;21,9
Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);352;287;-18,5
Granada;6.-TRÁFICO DE DROGAS (EU);72;65;-9,7
Granada;7.-DAÑOS;1248;1062;-14,9
Granada;8.-HURTOS;3256;3366;3,4
Huelva;1.-DELITOS Y FALTAS (EU);5689;5590;-1,7
Huelva;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;0;-100
Huelva;3.-DELINCUENCIA VIOLENTA (EU);207;138;-33,3
Huelva;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);132;90;-31,8
Huelva;4.-ROBOS CON FUERZA;1176;1279;8,8
Huelva;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);424;529;24,8
Huelva;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);83;86;3,6
Huelva;6.-TRÁFICO DE DROGAS (EU);35;26;-25,7
Huelva;7.-DAÑOS;541;462;-14,6
Huelva;8.-HURTOS;1734;1787;3,1
Jaén;1.-DELITOS Y FALTAS (EU);4840;4657;-3,8
Jaén;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0
Jaén;3.-DELINCUENCIA VIOLENTA (EU);152;204;34,2
Jaén;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);113;173;53,1
Jaén;4.-ROBOS CON FUERZA;757;827;9,2
Jaén;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);191;181;-5,2
Jaén;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);86;86;0
Jaén;6.-TRÁFICO DE DROGAS (EU);30;26;-13,3
Jaén;7.-DAÑOS;676;561;-17
Jaén;8.-HURTOS;1334;1374;3
Málaga;1.-DELITOS Y FALTAS (EU);22545;20857;-7,5
Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;3;-50
Málaga;3.-DELINCUENCIA VIOLENTA (EU);836;733;-12,3
Málaga;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);640;517;-19,2
Málaga;4.-ROBOS CON FUERZA;3613;3491;-3,4
Málaga;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1170;1348;15,2
Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);728;613;-15,8
Málaga;6.-TRÁFICO DE DROGAS (EU);166;165;-0,6
Málaga;7.-DAÑOS;2567;2212;-13,8
Málaga;8.-HURTOS;8095;7475;-7,7
Sevilla;1.-DELITOS Y FALTAS (EU);24519;22984;-6,3
Sevilla;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;6;500
Sevilla;3.-DELINCUENCIA VIOLENTA (EU);962;908;-5,6
Sevilla;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);810;756;-6,7
Sevilla;4.-ROBOS CON FUERZA;5003;4711;-5,8
Sevilla;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1228;1027;-16,4
Sevilla;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);665;555;-16,5
Sevilla;6.-TRÁFICO DE DROGAS (EU);96;86;-10,4
Sevilla;7.-DAÑOS;2421;2138;-11,7
Sevilla;8.-HURTOS;8846;8305;-6,1
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);98038;93015;-5,1
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);23;14;-39,1
ANDALUCÍA;3.-DELINCUENCIA VIOLENTA (EU);3609;3518;-2,5
ANDALUCÍA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);2796;2713;-3
ANDALUCÍA;4.-ROBOS CON FUERZA;17965;18187;1,2
ANDALUCÍA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);5490;5848;6,5
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);2734;2340;-14,4
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);817;729;-10,8
ANDALUCÍA;7.-DAÑOS;11236;9663;-14
