TERRITORIO;TIPOLOGÍA PENAL;2012_ene_jun;2013_ene_jun;var_porc_13s12
Provincia de Almería;1.-DELITOS Y FALTAS (EU);17242;16061;-6,8
Provincia de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;3;-25
Provincia de Almería;3.-DELINCUENCIA VIOLENTA (EU);752;747;-0,7
Provincia de Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);536;557;3,9
Provincia de Almería;4.-ROBOS CON FUERZA;4367;4223;-3,3
Provincia de Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1734;1805;4,1
Provincia de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);449;340;-24,3
Provincia de Almería;6.-TRÁFICO DE DROGAS (EU);143;119;-16,8
Provincia de Almería;7.-DAÑOS;2082;1818;-12,7
Provincia de Almería;8.-HURTOS;4211;3933;-6,6
Provincia de Cádiz;1.-DELITOS Y FALTAS (EU);29593;27667;-6,5
Provincia de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;2;-33,3
Provincia de Cádiz;3.-DELINCUENCIA VIOLENTA (EU);761;842;10,6
Provincia de Cádiz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);496;541;9,1
Provincia de Cádiz;4.-ROBOS CON FUERZA;4532;4355;-3,9
Provincia de Cádiz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1550;1586;2,3
Provincia de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);961;727;-24,3
Provincia de Cádiz;6.-TRÁFICO DE DROGAS (EU);689;486;-29,5
Provincia de Cádiz;7.-DAÑOS;3447;3092;-10,3
Provincia de Cádiz;8.-HURTOS;9468;9143;-3,4
Provincia de Córdoba;1.-DELITOS Y FALTAS (EU);15037;15354;2,1
Provincia de Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;4;300
Provincia de Córdoba;3.-DELINCUENCIA VIOLENTA (EU);548;586;6,9
Provincia de Córdoba;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);455;501;10,1
Provincia de Córdoba;4.-ROBOS CON FUERZA;2835;2921;3
Provincia de Córdoba;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);781;795;1,8
Provincia de Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);251;260;3,6
Provincia de Córdoba;6.-TRÁFICO DE DROGAS (EU);65;52;-20
Provincia de Córdoba;7.-DAÑOS;1797;1634;-9,1
Provincia de Córdoba;8.-HURTOS;4903;5253;7,1
Provincia de Granada;1.-DELITOS Y FALTAS (EU);19825;19294;-2,7
Provincia de Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);8;4;-50
Provincia de Granada;3.-DELINCUENCIA VIOLENTA (EU);906;867;-4,3
Provincia de Granada;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);771;734;-4,8
Provincia de Granada;4.-ROBOS CON FUERZA;3044;3526;15,8
Provincia de Granada;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);904;1167;29,1
Provincia de Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);632;520;-17,7
