TERRITORIO;TIPOLOGÍA PENAL;2012_ene_sept;2013_ene_sept;var_porc_13s12
Almería;1.-DELITOS Y FALTAS (EU);26522;24953;-5,9
Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;5;-28,6
Almería;3.-DELINCUENCIA VIOLENTA (EU);1187;1138;-4,1
Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);859;850;-1,0
Almería;4.-ROBOS CON FUERZA;6548;6152;-6,0
Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2681;2655;-1,0
Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);679;530;-21,9
Almería;6.-TRÁFICO DE DROGAS (EU);228;201;-11,8
Almería;7.-DAÑOS;3126;2786;-10,9
Almería;8.-HURTOS;6780;6707;-1,1
Cádiz;1.-DELITOS Y FALTAS (EU);45968;43493;-5,4
Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;8;60,0
Cádiz;3.-DELINCUENCIA VIOLENTA (EU);1244;1326;6,6
Cádiz;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);824;845;2,5
Cádiz;4.-ROBOS CON FUERZA;6852;6433;-6,1
Cádiz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2271;2290;0,8
Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1465;1166;-20,4
Cádiz;6.-TRÁFICO DE DROGAS (EU);1007;781;-22,4
Cádiz;7.-DAÑOS;5130;4728;-7,8
Cádiz;8.-HURTOS;15183;14672;-3,4
Córdoba;1.-DELITOS Y FALTAS (EU);22142;22079;-0,3
Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;4;100,0
Córdoba;3.-DELINCUENCIA VIOLENTA (EU);849;843;-0,7
Córdoba;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);710;711;0,1
Córdoba;4.-ROBOS CON FUERZA;4133;4133;0,0
Córdoba;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1146;1182;3,1
Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);404;372;-7,9
Córdoba;6.-TRÁFICO DE DROGAS (EU);97;126;29,9
Córdoba;7.-DAÑOS;2627;2367;-9,9
Córdoba;8.-HURTOS;7102;7312;3,0
Granada;1.-DELITOS Y FALTAS (EU);29211;27920;-4,4
Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);10;6;-40,0
Granada;3.-DELINCUENCIA VIOLENTA (EU);1340;1245;-7,1
Granada;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1126;1041;-7,5
Granada;4.-ROBOS CON FUERZA;4413;4914;11,4
Granada;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1371;1663;21,3
Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);946;769;-18,7
Granada;6.-TRÁFICO DE DROGAS (EU);233;259;11,2
Granada;7.-DAÑOS;3389;2832;-16,4
Granada;8.-HURTOS;9513;9394;-1,3
Huelva;1.-DELITOS Y FALTAS (EU);16949;16745;-1,2
Huelva;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;2;-60,0
Huelva;3.-DELINCUENCIA VIOLENTA (EU);584;568;-2,7
Huelva;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);368;352;-4,3
Huelva;4.-ROBOS CON FUERZA;3362;3385;0,7
Huelva;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1125;1280;13,8
Huelva;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);262;241;-8,0
Huelva;6.-TRÁFICO DE DROGAS (EU);134;131;-2,2
Huelva;7.-DAÑOS;1416;1158;-18,2
Huelva;8.-HURTOS;5199;5438;4,6
Jaén;1.-DELITOS Y FALTAS (EU);14439;13511;-6,4
Jaén;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;5;150,0
Jaén;3.-DELINCUENCIA VIOLENTA (EU);512;498;-2,7
Jaén;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);380;403;6,1
Jaén;4.-ROBOS CON FUERZA;2278;2273;-0,2
Jaén;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);533;619;16,1
Jaén;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);315;310;-1,6
Jaén;6.-TRÁFICO DE DROGAS (EU);156;110;-29,5
Jaén;7.-DAÑOS;1880;1612;-14,3
Jaén;8.-HURTOS;3861;3849;-0,3
Málaga;1.-DELITOS Y FALTAS (EU);74407;69603;-6,5
Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);15;13;-13,3
Málaga;3.-DELINCUENCIA VIOLENTA (EU);2623;2451;-6,6
Málaga;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);2009;1783;-11,2
Málaga;4.-ROBOS CON FUERZA;11388;10777;-5,4
Málaga;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3803;4014;5,5
Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);2284;1933;-15,4
Málaga;6.-TRÁFICO DE DROGAS (EU);586;613;4,6
Málaga;7.-DAÑOS;7351;6548;-10,9
Málaga;8.-HURTOS;29321;27069;-7,7
Sevilla;1.-DELITOS Y FALTAS (EU);69730;68728;-1,4
Sevilla;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;14;133,3
Sevilla;3.-DELINCUENCIA VIOLENTA (EU);2755;2748;-0,3
Sevilla;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);2310;2276;-1,5
Sevilla;4.-ROBOS CON FUERZA;13974;13668;-2,2
Sevilla;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3287;3273;-0,4
Sevilla;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1989;1654;-16,8
Sevilla;6.-TRÁFICO DE DROGAS (EU);280;254;-9,3
Sevilla;7.-DAÑOS;6519;6031;-7,5
Sevilla;8.-HURTOS;24417;24479;0,3
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);299368;287032;-4,1
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);52;57;9,6
ANDALUCÍA;3.-DELINCUENCIA VIOLENTA (EU);11094;10817;-2,5
ANDALUCÍA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);8586;8261;-3,8
ANDALUCÍA;4.-ROBOS CON FUERZA;52948;51735;-2,3
ANDALUCÍA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);16217;16976;4,7
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);8344;6975;-16,4
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);2721;2475;-9,0
ANDALUCÍA;7.-DAÑOS;31438;28062;-10,7
ANDALUCÍA;8.-HURTOS;101376;98920;-2,4
Huesca;1.-DELITOS Y FALTAS (EU);4474;4289;-4,1
Huesca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Huesca;3.-DELINCUENCIA VIOLENTA (EU);94;110;17,0
Huesca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);56;68;21,4
Huesca;4.-ROBOS CON FUERZA;752;675;-10,2
Huesca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);155;193;24,5
Huesca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);51;37;-27,5
Huesca;6.-TRÁFICO DE DROGAS (EU);42;45;7,1
Huesca;7.-DAÑOS;739;669;-9,5
Huesca;8.-HURTOS;1343;1313;-2,2
