TERRITORIO;TIPOLOGÕA PENAL;a_2012;a_2013;Var_porc_13s12
Albacete;1.-DELITOS Y FALTAS (EU);14269;13943;-2,3
Albacete;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;3;-25,0
Albacete;3.-DELINCUENCIA VIOLENTA (EU);488;513;5,1
Albacete;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);325;338;4,0
Albacete;4.-ROBOS CON FUERZA;2683;2529;-5,7
Albacete;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);867;837;-3,5
Albacete;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);214;173;-19,2
Albacete;6.-TRµFICO DE DROGAS (EU);118;98;-16,9
Albacete;7.-DA•OS;1497;1438;-3,9
Albacete;8.-HURTOS;4879;4963;1,7
Alicante/Alacant;1.-DELITOS Y FALTAS (EU);107583;100886;-6,2
Alicante/Alacant;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);16;9;-43,8
Alicante/Alacant;3.-DELINCUENCIA VIOLENTA (EU);3820;3400;-11,0
Alicante/Alacant;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);3021;2640;-12,6
Alicante/Alacant;4.-ROBOS CON FUERZA;22539;20713;-8,1
Alicante/Alacant;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);10399;10250;-1,4
Alicante/Alacant;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);2840;2240;-21,1
Alicante/Alacant;6.-TRµFICO DE DROGAS (EU);630;778;23,5
Alicante/Alacant;7.-DA•OS;12385;11108;-10,3
Alicante/Alacant;8.-HURTOS;34926;33586;-3,8
Almer°a;1.-DELITOS Y FALTAS (EU);34906;32565;-6,7
Almer°a;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);11;6;-45,5
Almer°a;3.-DELINCUENCIA VIOLENTA (EU);1593;1467;-7,9
Almer°a;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);1177;1079;-8,3
Almer°a;4.-ROBOS CON FUERZA;8764;7829;-10,7
Almer°a;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3690;3417;-7,4
Almer°a;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);893;696;-22,1
Almer°a;6.-TRµFICO DE DROGAS (EU);279;267;-4,3
Almer°a;7.-DA•OS;4039;3680;-8,9
Almer°a;8.-HURTOS;8939;8779;-1,8
ANDALUC÷A;1.-DELITOS Y FALTAS (EU);394940;373846;-5,3
ANDALUC÷A;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);68;65;-4,4
ANDALUC÷A;3.-DELINCUENCIA VIOLENTA (EU);14953;13874;-7,2
ANDALUC÷A;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);11673;10531;-9,8
ANDALUC÷A;4.-ROBOS CON FUERZA;70769;67166;-5,1
ANDALUC÷A;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);21963;22031;0,3
ANDALUC÷A;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);11294;9125;-19,2
ANDALUC÷A;6.-TRµFICO DE DROGAS (EU);3407;3274;-3,9
ANDALUC÷A;7.-DA•OS;41013;36487;-11,0
ANDALUC÷A;8.-HURTOS;133759;127933;-4,4
Araba/µlava;1.-DELITOS Y FALTAS (EU);14062;13285;-5,5
Araba/µlava;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;3;200,0
Araba/µlava;3.-DELINCUENCIA VIOLENTA (EU);564;384;-31,9
Araba/µlava;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);422;262;-37,9
Araba/µlava;4.-ROBOS CON FUERZA;2184;2120;-2,9
Araba/µlava;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);618;635;2,8
Araba/µlava;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);85;75;-11,8
Araba/µlava;6.-TRµFICO DE DROGAS (EU);57;44;-22,8
Araba/µlava;7.-DA•OS;1569;1276;-18,7
Araba/µlava;8.-HURTOS;4958;4978;0,4
ARAG‡N;1.-DELITOS Y FALTAS (EU);46401;42735;-7,9
ARAG‡N;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);6;7;16,7
ARAG‡N;3.-DELINCUENCIA VIOLENTA (EU);1974;1778;-9,9
ARAG‡N;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);1460;1240;-15,1
ARAG‡N;4.-ROBOS CON FUERZA;7806;6993;-10,4
ARAG‡N;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);2229;2179;-2,2
