TERRITORIO;TIPOLOGÍA PENAL;a_2013;a_2014;Var_porc_14s13
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);93015;86975;-6,5
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);14;20;42,9
ANDALUCÍA;3.-DELINCUENCIA VIOLENTA (EU);3518;2996;-14,8
ANDALUCÍA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);2713;2242;-17,4
ANDALUCÍA;4.-ROBOS CON FUERZA;18187;15925;-12,4
ANDALUCÍA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);5848;5511;-5,8
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);2340;2057;-12,1
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);729;810;11,1
ANDALUCÍA;7.-DAÑOS;9663;9088;-6
ANDALUCÍA;8.-HURTOS;31041;28159;-9,3
Provincia de Almería;1.-DELITOS Y FALTAS (EU);8017;7723;-3,7
Provincia de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100
Provincia de Almería;3.-DELINCUENCIA VIOLENTA (EU);401;343;-14,5
Provincia de Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);289;239;-17,3
Provincia de Almería;4.-ROBOS CON FUERZA;2256;1877;-16,8
Provincia de Almería;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1013;875;-13,6
Provincia de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);193;196;1,6
Provincia de Almería;6.-TRÁFICO DE DROGAS (EU);58;49;-15,5
Provincia de Almería;7.-DAÑOS;897;913;1,8
Provincia de Almería;8.-HURTOS;1882;1954;3,8
Municipio de Almería;1.-DELITOS Y FALTAS (EU);2484;2538;2,2
Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Almería;3.-DELINCUENCIA VIOLENTA (EU);153;148;-3,3
Municipio de Almería;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);115;112;-2,6
Municipio de Almería;4.-ROBOS CON FUERZA;455;351;-22,9
