TERRITORIO;TIPOLOGÍA PENAL;2014;2015;Var. % 15/14
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);352221;337137;-4,3
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);69;65;-5,8
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);8291;7382;-11,0
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);19372;17815;-8,0
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);8312;9045;8,8
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);3336;3086;-7,5
ANDALUCÍA;7.-DAÑOS;34646;33607;-3,0
ANDALUCÍA;8.-HURTOS;115850;110734;-4,4
Provincia de Almería;1.-DELITOS Y FALTAS (EU);31209;30692;-1,7
Provincia de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);8;7;-12,5
Provincia de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);853;700;-17,9
Provincia de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);2885;2645;-8,3
Provincia de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);636;708;11,3
Provincia de Almería;6.-TRÁFICO DE DROGAS (EU);210;240;14,3
Provincia de Almería;7.-DAÑOS;3498;3605;3,1
Provincia de Almería;8.-HURTOS;8639;8334;-3,5
Municipio de Almería;1.-DELITOS Y FALTAS (EU);9781;9406;-3,8
Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50,0
Municipio de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);380;324;-14,7
Municipio de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);562;557;-0,9
Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);221;282;27,6
Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);64;58;-9,4
Municipio de Almería;7.-DAÑOS;1129;1081;-4,3
Municipio de Almería;8.-HURTOS;3123;2925;-6,3
Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS (EU);5580;5732;2,7
Municipio de Roquetas de Mar;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Roquetas de Mar;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);171;141;-17,5
Municipio de Roquetas de Mar;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);571;533;-6,7
Municipio de Roquetas de Mar;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);95;114;20,0
Municipio de Roquetas de Mar;6.-TRÁFICO DE DROGAS (EU);25;47;88,0
Municipio de Roquetas de Mar;7.-DAÑOS;575;604;5,0
Municipio de Roquetas de Mar;8.-HURTOS;1713;1785;4,2
Municipio de Ejido (El);1.-DELITOS Y FALTAS (EU);3513;3788;7,8
Municipio de Ejido (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50,0
Municipio de Ejido (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);112;90;-19,6
Municipio de Ejido (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);312;218;-30,1
Municipio de Ejido (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);72;65;-9,7
Municipio de Ejido (El);6.-TRÁFICO DE DROGAS (EU);23;21;-8,7
Municipio de Ejido (El);7.-DAÑOS;309;472;52,8
Municipio de Ejido (El);8.-HURTOS;827;934;12,9
Provincia de Cádiz;1.-DELITOS Y FALTAS (EU);55463;53726;-3,1
Provincia de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);14;10;-28,6
Provincia de Cádiz;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);988;972;-1,6
Provincia de Cádiz;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);2839;2337;-17,7
Provincia de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1629;1805;10,8
Provincia de Cádiz;6.-TRÁFICO DE DROGAS (EU);1105;929;-15,9
Provincia de Cádiz;7.-DAÑOS;6015;5911;-1,7
Provincia de Cádiz;8.-HURTOS;17763;17050;-4,0
Municipio de Algeciras;1.-DELITOS Y FALTAS (EU);6200;5689;-8,2
Municipio de Algeciras;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Algeciras;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);120;126;5,0
Municipio de Algeciras;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);287;200;-30,3
Municipio de Algeciras;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);176;188;6,8
Municipio de Algeciras;6.-TRÁFICO DE DROGAS (EU);543;448;-17,5
Municipio de Algeciras;7.-DAÑOS;662;560;-15,4
Municipio de Algeciras;8.-HURTOS;1688;1429;-15,3
Municipio de Cádiz;1.-DELITOS Y FALTAS (EU);5912;6056;2,4
Municipio de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Cádiz;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);112;94;-16,1
Municipio de Cádiz;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);67;72;7,5
Municipio de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);336;296;-11,9
Municipio de Cádiz;6.-TRÁFICO DE DROGAS (EU);80;68;-15,0
Municipio de Cádiz;7.-DAÑOS;483;514;6,4
Municipio de Cádiz;8.-HURTOS;2406;2523;4,9
Municipio de Chiclana de la Frontera;1.-DELITOS Y FALTAS (EU);3612;3120;-13,6
Municipio de Chiclana de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;2;0,0
Municipio de Chiclana de la Frontera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);44;56;27,3
Municipio de Chiclana de la Frontera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);557;474;-14,9
Municipio de Chiclana de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);83;72;-13,3
Municipio de Chiclana de la Frontera;6.-TRÁFICO DE DROGAS (EU);56;20;-64,3
Municipio de Chiclana de la Frontera;7.-DAÑOS;406;370;-8,9
Municipio de Chiclana de la Frontera;8.-HURTOS;996;767;-23,0
Municipio de Jerez de la Frontera;1.-DELITOS Y FALTAS (EU);10997;10821;-1,6
Municipio de Jerez de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50,0
Municipio de Jerez de la Frontera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);284;259;-8,8
Municipio de Jerez de la Frontera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);356;246;-30,9
Municipio de Jerez de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);220;352;60,0
Municipio de Jerez de la Frontera;6.-TRÁFICO DE DROGAS (EU);46;37;-19,6
Municipio de Jerez de la Frontera;7.-DAÑOS;1131;1154;2,0
Municipio de Jerez de la Frontera;8.-HURTOS;4070;3938;-3,2
Municipio de Línea de la Concepción (La);1.-DELITOS Y FALTAS (EU);3249;3231;-0,6
Municipio de Línea de la Concepción (La);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Línea de la Concepción (La);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);90;80;-11,1
Municipio de Línea de la Concepción (La);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);84;104;23,8
Municipio de Línea de la Concepción (La);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);128;117;-8,6
Municipio de Línea de la Concepción (La);6.-TRÁFICO DE DROGAS (EU);48;63;31,3
Municipio de Línea de la Concepción (La);7.-DAÑOS;421;388;-7,8
Municipio de Línea de la Concepción (La);8.-HURTOS;660;750;13,6
