TERRITORIO;TIPOLOGÍA PENAL;2015;2016; Var. % 16/15
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);172783;165350;-4,3
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);34;24;-29,4
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);3561;3758;5,5
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);9223;9229;0,1
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);4320;4213;-2,5
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);1639;1520;-7,3
ANDALUCÍA;7.-DAÑOS;17299;16848;-2,6
ANDALUCÍA;8.-HURTOS;55892;55141;-1,3
Provincia de Almería;1.-DELITOS Y FALTAS (EU);15271;15168;-0,7
Provincia de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;5;25,0
Provincia de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);330;327;-0,9
Provincia de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1354;1359;0,4
Provincia de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);298;338;13,4
Provincia de Almería;6.-TRÁFICO DE DROGAS (EU);98;110;12,2
Provincia de Almería;7.-DAÑOS;1802;1990;10,4
Provincia de Almería;8.-HURTOS;4038;3911;-3,1
Municipio de Almería;1.-DELITOS Y FALTAS (EU);4611;4371;-5,2
Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);149;110;-26,2
Municipio de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);272;220;-19,1
Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);114;159;39,5
Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);30;36;20,0
Municipio de Almería;7.-DAÑOS;535;585;9,3
Municipio de Almería;8.-HURTOS;1473;1355;-8,0
Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS (EU);2891;3083;6,6
Municipio de Roquetas de Mar;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Roquetas de Mar;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);73;99;35,6
Municipio de Roquetas de Mar;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);313;270;-13,7
Municipio de Roquetas de Mar;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);48;53;10,4
Municipio de Roquetas de Mar;6.-TRÁFICO DE DROGAS (EU);16;25;56,3
Municipio de Roquetas de Mar;7.-DAÑOS;296;384;29,7
Municipio de Roquetas de Mar;8.-HURTOS;853;902;5,7
Municipio de Ejido (El);1.-DELITOS Y FALTAS (EU);1944;1898;-2,4
Municipio de Ejido (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Ejido (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);56;42;-25,0
Municipio de Ejido (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);87;154;77,0
Municipio de Ejido (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);26;22;-15,4
Municipio de Ejido (El);6.-TRÁFICO DE DROGAS (EU);10;9;-10,0
Municipio de Ejido (El);7.-DAÑOS;235;274;16,6
Municipio de Ejido (El);8.-HURTOS;467;465;-0,4
Provincia de Cádiz;1.-DELITOS Y FALTAS (EU);26918;24672;-8,3
Provincia de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;3;-57,1
Provincia de Cádiz;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);452;439;-2,9
Provincia de Cádiz;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1306;1115;-14,6
Provincia de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);876;761;-13,1
Provincia de Cádiz;6.-TRÁFICO DE DROGAS (EU);563;390;-30,7
Provincia de Cádiz;7.-DAÑOS;2942;2674;-9,1
Provincia de Cádiz;8.-HURTOS;8312;8088;-2,7
Municipio de Algeciras;1.-DELITOS Y FALTAS (EU);3031;2501;-17,5
Municipio de Algeciras;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Algeciras;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);54;54;0,0
Municipio de Algeciras;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);112;95;-15,2
Municipio de Algeciras;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);108;58;-46,3
Municipio de Algeciras;6.-TRÁFICO DE DROGAS (EU);292;179;-38,7
Municipio de Algeciras;7.-DAÑOS;312;208;-33,3
Municipio de Algeciras;8.-HURTOS;714;591;-17,2
Municipio de Cádiz;1.-DELITOS Y FALTAS (EU);3070;2813;-8,4
Municipio de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Cádiz;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);46;51;10,9
Municipio de Cádiz;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);35;20;-42,9
Municipio de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);102;141;38,2
Municipio de Cádiz;6.-TRÁFICO DE DROGAS (EU);41;21;-48,8
Municipio de Cádiz;7.-DAÑOS;248;246;-0,8
Municipio de Cádiz;8.-HURTOS;1290;1233;-4,4
Municipio de Chiclana de la Frontera;1.-DELITOS Y FALTAS (EU);1556;1715;10,2
Municipio de Chiclana de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100,0
Municipio de Chiclana de la Frontera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);24;15;-37,5
Municipio de Chiclana de la Frontera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);306;256;-16,3
Municipio de Chiclana de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);20;39;95,0
Municipio de Chiclana de la Frontera;6.-TRÁFICO DE DROGAS (EU);13;7;-46,2
Municipio de Chiclana de la Frontera;7.-DAÑOS;194;220;13,4
Municipio de Chiclana de la Frontera;8.-HURTOS;375;407;8,5
Municipio de Jerez de la Frontera;1.-DELITOS Y FALTAS (EU);5750;5200;-9,6
Municipio de Jerez de la Frontera;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Jerez de la Frontera;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);126;128;1,6
Municipio de Jerez de la Frontera;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);146;111;-24,0
Municipio de Jerez de la Frontera;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);190;135;-28,9
Municipio de Jerez de la Frontera;6.-TRÁFICO DE DROGAS (EU);15;18;20,0
Municipio de Jerez de la Frontera;7.-DAÑOS;586;524;-10,6
Municipio de Jerez de la Frontera;8.-HURTOS;2144;2094;-2,3
Municipio de Línea de la Concepción (La);1.-DELITOS Y FALTAS (EU);1591;1216;-23,6
Municipio de Línea de la Concepción (La);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Línea de la Concepción (La);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);41;35;-14,6
Municipio de Línea de la Concepción (La);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);52;22;-57,7
Municipio de Línea de la Concepción (La);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);57;39;-31,6
Municipio de Línea de la Concepción (La);6.-TRÁFICO DE DROGAS (EU);32;30;-6,3
Municipio de Línea de la Concepción (La);7.-DAÑOS;175;137;-21,7
Municipio de Línea de la Concepción (La);8.-HURTOS;329;274;-16,7
Municipio de Puerto de Santa María (El);1.-DELITOS Y FALTAS (EU);2103;1930;-8,2
Municipio de Puerto de Santa María (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Puerto de Santa María (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);34;34;0,0
Municipio de Puerto de Santa María (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);66;38;-42,4
Municipio de Puerto de Santa María (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);66;47;-28,8
Municipio de Puerto de Santa María (El);6.-TRÁFICO DE DROGAS (EU);27;19;-29,6
Municipio de Puerto de Santa María (El);7.-DAÑOS;287;263;-8,4
Municipio de Puerto de Santa María (El);8.-HURTOS;756;698;-7,7
Municipio de San Fernando;1.-DELITOS Y FALTAS (EU);1751;1658;-5,3
Municipio de San Fernando;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de San Fernando;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);20;20;0,0
Municipio de San Fernando;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);28;52;85,7
Municipio de San Fernando;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);83;62;-25,3
Municipio de San Fernando;6.-TRÁFICO DE DROGAS (EU);17;13;-23,5
Municipio de San Fernando;7.-DAÑOS;203;163;-19,7
Municipio de San Fernando;8.-HURTOS;638;637;-0,2
Municipio de Sanlúcar de Barrameda;1.-DELITOS Y FALTAS (EU);1251;1281;2,4
Municipio de Sanlúcar de Barrameda;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Sanlúcar de Barrameda;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);36;34;-5,6
Municipio de Sanlúcar de Barrameda;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);69;74;7,2
Municipio de Sanlúcar de Barrameda;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);66;63;-4,5
Municipio de Sanlúcar de Barrameda;6.-TRÁFICO DE DROGAS (EU);1;11;1000,0
Municipio de Sanlúcar de Barrameda;7.-DAÑOS;160;185;15,6
Municipio de Sanlúcar de Barrameda;8.-HURTOS;452;469;3,8
Provincia de Córdoba;1.-DELITOS Y FALTAS (EU);13758;12538;-8,9
Provincia de Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Provincia de Córdoba;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);270;284;5,2
Provincia de Córdoba;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);576;631;9,5
Provincia de Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);200;204;2,0
Provincia de Córdoba;6.-TRÁFICO DE DROGAS (EU);58;87;50,0
Provincia de Córdoba;7.-DAÑOS;1373;1231;-10,3
Provincia de Córdoba;8.-HURTOS;4514;4260;-5,6
Municipio de Córdoba;1.-DELITOS Y FALTAS (EU);8329;7464;-10,4
Municipio de Córdoba;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Córdoba;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);214;220;2,8
Municipio de Córdoba;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);242;223;-7,9
Municipio de Córdoba;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);138;130;-5,8
Municipio de Córdoba;6.-TRÁFICO DE DROGAS (EU);35;65;85,7
Municipio de Córdoba;7.-DAÑOS;786;731;-7,0
Municipio de Córdoba;8.-HURTOS;3054;2979;-2,5
Provincia de Granada;1.-DELITOS Y FALTAS (EU);16686;16469;-1,3
Provincia de Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;0;-100,0
Provincia de Granada;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);371;364;-1,9
Provincia de Granada;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1000;1185;18,5
Provincia de Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);396;445;12,4
Provincia de Granada;6.-TRÁFICO DE DROGAS (EU);234;233;-0,4
Provincia de Granada;7.-DAÑOS;1824;1753;-3,9
Provincia de Granada;8.-HURTOS;5266;5347;1,5
Municipio de Granada;1.-DELITOS Y FALTAS (EU);6642;6621;-0,3
Municipio de Granada;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Granada;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);222;229;3,2
Municipio de Granada;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);212;232;9,4
Municipio de Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);161;165;2,5
Municipio de Granada;6.-TRÁFICO DE DROGAS (EU);75;50;-33,3
Municipio de Granada;7.-DAÑOS;574;594;3,5
Municipio de Granada;8.-HURTOS;2814;2948;4,8
Municipio de Motril;1.-DELITOS Y FALTAS (EU);1295;1221;-5,7
Municipio de Motril;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Motril;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);29;24;-17,2
Municipio de Motril;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);42;93;121,4
Municipio de Motril;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);25;52;108,0
Municipio de Motril;6.-TRÁFICO DE DROGAS (EU);19;19;0,0
Municipio de Motril;7.-DAÑOS;146;153;4,8
Municipio de Motril;8.-HURTOS;337;344;2,1
Provincia de Huelva;1.-DELITOS Y FALTAS (EU);10145;9914;-2,3
Provincia de Huelva;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;2;-33,3
Provincia de Huelva;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);157;146;-7,0
Provincia de Huelva;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);907;769;-15,2
Provincia de Huelva;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);177;179;1,1
Provincia de Huelva;6.-TRÁFICO DE DROGAS (EU);75;55;-26,7
Provincia de Huelva;7.-DAÑOS;781;862;10,4
Provincia de Huelva;8.-HURTOS;2841;2892;1,8
Municipio de Huelva;1.-DELITOS Y FALTAS (EU);3934;3602;-8,4
Municipio de Huelva;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Huelva;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);76;81;6,6
Municipio de Huelva;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);89;51;-42,7
Municipio de Huelva;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);63;44;-30,2
Municipio de Huelva;6.-TRÁFICO DE DROGAS (EU);26;16;-38,5
Municipio de Huelva;7.-DAÑOS;401;384;-4,2
Municipio de Huelva;8.-HURTOS;1564;1518;-2,9
Provincia de Jaén;1.-DELITOS Y FALTAS (EU);8825;8608;-2,5
Provincia de Jaén;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;1;-66,7
Provincia de Jaén;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);169;175;3,6
Provincia de Jaén;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);462;564;22,1
Provincia de Jaén;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);182;201;10,4
Provincia de Jaén;6.-TRÁFICO DE DROGAS (EU);36;42;16,7
Provincia de Jaén;7.-DAÑOS;1101;1039;-5,6
Provincia de Jaén;8.-HURTOS;2417;2297;-5,0
Municipio de Jaén;1.-DELITOS Y FALTAS (EU);2425;2394;-1,3
Municipio de Jaén;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Jaén;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);85;89;4,7
Municipio de Jaén;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);92;141;53,3
Municipio de Jaén;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);86;84;-2,3
Municipio de Jaén;6.-TRÁFICO DE DROGAS (EU);3;13;333,3
Municipio de Jaén;7.-DAÑOS;340;291;-14,4
Municipio de Jaén;8.-HURTOS;743;743;0,0
Municipio de Linares;1.-DELITOS Y FALTAS (EU);969;985;1,7
Municipio de Linares;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Linares;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);29;23;-20,7
Municipio de Linares;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);40;41;2,5
Municipio de Linares;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);22;29;31,8
Municipio de Linares;6.-TRÁFICO DE DROGAS (EU);5;8;60,0
Municipio de Linares;7.-DAÑOS;115;143;24,3
Municipio de Linares;8.-HURTOS;346;351;1,4
Provincia de Málaga;1.-DELITOS Y FALTAS (EU);37510;36960;-1,5
Provincia de Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);7;7;0,0
Provincia de Málaga;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);671;751;11,9
Provincia de Málaga;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1864;1929;3,5
Provincia de Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1188;1099;-7,5
Provincia de Málaga;6.-TRÁFICO DE DROGAS (EU);434;407;-6,2
Provincia de Málaga;7.-DAÑOS;3526;3647;3,4
Provincia de Málaga;8.-HURTOS;13377;13392;0,1
Municipio de Benalmádena;1.-DELITOS Y FALTAS (EU);2078;1769;-14,9
Municipio de Benalmádena;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Benalmádena;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);26;27;3,8
Municipio de Benalmádena;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);82;89;8,5
Municipio de Benalmádena;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);56;49;-12,5
