"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"131"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"40"
"2017";"Trimestre 3";"Hurtos";"79.451"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"19.005"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"5.754"
"2017";"Trimestre 3";"Secuestro";"14"
"2017";"Trimestre 3";"Sustracciones de vehículos";"6.766"
"2017";"Trimestre 3";"Total";"253.837"
"2017";"Trimestre 3";"Tráfico de drogas";"2.693"
"2017";"Trimestre 4";"Agresión sexual con penetración";"173"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"49"
"2017";"Trimestre 4";"Hurtos";"103.746"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"24.718"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"7.668"
"2017";"Trimestre 4";"Secuestro";"15"
"2017";"Trimestre 4";"Sustracciones de vehículos";"8.755"
"2017";"Trimestre 4";"Total";"334.331"
"2017";"Trimestre 4";"Tráfico de drogas";"3.472"
"2018";"Trimestre 1";"Agresión sexual con penetración";"40"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"16"
"2018";"Trimestre 1";"Hurtos";"22.540"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"6.330"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"1.687"
"2018";"Trimestre 1";"Secuestro";"7"
"2018";"Trimestre 1";"Sustracciones de vehículos";"1.759"
"2018";"Trimestre 1";"Total";"79.244"
"2018";"Trimestre 1";"Tráfico de drogas";"835"
"2018";"Trimestre 2";"Agresión sexual con penetración";"92"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"40"
"2018";"Trimestre 2";"Hurtos";"47.009"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"11.840"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"3.421"
"2018";"Trimestre 2";"Secuestro";"13"
"2018";"Trimestre 2";"Sustracciones de vehículos";"3.390"
"2018";"Trimestre 2";"Total";"164.076"
"2018";"Trimestre 2";"Tráfico de drogas";"1.847"
"2018";"Trimestre 3";"Agresión sexual con penetración";"152"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"54"
"2018";"Trimestre 3";"Hurtos";"71.950"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"17.514"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"5.250"
"2018";"Trimestre 3";"Secuestro";"21"
"2018";"Trimestre 3";"Sustracciones de vehículos";"5.180"
"2018";"Trimestre 3";"Total";"252.244"
"2018";"Trimestre 3";"Tráfico de drogas";"2.856"
"2018";"Trimestre 4";"Agresión sexual con penetración";"198"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"72"
"2018";"Trimestre 4";"Hurtos";"93.459"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"23.157"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"7.093"
"2018";"Trimestre 4";"Secuestro";"26"
"2018";"Trimestre 4";"Sustracciones de vehículos";"6.872"
"2018";"Trimestre 4";"Total";"334.841"
"2018";"Trimestre 4";"Tráfico de drogas";"3.663"
"2019";"Trimestre 1";"Agresión sexual con penetración";"54"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"15"
"2019";"Trimestre 1";"Hurtos";"21.638"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.729"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"1.740"
"2019";"Trimestre 1";"Secuestro";"13"
"2019";"Trimestre 1";"Sustracciones de vehículos";"1.654"
"2019";"Trimestre 1";"Total";"81.460"
"2019";"Trimestre 1";"Tráfico de drogas";"965"
"2019";"Trimestre 2";"Agresión sexual con penetración";"113"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"33"
"2019";"Trimestre 2";"Hurtos";"44.775"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"11.042"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"3.554"
"2019";"Trimestre 2";"Secuestro";"24"
"2019";"Trimestre 2";"Sustracciones de vehículos";"3.342"
"2019";"Trimestre 2";"Total";"165.695"
"2019";"Trimestre 2";"Tráfico de drogas";"2.029"
"2019";"Trimestre 3";"Agresión sexual con penetración";"192"
"2019";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"59"
"2019";"Trimestre 3";"Hurtos";"69.661"
"2019";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"16.572"
"2019";"Trimestre 3";"Robos con violencia e intimidación";"5.424"
"2019";"Trimestre 3";"Secuestro";"26"
"2019";"Trimestre 3";"Sustracciones de vehículos";"4.988"
"2019";"Trimestre 3";"Total";"255.762"
"2019";"Trimestre 3";"Tráfico de drogas";"3.241"
"2019";"Trimestre 4";"Agresión sexual con penetración";"261"
"2019";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"82"
"2019";"Trimestre 4";"Hurtos";"91.398"
"2019";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"22.455"
"2019";"Trimestre 4";"Robos con violencia e intimidación";"7.344"
"2019";"Trimestre 4";"Secuestro";"31"
"2019";"Trimestre 4";"Sustracciones de vehículos";"6.543"
"2019";"Trimestre 4";"Total";"339.954"
"2019";"Trimestre 4";"Tráfico de drogas";"4.297"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/andalucia/290"
"Titulo":"Estadística de crimen en Andalucía﻿ "
"Subtitulo":""
