"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"21"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"3"
"2017";"Trimestre 3";"Hurtos";"8.098"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.921"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"575"
"2017";"Trimestre 3";"Secuestro";"0"
"2017";"Trimestre 3";"Sustracciones de vehículos";"325"
"2017";"Trimestre 3";"Total";"28.051"
"2017";"Trimestre 3";"Tráfico de drogas";"214"
"2017";"Trimestre 4";"Agresión sexual con penetración";"27"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"8"
"2017";"Trimestre 4";"Hurtos";"11.004"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.555"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"798"
"2017";"Trimestre 4";"Secuestro";"0"
"2017";"Trimestre 4";"Sustracciones de vehículos";"392"
"2017";"Trimestre 4";"Total";"37.878"
"2017";"Trimestre 4";"Tráfico de drogas";"270"
"2018";"Trimestre 1";"Agresión sexual con penetración";"7"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2018";"Trimestre 1";"Hurtos";"2.450"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"625"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"192"
"2018";"Trimestre 1";"Secuestro";"0"
"2018";"Trimestre 1";"Sustracciones de vehículos";"74"
"2018";"Trimestre 1";"Total";"9.037"
"2018";"Trimestre 1";"Tráfico de drogas";"51"
"2018";"Trimestre 2";"Agresión sexual con penetración";"16"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"1"
"2018";"Trimestre 2";"Hurtos";"4.910"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.202"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"372"
"2018";"Trimestre 2";"Secuestro";"0"
"2018";"Trimestre 2";"Sustracciones de vehículos";"151"
"2018";"Trimestre 2";"Total";"18.404"
"2018";"Trimestre 2";"Tráfico de drogas";"142"
"2018";"Trimestre 3";"Agresión sexual con penetración";"26"
