"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"16"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"1"
"2017";"Trimestre 3";"Hurtos";"5.518"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.325"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"303"
"2017";"Trimestre 3";"Secuestro";"0"
"2017";"Trimestre 3";"Sustracciones de vehículos";"318"
"2017";"Trimestre 3";"Total";"19.243"
"2017";"Trimestre 3";"Tráfico de drogas";"105"
"2017";"Trimestre 4";"Agresión sexual con penetración";"20"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"5"
"2017";"Trimestre 4";"Hurtos";"7.261"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.737"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"371"
"2017";"Trimestre 4";"Secuestro";"0"
"2017";"Trimestre 4";"Sustracciones de vehículos";"394"
"2017";"Trimestre 4";"Total";"25.652"
"2017";"Trimestre 4";"Tráfico de drogas";"130"
"2018";"Trimestre 1";"Agresión sexual con penetración";"5"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"2"
"2018";"Trimestre 1";"Hurtos";"1.638"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"434"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"68"
"2018";"Trimestre 1";"Secuestro";"0"
"2018";"Trimestre 1";"Sustracciones de vehículos";"57"
"2018";"Trimestre 1";"Total";"6.088"
"2018";"Trimestre 1";"Tráfico de drogas";"20"
"2018";"Trimestre 2";"Agresión sexual con penetración";"8"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"3"
"2018";"Trimestre 2";"Hurtos";"3.360"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"758"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"163"
"2018";"Trimestre 2";"Secuestro";"3"
"2018";"Trimestre 2";"Sustracciones de vehículos";"111"
"2018";"Trimestre 2";"Total";"12.390"
"2018";"Trimestre 2";"Tráfico de drogas";"48"
"2018";"Trimestre 3";"Agresión sexual con penetración";"14"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"7"
"2018";"Trimestre 3";"Hurtos";"5.406"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.099"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"254"
"2018";"Trimestre 3";"Secuestro";"3"
"2018";"Trimestre 3";"Sustracciones de vehículos";"163"
"2018";"Trimestre 3";"Total";"19.302"
"2018";"Trimestre 3";"Tráfico de drogas";"98"
"2018";"Trimestre 4";"Agresión sexual con penetración";"17"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"7"
"2018";"Trimestre 4";"Hurtos";"7.223"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.493"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"355"
"2018";"Trimestre 4";"Secuestro";"3"
"2018";"Trimestre 4";"Sustracciones de vehículos";"211"
"2018";"Trimestre 4";"Total";"26.433"
"2018";"Trimestre 4";"Tráfico de drogas";"140"
"2019";"Trimestre 1";"Agresión sexual con penetración";"0"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2019";"Trimestre 1";"Hurtos";"1.726"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"417"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"94"
"2019";"Trimestre 1";"Secuestro";"0"
"2019";"Trimestre 1";"Sustracciones de vehículos";"38"
"2019";"Trimestre 1";"Total";"6.564"
"2019";"Trimestre 1";"Tráfico de drogas";"48"
"2019";"Trimestre 2";"Agresión sexual con penetración";"2"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"1"
"2019";"Trimestre 2";"Hurtos";"3.420"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"751"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"179"
"2019";"Trimestre 2";"Secuestro";"0"
"2019";"Trimestre 2";"Sustracciones de vehículos";"87"
"2019";"Trimestre 2";"Total";"13.290"
"2019";"Trimestre 2";"Tráfico de drogas";"103"
"2019";"Trimestre 3";"Agresión sexual con penetración";"8"
"2019";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"5"
"2019";"Trimestre 3";"Hurtos";"5.161"
"2019";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.108"
"2019";"Trimestre 3";"Robos con violencia e intimidación";"273"
"2019";"Trimestre 3";"Secuestro";"0"
