"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"45"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"3"
"2017";"Trimestre 3";"Hurtos";"23.835"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.115"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"1.063"
"2017";"Trimestre 3";"Secuestro";"0"
"2017";"Trimestre 3";"Sustracciones de vehículos";"1.316"
"2017";"Trimestre 3";"Total";"56.279"
"2017";"Trimestre 3";"Tráfico de drogas";"421"
"2017";"Trimestre 4";"Agresión sexual con penetración";"50"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"4"
"2017";"Trimestre 4";"Hurtos";"29.183"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.281"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"1.354"
"2017";"Trimestre 4";"Secuestro";"0"
"2017";"Trimestre 4";"Sustracciones de vehículos";"1.717"
"2017";"Trimestre 4";"Total";"72.157"
"2017";"Trimestre 4";"Tráfico de drogas";"483"
"2018";"Trimestre 1";"Agresión sexual con penetración";"7"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2018";"Trimestre 1";"Hurtos";"3.632"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.056"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"239"
"2018";"Trimestre 1";"Secuestro";"1"
"2018";"Trimestre 1";"Sustracciones de vehículos";"304"
"2018";"Trimestre 1";"Total";"13.021"
"2018";"Trimestre 1";"Tráfico de drogas";"59"
"2018";"Trimestre 2";"Agresión sexual con penetración";"23"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"3"
"2018";"Trimestre 2";"Hurtos";"11.064"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.996"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"530"
"2018";"Trimestre 2";"Secuestro";"1"
"2018";"Trimestre 2";"Sustracciones de vehículos";"672"
"2018";"Trimestre 2";"Total";"31.375"
"2018";"Trimestre 2";"Tráfico de drogas";"204"
"2018";"Trimestre 3";"Agresión sexual con penetración";"62"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"4"
"2018";"Trimestre 3";"Hurtos";"21.807"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.139"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"971"
"2018";"Trimestre 3";"Secuestro";"1"
"2018";"Trimestre 3";"Sustracciones de vehículos";"1.157"
"2018";"Trimestre 3";"Total";"56.131"
"2018";"Trimestre 3";"Tráfico de drogas";"430"
"2018";"Trimestre 4";"Agresión sexual con penetración";"73"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"8"
"2018";"Trimestre 4";"Hurtos";"27.629"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.110"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"1.230"
"2018";"Trimestre 4";"Secuestro";"1"
"2018";"Trimestre 4";"Sustracciones de vehículos";"1.432"
"2018";"Trimestre 4";"Total";"73.661"
"2018";"Trimestre 4";"Tráfico de drogas";"514"
"2019";"Trimestre 1";"Agresión sexual con penetración";"10"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2019";"Trimestre 1";"Hurtos";"3.848"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"901"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"229"
"2019";"Trimestre 1";"Secuestro";"0"
"2019";"Trimestre 1";"Sustracciones de vehículos";"231"
"2019";"Trimestre 1";"Total";"14.580"
"2019";"Trimestre 1";"Tráfico de drogas";"62"
"2019";"Trimestre 2";"Agresión sexual con penetración";"35"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"2"
"2019";"Trimestre 2";"Hurtos";"11.144"
