"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"56"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"15"
"2017";"Trimestre 3";"Hurtos";"22.817"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.178"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"1.094"
"2017";"Trimestre 3";"Secuestro";"4"
"2017";"Trimestre 3";"Sustracciones de vehículos";"1.392"
"2017";"Trimestre 3";"Total";"68.852"
"2017";"Trimestre 3";"Tráfico de drogas";"464"
"2017";"Trimestre 4";"Agresión sexual con penetración";"80"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"20"
"2017";"Trimestre 4";"Hurtos";"30.127"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.347"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"1.436"
"2017";"Trimestre 4";"Secuestro";"4"
"2017";"Trimestre 4";"Sustracciones de vehículos";"1.797"
"2017";"Trimestre 4";"Total";"91.359"
"2017";"Trimestre 4";"Tráfico de drogas";"597"
"2018";"Trimestre 1";"Agresión sexual con penetración";"24"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"9"
"2018";"Trimestre 1";"Hurtos";"8.440"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.496"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"388"
"2018";"Trimestre 1";"Secuestro";"2"
"2018";"Trimestre 1";"Sustracciones de vehículos";"326"
"2018";"Trimestre 1";"Total";"23.581"
"2018";"Trimestre 1";"Tráfico de drogas";"162"
"2018";"Trimestre 2";"Agresión sexual con penetración";"52"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"18"
"2018";"Trimestre 2";"Hurtos";"14.260"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.704"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"732"
"2018";"Trimestre 2";"Secuestro";"2"
"2018";"Trimestre 2";"Sustracciones de vehículos";"622"
"2018";"Trimestre 2";"Total";"44.324"
"2018";"Trimestre 2";"Tráfico de drogas";"359"
"2018";"Trimestre 3";"Agresión sexual con penetración";"70"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"23"
