"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"4"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"3"
"2017";"Trimestre 3";"Hurtos";"3.803"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.159"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"163"
"2017";"Trimestre 3";"Secuestro";"0"
"2017";"Trimestre 3";"Sustracciones de vehículos";"176"
"2017";"Trimestre 3";"Total";"13.281"
"2017";"Trimestre 3";"Tráfico de drogas";"45"
"2017";"Trimestre 4";"Agresión sexual con penetración";"8"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"3"
"2017";"Trimestre 4";"Hurtos";"4.983"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.639"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"214"
"2017";"Trimestre 4";"Secuestro";"0"
"2017";"Trimestre 4";"Sustracciones de vehículos";"207"
"2017";"Trimestre 4";"Total";"17.440"
"2017";"Trimestre 4";"Tráfico de drogas";"63"
"2018";"Trimestre 1";"Agresión sexual con penetración";"1"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2018";"Trimestre 1";"Hurtos";"1.089"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"449"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"44"
"2018";"Trimestre 1";"Secuestro";"0"
"2018";"Trimestre 1";"Sustracciones de vehículos";"37"
"2018";"Trimestre 1";"Total";"4.037"
"2018";"Trimestre 1";"Tráfico de drogas";"17"
"2018";"Trimestre 2";"Agresión sexual con penetración";"2"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"1"
"2018";"Trimestre 2";"Hurtos";"2.227"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"786"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"76"
"2018";"Trimestre 2";"Secuestro";"0"
"2018";"Trimestre 2";"Sustracciones de vehículos";"73"
"2018";"Trimestre 2";"Total";"8.319"
"2018";"Trimestre 2";"Tráfico de drogas";"40"
"2018";"Trimestre 3";"Agresión sexual con penetración";"7"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"2"
"2018";"Trimestre 3";"Hurtos";"3.568"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.130"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"121"
"2018";"Trimestre 3";"Secuestro";"0"
"2018";"Trimestre 3";"Sustracciones de vehículos";"98"
"2018";"Trimestre 3";"Total";"13.196"
"2018";"Trimestre 3";"Tráfico de drogas";"65"
"2018";"Trimestre 4";"Agresión sexual con penetración";"8"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"2"
"2018";"Trimestre 4";"Hurtos";"4.669"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.579"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"177"
"2018";"Trimestre 4";"Secuestro";"0"
"2018";"Trimestre 4";"Sustracciones de vehículos";"123"
"2018";"Trimestre 4";"Total";"17.674"
"2018";"Trimestre 4";"Tráfico de drogas";"87"
"2019";"Trimestre 1";"Agresión sexual con penetración";"1"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2019";"Trimestre 1";"Hurtos";"1.105"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"435"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"56"
"2019";"Trimestre 1";"Secuestro";"0"
"2019";"Trimestre 1";"Sustracciones de vehículos";"32"
"2019";"Trimestre 1";"Total";"4.282"
"2019";"Trimestre 1";"Tráfico de drogas";"20"
"2019";"Trimestre 2";"Agresión sexual con penetración";"2"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"1"
"2019";"Trimestre 2";"Hurtos";"2.287"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"811"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"91"
"2019";"Trimestre 2";"Secuestro";"0"
"2019";"Trimestre 2";"Sustracciones de vehículos";"55"
"2019";"Trimestre 2";"Total";"8.620"
"2019";"Trimestre 2";"Tráfico de drogas";"42"
"2019";"Trimestre 3";"Agresión sexual con penetración";"7"
"2019";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"4"
"2019";"Trimestre 3";"Hurtos";"3.757"
"2019";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.183"
"2019";"Trimestre 3";"Robos con violencia e intimidación";"140"
"2019";"Trimestre 3";"Secuestro";"0"
"2019";"Trimestre 3";"Sustracciones de vehículos";"92"
"2019";"Trimestre 3";"Total";"13.728"
"2019";"Trimestre 3";"Tráfico de drogas";"61"
"2019";"Trimestre 4";"Agresión sexual con penetración";"10"
"2019";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"6"
"2019";"Trimestre 4";"Hurtos";"4.881"
"2019";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.628"
"2019";"Trimestre 4";"Robos con violencia e intimidación";"225"
"2019";"Trimestre 4";"Secuestro";"0"
"2019";"Trimestre 4";"Sustracciones de vehículos";"134"
"2019";"Trimestre 4";"Total";"18.105"
"2019";"Trimestre 4";"Tráfico de drogas";"80"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/cantabria/294"
"Titulo":"Estadística de crimen en Cantabria﻿ "
"Subtitulo":""
