"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"26"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"11"
"2017";"Trimestre 3";"Hurtos";"11.501"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.685"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"783"
"2017";"Trimestre 3";"Secuestro";"1"
"2017";"Trimestre 3";"Sustracciones de vehículos";"939"
"2017";"Trimestre 3";"Total";"47.875"
"2017";"Trimestre 3";"Tráfico de drogas";"307"
"2017";"Trimestre 4";"Agresión sexual con penetración";"34"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"12"
"2017";"Trimestre 4";"Hurtos";"15.200"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"7.769"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"1.026"
"2017";"Trimestre 4";"Secuestro";"2"
"2017";"Trimestre 4";"Sustracciones de vehículos";"1.105"
"2017";"Trimestre 4";"Total";"64.006"
"2017";"Trimestre 4";"Tráfico de drogas";"426"
"2018";"Trimestre 1";"Agresión sexual con penetración";"10"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2018";"Trimestre 1";"Hurtos";"3.508"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.117"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"202"
"2018";"Trimestre 1";"Secuestro";"0"
"2018";"Trimestre 1";"Sustracciones de vehículos";"159"
"2018";"Trimestre 1";"Total";"16.287"
"2018";"Trimestre 1";"Tráfico de drogas";"86"
"2018";"Trimestre 2";"Agresión sexual con penetración";"23"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"5"
"2018";"Trimestre 2";"Hurtos";"7.305"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.983"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"435"
"2018";"Trimestre 2";"Secuestro";"0"
"2018";"Trimestre 2";"Sustracciones de vehículos";"314"
"2018";"Trimestre 2";"Total";"33.262"
"2018";"Trimestre 2";"Tráfico de drogas";"196"
"2018";"Trimestre 3";"Agresión sexual con penetración";"39"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"8"
"2018";"Trimestre 3";"Hurtos";"11.033"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.562"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"706"
"2018";"Trimestre 3";"Secuestro";"2"
"2018";"Trimestre 3";"Sustracciones de vehículos";"463"
"2018";"Trimestre 3";"Total";"50.514"
"2018";"Trimestre 3";"Tráfico de drogas";"323"
"2018";"Trimestre 4";"Agresión sexual con penetración";"52"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"8"
"2018";"Trimestre 4";"Hurtos";"14.490"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"7.411"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"968"
"2018";"Trimestre 4";"Secuestro";"5"
"2018";"Trimestre 4";"Sustracciones de vehículos";"668"
"2018";"Trimestre 4";"Total";"68.332"
"2018";"Trimestre 4";"Tráfico de drogas";"439"
"2019";"Trimestre 1";"Agresión sexual con penetración";"10"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"5"
"2019";"Trimestre 1";"Hurtos";"3.290"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.714"
