"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"25"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"12"
"2017";"Trimestre 3";"Hurtos";"15.631"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.735"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"557"
"2017";"Trimestre 3";"Secuestro";"1"
"2017";"Trimestre 3";"Sustracciones de vehículos";"520"
"2017";"Trimestre 3";"Total";"53.529"
"2017";"Trimestre 3";"Tráfico de drogas";"258"
"2017";"Trimestre 4";"Agresión sexual con penetración";"31"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"13"
"2017";"Trimestre 4";"Hurtos";"21.070"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.184"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"726"
"2017";"Trimestre 4";"Secuestro";"2"
"2017";"Trimestre 4";"Sustracciones de vehículos";"659"
"2017";"Trimestre 4";"Total";"71.874"
"2017";"Trimestre 4";"Tráfico de drogas";"334"
"2018";"Trimestre 1";"Agresión sexual con penetración";"10"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"2"
"2018";"Trimestre 1";"Hurtos";"4.560"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.340"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"168"
"2018";"Trimestre 1";"Secuestro";"0"
"2018";"Trimestre 1";"Sustracciones de vehículos";"134"
"2018";"Trimestre 1";"Total";"17.410"
"2018";"Trimestre 1";"Tráfico de drogas";"73"
"2018";"Trimestre 2";"Agresión sexual con penetración";"20"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"5"
"2018";"Trimestre 2";"Hurtos";"9.468"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.635"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"348"
"2018";"Trimestre 2";"Secuestro";"0"
"2018";"Trimestre 2";"Sustracciones de vehículos";"263"
"2018";"Trimestre 2";"Total";"35.532"
"2018";"Trimestre 2";"Tráfico de drogas";"179"
"2018";"Trimestre 3";"Agresión sexual con penetración";"43"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"9"
"2018";"Trimestre 3";"Hurtos";"14.633"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.856"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"533"
"2018";"Trimestre 3";"Secuestro";"0"
"2018";"Trimestre 3";"Sustracciones de vehículos";"412"
"2018";"Trimestre 3";"Total";"55.165"
"2018";"Trimestre 3";"Tráfico de drogas";"299"
"2018";"Trimestre 4";"Agresión sexual con penetración";"52"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"11"
"2018";"Trimestre 4";"Hurtos";"19.715"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.362"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"708"
"2018";"Trimestre 4";"Secuestro";"2"
"2018";"Trimestre 4";"Sustracciones de vehículos";"572"
"2018";"Trimestre 4";"Total";"74.863"
"2018";"Trimestre 4";"Tráfico de drogas";"408"
"2019";"Trimestre 1";"Agresión sexual con penetración";"12"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2019";"Trimestre 1";"Hurtos";"4.552"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.293"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"151"
"2019";"Trimestre 1";"Secuestro";"1"
"2019";"Trimestre 1";"Sustracciones de vehículos";"141"
"2019";"Trimestre 1";"Total";"18.136"
"2019";"Trimestre 1";"Tráfico de drogas";"81"
"2019";"Trimestre 2";"Agresión sexual con penetración";"21"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"3"
"2019";"Trimestre 2";"Hurtos";"9.168"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.409"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"316"
"2019";"Trimestre 2";"Secuestro";"2"
"2019";"Trimestre 2";"Sustracciones de vehículos";"270"
"2019";"Trimestre 2";"Total";"36.679"
