"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"300"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"53"
"2017";"Trimestre 3";"Hurtos";"129.104"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"22.356"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"15.117"
"2017";"Trimestre 3";"Secuestro";"9"
"2017";"Trimestre 3";"Sustracciones de vehículos";"6.550"
"2017";"Trimestre 3";"Total";"310.717"
"2017";"Trimestre 3";"Tráfico de drogas";"1.836"
"2017";"Trimestre 4";"Agresión sexual con penetración";"394"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"65"
"2017";"Trimestre 4";"Hurtos";"173.684"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"31.199"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"20.615"
"2017";"Trimestre 4";"Secuestro";"10"
"2017";"Trimestre 4";"Sustracciones de vehículos";"8.855"
"2017";"Trimestre 4";"Total";"422.286"
"2017";"Trimestre 4";"Tráfico de drogas";"2.269"
"2018";"Trimestre 1";"Agresión sexual con penetración";"110"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"9"
"2018";"Trimestre 1";"Hurtos";"43.265"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"8.905"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"5.209"
"2018";"Trimestre 1";"Secuestro";"3"
"2018";"Trimestre 1";"Sustracciones de vehículos";"2.040"
"2018";"Trimestre 1";"Total";"109.331"
"2018";"Trimestre 1";"Tráfico de drogas";"610"
"2018";"Trimestre 2";"Agresión sexual con penetración";"228"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"23"
"2018";"Trimestre 2";"Hurtos";"91.551"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"16.736"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"10.190"
"2018";"Trimestre 2";"Secuestro";"3"
"2018";"Trimestre 2";"Sustracciones de vehículos";"4.286"
"2018";"Trimestre 2";"Total";"225.586"
"2018";"Trimestre 2";"Tráfico de drogas";"1.249"
"2018";"Trimestre 3";"Agresión sexual con penetración";"354"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"36"
"2018";"Trimestre 3";"Hurtos";"145.267"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"25.453"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"16.139"
"2018";"Trimestre 3";"Secuestro";"3"
"2018";"Trimestre 3";"Sustracciones de vehículos";"6.737"
"2018";"Trimestre 3";"Total";"351.271"
"2018";"Trimestre 3";"Tráfico de drogas";"1.849"
"2018";"Trimestre 4";"Agresión sexual con penetración";"468"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"45"
"2018";"Trimestre 4";"Hurtos";"192.054"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"34.491"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"22.506"
"2018";"Trimestre 4";"Secuestro";"5"
"2018";"Trimestre 4";"Sustracciones de vehículos";"9.193"
"2018";"Trimestre 4";"Total";"471.510"
"2018";"Trimestre 4";"Tráfico de drogas";"2.452"
"2019";"Trimestre 1";"Agresión sexual con penetración";"122"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"9"
"2019";"Trimestre 1";"Hurtos";"45.295"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"8.800"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"6.164"
"2019";"Trimestre 1";"Secuestro";"4"
"2019";"Trimestre 1";"Sustracciones de vehículos";"2.450"
"2019";"Trimestre 1";"Total";"116.452"
"2019";"Trimestre 1";"Tráfico de drogas";"658"
"2019";"Trimestre 2";"Agresión sexual con penetración";"249"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"20"
"2019";"Trimestre 2";"Hurtos";"95.026"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"16.206"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"12.367"
"2019";"Trimestre 2";"Secuestro";"5"
"2019";"Trimestre 2";"Sustracciones de vehículos";"4.857"
"2019";"Trimestre 2";"Total";"236.771"
"2019";"Trimestre 2";"Tráfico de drogas";"1.292"
