"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"2"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"1"
"2017";"Trimestre 3";"Hurtos";"626"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"62"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"91"
"2017";"Trimestre 3";"Secuestro";"0"
"2017";"Trimestre 3";"Sustracciones de vehículos";"162"
"2017";"Trimestre 3";"Total";"3.466"
"2017";"Trimestre 3";"Tráfico de drogas";"199"
"2017";"Trimestre 4";"Agresión sexual con penetración";"5"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"1"
"2017";"Trimestre 4";"Hurtos";"810"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"83"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"131"
"2017";"Trimestre 4";"Secuestro";"1"
"2017";"Trimestre 4";"Sustracciones de vehículos";"216"
"2017";"Trimestre 4";"Total";"4.503"
"2017";"Trimestre 4";"Tráfico de drogas";"227"
"2018";"Trimestre 1";"Agresión sexual con penetración";"2"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2018";"Trimestre 1";"Hurtos";"187"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"21"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"30"
"2018";"Trimestre 1";"Secuestro";"0"
"2018";"Trimestre 1";"Sustracciones de vehículos";"66"
"2018";"Trimestre 1";"Total";"1.099"
"2018";"Trimestre 1";"Tráfico de drogas";"52"
"2018";"Trimestre 2";"Agresión sexual con penetración";"3"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"1"
"2018";"Trimestre 2";"Hurtos";"382"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"46"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"64"
"2018";"Trimestre 2";"Secuestro";"0"
"2018";"Trimestre 2";"Sustracciones de vehículos";"129"
"2018";"Trimestre 2";"Total";"2.218"
"2018";"Trimestre 2";"Tráfico de drogas";"100"
"2018";"Trimestre 3";"Agresión sexual con penetración";"4"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"1"
"2018";"Trimestre 3";"Hurtos";"639"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"70"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"106"
"2018";"Trimestre 3";"Secuestro";"0"
"2018";"Trimestre 3";"Sustracciones de vehículos";"195"
"2018";"Trimestre 3";"Total";"3.524"
