"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"6"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"7"
"2017";"Trimestre 3";"Hurtos";"5.366"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.544"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"209"
"2017";"Trimestre 3";"Secuestro";"0"
"2017";"Trimestre 3";"Sustracciones de vehículos";"256"
"2017";"Trimestre 3";"Total";"19.729"
"2017";"Trimestre 3";"Tráfico de drogas";"147"
"2017";"Trimestre 4";"Agresión sexual con penetración";"10"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"8"
"2017";"Trimestre 4";"Hurtos";"7.245"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.192"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"277"
"2017";"Trimestre 4";"Secuestro";"1"
"2017";"Trimestre 4";"Sustracciones de vehículos";"336"
"2017";"Trimestre 4";"Total";"26.411"
"2017";"Trimestre 4";"Tráfico de drogas";"201"
"2018";"Trimestre 1";"Agresión sexual con penetración";"6"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2018";"Trimestre 1";"Hurtos";"1.601"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"639"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"67"
"2018";"Trimestre 1";"Secuestro";"0"
"2018";"Trimestre 1";"Sustracciones de vehículos";"37"
"2018";"Trimestre 1";"Total";"6.497"
"2018";"Trimestre 1";"Tráfico de drogas";"37"
"2018";"Trimestre 2";"Agresión sexual con penetración";"10"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"2"
"2018";"Trimestre 2";"Hurtos";"3.345"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.117"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"126"
"2018";"Trimestre 2";"Secuestro";"0"
"2018";"Trimestre 2";"Sustracciones de vehículos";"82"
"2018";"Trimestre 2";"Total";"13.140"
"2018";"Trimestre 2";"Tráfico de drogas";"86"
"2018";"Trimestre 3";"Agresión sexual con penetración";"16"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"2"
"2018";"Trimestre 3";"Hurtos";"4.932"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.475"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"194"
"2018";"Trimestre 3";"Secuestro";"0"
"2018";"Trimestre 3";"Sustracciones de vehículos";"118"
"2018";"Trimestre 3";"Total";"19.808"
"2018";"Trimestre 3";"Tráfico de drogas";"174"
"2018";"Trimestre 4";"Agresión sexual con penetración";"21"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"4"
"2018";"Trimestre 4";"Hurtos";"6.616"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.026"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"252"
"2018";"Trimestre 4";"Secuestro";"0"
"2018";"Trimestre 4";"Sustracciones de vehículos";"160"
"2018";"Trimestre 4";"Total";"26.813"
"2018";"Trimestre 4";"Tráfico de drogas";"233"
"2019";"Trimestre 1";"Agresión sexual con penetración";"2"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2019";"Trimestre 1";"Hurtos";"1.673"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"465"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"81"
"2019";"Trimestre 1";"Secuestro";"0"
"2019";"Trimestre 1";"Sustracciones de vehículos";"45"
"2019";"Trimestre 1";"Total";"6.796"
"2019";"Trimestre 1";"Tráfico de drogas";"50"
"2019";"Trimestre 2";"Agresión sexual con penetración";"7"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"3"
"2019";"Trimestre 2";"Hurtos";"3.240"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"771"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"157"
"2019";"Trimestre 2";"Secuestro";"0"
"2019";"Trimestre 2";"Sustracciones de vehículos";"81"
"2019";"Trimestre 2";"Total";"13.329"
"2019";"Trimestre 2";"Tráfico de drogas";"128"
"2019";"Trimestre 3";"Agresión sexual con penetración";"14"
"2019";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"3"
"2019";"Trimestre 3";"Hurtos";"4.800"
"2019";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.147"
"2019";"Trimestre 3";"Robos con violencia e intimidación";"239"
"2019";"Trimestre 3";"Secuestro";"0"
"2019";"Trimestre 3";"Sustracciones de vehículos";"112"
"2019";"Trimestre 3";"Total";"20.319"
"2019";"Trimestre 3";"Tráfico de drogas";"215"
"2019";"Trimestre 4";"Agresión sexual con penetración";"18"
"2019";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"5"
"2019";"Trimestre 4";"Hurtos";"6.569"
"2019";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.661"
"2019";"Trimestre 4";"Robos con violencia e intimidación";"320"
"2019";"Trimestre 4";"Secuestro";"1"
"2019";"Trimestre 4";"Sustracciones de vehículos";"144"
"2019";"Trimestre 4";"Total";"27.658"
"2019";"Trimestre 4";"Tráfico de drogas";"297"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/extremadura/300"
"Titulo":"Estadística de crimen en Extremadura﻿ "
"Subtitulo":""
