"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"36"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"10"
"2017";"Trimestre 3";"Hurtos";"15.439"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.054"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"806"
"2017";"Trimestre 3";"Secuestro";"3"
"2017";"Trimestre 3";"Sustracciones de vehículos";"635"
"2017";"Trimestre 3";"Total";"55.478"
"2017";"Trimestre 3";"Tráfico de drogas";"294"
"2017";"Trimestre 4";"Agresión sexual con penetración";"44"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"13"
"2017";"Trimestre 4";"Hurtos";"20.320"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.438"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"1.057"
"2017";"Trimestre 4";"Secuestro";"4"
"2017";"Trimestre 4";"Sustracciones de vehículos";"794"
"2017";"Trimestre 4";"Total";"74.174"
"2017";"Trimestre 4";"Tráfico de drogas";"371"
"2018";"Trimestre 1";"Agresión sexual con penetración";"13"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"4"
"2018";"Trimestre 1";"Hurtos";"4.403"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.458"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"230"
"2018";"Trimestre 1";"Secuestro";"1"
"2018";"Trimestre 1";"Sustracciones de vehículos";"121"
"2018";"Trimestre 1";"Total";"17.734"
"2018";"Trimestre 1";"Tráfico de drogas";"107"
"2018";"Trimestre 2";"Agresión sexual con penetración";"29"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"4"
"2018";"Trimestre 2";"Hurtos";"9.388"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.858"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"451"
"2018";"Trimestre 2";"Secuestro";"1"
"2018";"Trimestre 2";"Sustracciones de vehículos";"281"
"2018";"Trimestre 2";"Total";"37.018"
"2018";"Trimestre 2";"Tráfico de drogas";"202"
"2018";"Trimestre 3";"Agresión sexual con penetración";"45"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"6"
"2018";"Trimestre 3";"Hurtos";"15.158"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.163"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"718"
"2018";"Trimestre 3";"Secuestro";"1"
"2018";"Trimestre 3";"Sustracciones de vehículos";"428"
"2018";"Trimestre 3";"Total";"58.318"
"2018";"Trimestre 3";"Tráfico de drogas";"322"
"2018";"Trimestre 4";"Agresión sexual con penetración";"57"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"8"
"2018";"Trimestre 4";"Hurtos";"19.903"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.379"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"951"
"2018";"Trimestre 4";"Secuestro";"2"
"2018";"Trimestre 4";"Sustracciones de vehículos";"584"
"2018";"Trimestre 4";"Total";"78.526"
"2018";"Trimestre 4";"Tráfico de drogas";"433"
"2019";"Trimestre 1";"Agresión sexual con penetración";"13"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"4"
"2019";"Trimestre 1";"Hurtos";"4.466"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.269"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"225"
"2019";"Trimestre 1";"Secuestro";"0"
"2019";"Trimestre 1";"Sustracciones de vehículos";"138"
"2019";"Trimestre 1";"Total";"19.276"
"2019";"Trimestre 1";"Tráfico de drogas";"106"
"2019";"Trimestre 2";"Agresión sexual con penetración";"40"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"8"
"2019";"Trimestre 2";"Hurtos";"9.150"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.354"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"451"
"2019";"Trimestre 2";"Secuestro";"0"
"2019";"Trimestre 2";"Sustracciones de vehículos";"287"
"2019";"Trimestre 2";"Total";"39.065"
"2019";"Trimestre 2";"Tráfico de drogas";"236"
"2019";"Trimestre 3";"Agresión sexual con penetración";"79"
"2019";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"14"
"2019";"Trimestre 3";"Hurtos";"14.378"
"2019";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.587"
"2019";"Trimestre 3";"Robos con violencia e intimidación";"707"
"2019";"Trimestre 3";"Secuestro";"1"
"2019";"Trimestre 3";"Sustracciones de vehículos";"442"
"2019";"Trimestre 3";"Total";"60.363"
"2019";"Trimestre 3";"Tráfico de drogas";"373"
"2019";"Trimestre 4";"Agresión sexual con penetración";"93"
"2019";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"16"
"2019";"Trimestre 4";"Hurtos";"18.886"
"2019";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.291"
"2019";"Trimestre 4";"Robos con violencia e intimidación";"946"
