"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"4"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"0"
"2017";"Trimestre 3";"Hurtos";"1.913"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"532"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"77"
"2017";"Trimestre 3";"Secuestro";"0"
"2017";"Trimestre 3";"Sustracciones de vehículos";"60"
"2017";"Trimestre 3";"Total";"5.917"
"2017";"Trimestre 3";"Tráfico de drogas";"62"
"2017";"Trimestre 4";"Agresión sexual con penetración";"7"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"0"
"2017";"Trimestre 4";"Hurtos";"2.563"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"722"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"104"
"2017";"Trimestre 4";"Secuestro";"0"
"2017";"Trimestre 4";"Sustracciones de vehículos";"89"
"2017";"Trimestre 4";"Total";"7.877"
"2017";"Trimestre 4";"Tráfico de drogas";"80"
"2018";"Trimestre 1";"Agresión sexual con penetración";"2"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2018";"Trimestre 1";"Hurtos";"548"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"194"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"22"
"2018";"Trimestre 1";"Secuestro";"0"
"2018";"Trimestre 1";"Sustracciones de vehículos";"13"
"2018";"Trimestre 1";"Total";"1.996"
"2018";"Trimestre 1";"Tráfico de drogas";"20"
"2018";"Trimestre 2";"Agresión sexual con penetración";"3"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"0"
"2018";"Trimestre 2";"Hurtos";"1.162"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"338"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"43"
"2018";"Trimestre 2";"Secuestro";"0"
"2018";"Trimestre 2";"Sustracciones de vehículos";"45"
"2018";"Trimestre 2";"Total";"3.983"
"2018";"Trimestre 2";"Tráfico de drogas";"39"
"2018";"Trimestre 3";"Agresión sexual con penetración";"6"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"1"
"2018";"Trimestre 3";"Hurtos";"1.781"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"443"
