"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"178"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"36"
"2017";"Trimestre 3";"Hurtos";"115.149"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"14.205"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"12.270"
"2017";"Trimestre 3";"Secuestro";"3"
"2017";"Trimestre 3";"Sustracciones de vehículos";"8.160"
"2017";"Trimestre 3";"Total";"281.483"
"2017";"Trimestre 3";"Tráfico de drogas";"1.161"
"2017";"Trimestre 4";"Agresión sexual con penetración";"221"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"39"
"2017";"Trimestre 4";"Hurtos";"156.329"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"19.310"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"16.314"
"2017";"Trimestre 4";"Secuestro";"7"
"2017";"Trimestre 4";"Sustracciones de vehículos";"10.715"
"2017";"Trimestre 4";"Total";"381.242"
"2017";"Trimestre 4";"Tráfico de drogas";"1.608"
"2018";"Trimestre 1";"Agresión sexual con penetración";"62"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"13"
"2018";"Trimestre 1";"Hurtos";"38.880"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.039"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"3.399"
"2018";"Trimestre 1";"Secuestro";"3"
"2018";"Trimestre 1";"Sustracciones de vehículos";"2.235"
"2018";"Trimestre 1";"Total";"97.778"
"2018";"Trimestre 1";"Tráfico de drogas";"452"
"2018";"Trimestre 2";"Agresión sexual con penetración";"113"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"16"
"2018";"Trimestre 2";"Hurtos";"77.836"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"9.492"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"6.802"
"2018";"Trimestre 2";"Secuestro";"6"
"2018";"Trimestre 2";"Sustracciones de vehículos";"4.516"
"2018";"Trimestre 2";"Total";"194.543"
"2018";"Trimestre 2";"Tráfico de drogas";"940"
"2018";"Trimestre 3";"Agresión sexual con penetración";"180"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"27"
"2018";"Trimestre 3";"Hurtos";"110.043"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"14.159"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"10.168"
"2018";"Trimestre 3";"Secuestro";"8"
"2018";"Trimestre 3";"Sustracciones de vehículos";"6.446"
"2018";"Trimestre 3";"Total";"283.569"
"2018";"Trimestre 3";"Tráfico de drogas";"1.436"
"2018";"Trimestre 4";"Agresión sexual con penetración";"252"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"36"
"2018";"Trimestre 4";"Hurtos";"152.704"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"19.317"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"14.268"
"2018";"Trimestre 4";"Secuestro";"12"
"2018";"Trimestre 4";"Sustracciones de vehículos";"8.620"
"2018";"Trimestre 4";"Total";"389.914"
"2018";"Trimestre 4";"Tráfico de drogas";"1.955"
"2019";"Trimestre 1";"Agresión sexual con penetración";"56"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"10"
"2019";"Trimestre 1";"Hurtos";"40.524"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.768"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"3.542"
"2019";"Trimestre 1";"Secuestro";"3"
"2019";"Trimestre 1";"Sustracciones de vehículos";"2.145"
"2019";"Trimestre 1";"Total";"103.269"
"2019";"Trimestre 1";"Tráfico de drogas";"587"
"2019";"Trimestre 2";"Agresión sexual con penetración";"118"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"17"
"2019";"Trimestre 2";"Hurtos";"78.953"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"8.998"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"7.373"
