"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"0"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"0"
"2017";"Trimestre 3";"Hurtos";"848"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"117"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"274"
"2017";"Trimestre 3";"Secuestro";"0"
"2017";"Trimestre 3";"Sustracciones de vehículos";"92"
"2017";"Trimestre 3";"Total";"3,52"
"2017";"Trimestre 3";"Tráfico de drogas";"47"
"2017";"Trimestre 4";"Agresión sexual con penetración";"0"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"0"
"2017";"Trimestre 4";"Hurtos";"1.154"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"142"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"356"
"2017";"Trimestre 4";"Secuestro";"0"
"2017";"Trimestre 4";"Sustracciones de vehículos";"113"
"2017";"Trimestre 4";"Total";"4.744"
"2017";"Trimestre 4";"Tráfico de drogas";"64"
"2018";"Trimestre 1";"Agresión sexual con penetración";"0"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2018";"Trimestre 1";"Hurtos";"277"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"30"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"81"
"2018";"Trimestre 1";"Secuestro";"0"
"2018";"Trimestre 1";"Sustracciones de vehículos";"23"
"2018";"Trimestre 1";"Total";"1.169"
"2018";"Trimestre 1";"Tráfico de drogas";"16"
"2018";"Trimestre 2";"Agresión sexual con penetración";"0"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"0"
"2018";"Trimestre 2";"Hurtos";"587"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"60"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"160"
"2018";"Trimestre 2";"Secuestro";"0"
"2018";"Trimestre 2";"Sustracciones de vehículos";"36"
"2018";"Trimestre 2";"Total";"2.478"
"2018";"Trimestre 2";"Tráfico de drogas";"25"
"2018";"Trimestre 3";"Agresión sexual con penetración";"0"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"0"
"2018";"Trimestre 3";"Hurtos";"925"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"100"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"252"
"2018";"Trimestre 3";"Secuestro";"0"
"2018";"Trimestre 3";"Sustracciones de vehículos";"56"
"2018";"Trimestre 3";"Total";"3.933"
"2018";"Trimestre 3";"Tráfico de drogas";"34"
"2018";"Trimestre 4";"Agresión sexual con penetración";"2"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"0"
"2018";"Trimestre 4";"Hurtos";"1.237"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"131"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"332"
"2018";"Trimestre 4";"Secuestro";"0"
"2018";"Trimestre 4";"Sustracciones de vehículos";"88"
"2018";"Trimestre 4";"Total";"5.488"
"2018";"Trimestre 4";"Tráfico de drogas";"48"
"2019";"Trimestre 1";"Agresión sexual con penetración";"2"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"0"
"2019";"Trimestre 1";"Hurtos";"289"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"45"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"82"
"2019";"Trimestre 1";"Secuestro";"0"
"2019";"Trimestre 1";"Sustracciones de vehículos";"17"
"2019";"Trimestre 1";"Total";"1.325"
"2019";"Trimestre 1";"Tráfico de drogas";"16"
"2019";"Trimestre 2";"Agresión sexual con penetración";"2"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"0"
"2019";"Trimestre 2";"Hurtos";"605"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"65"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"166"
"2019";"Trimestre 2";"Secuestro";"0"
"2019";"Trimestre 2";"Sustracciones de vehículos";"39"
"2019";"Trimestre 2";"Total";"2.702"
"2019";"Trimestre 2";"Tráfico de drogas";"32"
