"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"27"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"11"
"2017";"Trimestre 3";"Hurtos";"11.439"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.058"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"1.088"
"2017";"Trimestre 3";"Secuestro";"0"
"2017";"Trimestre 3";"Sustracciones de vehículos";"1.022"
"2017";"Trimestre 3";"Total";"39.311"
"2017";"Trimestre 3";"Tráfico de drogas";"232"
"2017";"Trimestre 4";"Agresión sexual con penetración";"41"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"14"
"2017";"Trimestre 4";"Hurtos";"15.261"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"6.956"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"1.458"
"2017";"Trimestre 4";"Secuestro";"0"
"2017";"Trimestre 4";"Sustracciones de vehículos";"1.293"
"2017";"Trimestre 4";"Total";"52.690"
"2017";"Trimestre 4";"Tráfico de drogas";"293"
"2018";"Trimestre 1";"Agresión sexual con penetración";"7"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"4"
"2018";"Trimestre 1";"Hurtos";"3.697"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.817"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"381"
"2018";"Trimestre 1";"Secuestro";"2"
"2018";"Trimestre 1";"Sustracciones de vehículos";"273"
"2018";"Trimestre 1";"Total";"13.439"
"2018";"Trimestre 1";"Tráfico de drogas";"60"
"2018";"Trimestre 2";"Agresión sexual con penetración";"26"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"8"
"2018";"Trimestre 2";"Hurtos";"7.488"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.254"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"688"
"2018";"Trimestre 2";"Secuestro";"2"
"2018";"Trimestre 2";"Sustracciones de vehículos";"497"
"2018";"Trimestre 2";"Total";"26.972"
"2018";"Trimestre 2";"Tráfico de drogas";"151"
"2018";"Trimestre 3";"Agresión sexual con penetración";"37"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"11"
"2018";"Trimestre 3";"Hurtos";"11.224"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.926"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"1.100"
"2018";"Trimestre 3";"Secuestro";"2"
"2018";"Trimestre 3";"Sustracciones de vehículos";"724"
"2018";"Trimestre 3";"Total";"41.079"
"2018";"Trimestre 3";"Tráfico de drogas";"226"
"2018";"Trimestre 4";"Agresión sexual con penetración";"46"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"11"
"2018";"Trimestre 4";"Hurtos";"14.888"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"6.778"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"1.444"
"2018";"Trimestre 4";"Secuestro";"3"
"2018";"Trimestre 4";"Sustracciones de vehículos";"951"
"2018";"Trimestre 4";"Total";"55.398"
"2018";"Trimestre 4";"Tráfico de drogas";"287"
"2019";"Trimestre 1";"Agresión sexual con penetración";"8"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2019";"Trimestre 1";"Hurtos";"3.832"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.679"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"376"
"2019";"Trimestre 1";"Secuestro";"2"
"2019";"Trimestre 1";"Sustracciones de vehículos";"223"
"2019";"Trimestre 1";"Total";"14.291"
"2019";"Trimestre 1";"Tráfico de drogas";"87"
"2019";"Trimestre 2";"Agresión sexual con penetración";"17"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"7"
"2019";"Trimestre 2";"Hurtos";"7.482"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"3.146"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"714"
"2019";"Trimestre 2";"Secuestro";"2"
"2019";"Trimestre 2";"Sustracciones de vehículos";"447"
"2019";"Trimestre 2";"Total";"28.289"
"2019";"Trimestre 2";"Tráfico de drogas";"172"
"2019";"Trimestre 3";"Agresión sexual con penetración";"32"
"2019";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"9"
"2019";"Trimestre 3";"Hurtos";"11.533"
"2019";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.599"
"2019";"Trimestre 3";"Robos con violencia e intimidación";"1.140"
"2019";"Trimestre 3";"Secuestro";"2"
"2019";"Trimestre 3";"Sustracciones de vehículos";"664"
"2019";"Trimestre 3";"Total";"42.846"
"2019";"Trimestre 3";"Tráfico de drogas";"257"
"2019";"Trimestre 4";"Agresión sexual con penetración";"49"
"2019";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"13"
"2019";"Trimestre 4";"Hurtos";"15.149"
"2019";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"6.184"
"2019";"Trimestre 4";"Robos con violencia e intimidación";"1.528"
"2019";"Trimestre 4";"Secuestro";"3"
"2019";"Trimestre 4";"Sustracciones de vehículos";"905"
"2019";"Trimestre 4";"Total";"57.109"
"2019";"Trimestre 4";"Tráfico de drogas";"356"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/murcia/306"
"Titulo":"Estadística de crimen en Murcia, Región de﻿ "
"Subtitulo":""
