"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"21"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"4"
"2017";"Trimestre 3";"Hurtos";"5.971"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.164"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"353"
"2017";"Trimestre 3";"Secuestro";"1"
"2017";"Trimestre 3";"Sustracciones de vehículos";"129"
"2017";"Trimestre 3";"Total";"18.799"
"2017";"Trimestre 3";"Tráfico de drogas";"98"
"2017";"Trimestre 4";"Agresión sexual con penetración";"29"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"7"
"2017";"Trimestre 4";"Hurtos";"7.572"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.519"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"432"
"2017";"Trimestre 4";"Secuestro";"1"
"2017";"Trimestre 4";"Sustracciones de vehículos";"169"
"2017";"Trimestre 4";"Total";"24.827"
"2017";"Trimestre 4";"Tráfico de drogas";"134"
"2018";"Trimestre 1";"Agresión sexual con penetración";"12"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"1"
"2018";"Trimestre 1";"Hurtos";"1.485"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"369"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"62"
"2018";"Trimestre 1";"Secuestro";"1"
"2018";"Trimestre 1";"Sustracciones de vehículos";"40"
"2018";"Trimestre 1";"Total";"6.066"
"2018";"Trimestre 1";"Tráfico de drogas";"26"
"2018";"Trimestre 2";"Agresión sexual con penetración";"22"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"3"
"2018";"Trimestre 2";"Hurtos";"2.943"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"698"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"101"
"2018";"Trimestre 2";"Secuestro";"2"
"2018";"Trimestre 2";"Sustracciones de vehículos";"79"
"2018";"Trimestre 2";"Total";"12.141"
"2018";"Trimestre 2";"Tráfico de drogas";"55"
"2018";"Trimestre 3";"Agresión sexual con penetración";"30"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"9"
"2018";"Trimestre 3";"Hurtos";"6.044"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"1.027"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"208"
"2018";"Trimestre 3";"Secuestro";"2"
"2018";"Trimestre 3";"Sustracciones de vehículos";"131"
"2018";"Trimestre 3";"Total";"20.431"
