"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"56"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"5"
"2017";"Trimestre 3";"Hurtos";"21.105"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.013"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"1.264"
"2017";"Trimestre 3";"Secuestro";"5"
"2017";"Trimestre 3";"Sustracciones de vehículos";"632"
"2017";"Trimestre 3";"Total";"61.868"
"2017";"Trimestre 3";"Tráfico de drogas";"259"
"2017";"Trimestre 4";"Agresión sexual con penetración";"81"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"5"
"2017";"Trimestre 4";"Hurtos";"27.873"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"7.264"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"1.787"
"2017";"Trimestre 4";"Secuestro";"9"
"2017";"Trimestre 4";"Sustracciones de vehículos";"900"
"2017";"Trimestre 4";"Total";"83.687"
"2017";"Trimestre 4";"Tráfico de drogas";"332"
"2018";"Trimestre 1";"Agresión sexual con penetración";"28"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2018";"Trimestre 1";"Hurtos";"6.301"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.235"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"443"
"2018";"Trimestre 1";"Secuestro";"0"
"2018";"Trimestre 1";"Sustracciones de vehículos";"217"
"2018";"Trimestre 1";"Total";"21.296"
"2018";"Trimestre 1";"Tráfico de drogas";"86"
"2018";"Trimestre 2";"Agresión sexual con penetración";"52"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"5"
"2018";"Trimestre 2";"Hurtos";"13.312"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.115"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"802"
"2018";"Trimestre 2";"Secuestro";"0"
"2018";"Trimestre 2";"Sustracciones de vehículos";"418"
"2018";"Trimestre 2";"Total";"42.834"
"2018";"Trimestre 2";"Tráfico de drogas";"171"
"2018";"Trimestre 3";"Agresión sexual con penetración";"84"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"6"
"2018";"Trimestre 3";"Hurtos";"21.393"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.854"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"1.295"
"2018";"Trimestre 3";"Secuestro";"2"
"2018";"Trimestre 3";"Sustracciones de vehículos";"665"
"2018";"Trimestre 3";"Total";"66.321"
"2018";"Trimestre 3";"Tráfico de drogas";"292"
"2018";"Trimestre 4";"Agresión sexual con penetración";"111"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"6"
"2018";"Trimestre 4";"Hurtos";"29.376"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"8.002"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"1.791"
"2018";"Trimestre 4";"Secuestro";"5"
"2018";"Trimestre 4";"Sustracciones de vehículos";"928"
"2018";"Trimestre 4";"Total";"90.253"
"2018";"Trimestre 4";"Tráfico de drogas";"368"
"2019";"Trimestre 1";"Agresión sexual con penetración";"24"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"3"
"2019";"Trimestre 1";"Hurtos";"7.306"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"2.244"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"457"
"2019";"Trimestre 1";"Secuestro";"2"
"2019";"Trimestre 1";"Sustracciones de vehículos";"248"
"2019";"Trimestre 1";"Total";"22.958"
"2019";"Trimestre 1";"Tráfico de drogas";"98"
"2019";"Trimestre 2";"Agresión sexual con penetración";"44"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"7"
"2019";"Trimestre 2";"Hurtos";"14.643"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"4.082"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"784"
"2019";"Trimestre 2";"Secuestro";"4"
"2019";"Trimestre 2";"Sustracciones de vehículos";"487"
"2019";"Trimestre 2";"Total";"45.705"
"2019";"Trimestre 2";"Tráfico de drogas";"217"
"2019";"Trimestre 3";"Agresión sexual con penetración";"87"
"2019";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"9"
"2019";"Trimestre 3";"Hurtos";"22.770"
"2019";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"6.056"
"2019";"Trimestre 3";"Robos con violencia e intimidación";"1.202"
"2019";"Trimestre 3";"Secuestro";"6"
"2019";"Trimestre 3";"Sustracciones de vehículos";"689"
"2019";"Trimestre 3";"Total";"70.275"
"2019";"Trimestre 3";"Tráfico de drogas";"320"
"2019";"Trimestre 4";"Agresión sexual con penetración";"123"
"2019";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"10"
"2019";"Trimestre 4";"Hurtos";"30.254"
"2019";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"8.162"
"2019";"Trimestre 4";"Robos con violencia e intimidación";"1.643"
"2019";"Trimestre 4";"Secuestro";"7"
"2019";"Trimestre 4";"Sustracciones de vehículos";"890"
"2019";"Trimestre 4";"Total";"94.484"
"2019";"Trimestre 4";"Tráfico de drogas";"421"
;;
;;
"Métrica":"Denuncias (Dato acumulados)"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estadistica-crimen-comunidad/90851395-db05-4275-a260-37ec646120d2/pais-vasco/308"
"Titulo":"Estadística de crimen en País Vasco﻿ "
"Subtitulo":""
