"Año";"Periodo";"Parámetro";"Denuncias (Dato acumulados)"
"2017";"Trimestre 3";"Agresión sexual con penetración";"91"
"2017";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"25"
"2017";"Trimestre 3";"Hurtos";"56.824"
"2017";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"16.101"
"2017";"Trimestre 3";"Robos con violencia e intimidación";"4.130"
"2017";"Trimestre 3";"Secuestro";"4"
"2017";"Trimestre 3";"Sustracciones de vehículos";"3.026"
"2017";"Trimestre 3";"Total";"171.862"
"2017";"Trimestre 3";"Tráfico de drogas";"1.261"
"2017";"Trimestre 4";"Agresión sexual con penetración";"120"
"2017";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"41"
"2017";"Trimestre 4";"Hurtos";"73.922"
"2017";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"21.565"
"2017";"Trimestre 4";"Robos con violencia e intimidación";"5.393"
"2017";"Trimestre 4";"Secuestro";"4"
"2017";"Trimestre 4";"Sustracciones de vehículos";"3.918"
"2017";"Trimestre 4";"Total";"227.102"
"2017";"Trimestre 4";"Tráfico de drogas";"1.592"
"2018";"Trimestre 1";"Agresión sexual con penetración";"31"
"2018";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"5"
"2018";"Trimestre 1";"Hurtos";"16.357"
"2018";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.829"
"2018";"Trimestre 1";"Robos con violencia e intimidación";"1.293"
"2018";"Trimestre 1";"Secuestro";"1"
"2018";"Trimestre 1";"Sustracciones de vehículos";"755"
"2018";"Trimestre 1";"Total";"54.942"
"2018";"Trimestre 1";"Tráfico de drogas";"385"
"2018";"Trimestre 2";"Agresión sexual con penetración";"74"
"2018";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"10"
"2018";"Trimestre 2";"Hurtos";"32.719"
"2018";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"10.932"
"2018";"Trimestre 2";"Robos con violencia e intimidación";"2.410"
"2018";"Trimestre 2";"Secuestro";"1"
"2018";"Trimestre 2";"Sustracciones de vehículos";"1.497"
"2018";"Trimestre 2";"Total";"110.145"
"2018";"Trimestre 2";"Tráfico de drogas";"865"
"2018";"Trimestre 3";"Agresión sexual con penetración";"131"
"2018";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"19"
"2018";"Trimestre 3";"Hurtos";"54.047"
"2018";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"16.455"
"2018";"Trimestre 3";"Robos con violencia e intimidación";"3.850"
"2018";"Trimestre 3";"Secuestro";"2"
"2018";"Trimestre 3";"Sustracciones de vehículos";"2.348"
"2018";"Trimestre 3";"Total";"175.145"
"2018";"Trimestre 3";"Tráfico de drogas";"1.385"
"2018";"Trimestre 4";"Agresión sexual con penetración";"168"
"2018";"Trimestre 4";"Homicidios dolosos y asesinatos consumados";"25"
"2018";"Trimestre 4";"Hurtos";"70.169"
"2018";"Trimestre 4";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"21.877"
"2018";"Trimestre 4";"Robos con violencia e intimidación";"5.065"
"2018";"Trimestre 4";"Secuestro";"6"
"2018";"Trimestre 4";"Sustracciones de vehículos";"3.282"
"2018";"Trimestre 4";"Total";"231.627"
"2018";"Trimestre 4";"Tráfico de drogas";"1.759"
"2019";"Trimestre 1";"Agresión sexual con penetración";"38"
"2019";"Trimestre 1";"Homicidios dolosos y asesinatos consumados";"11"
"2019";"Trimestre 1";"Hurtos";"16.181"
"2019";"Trimestre 1";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"5.233"
"2019";"Trimestre 1";"Robos con violencia e intimidación";"1.213"
"2019";"Trimestre 1";"Secuestro";"1"
"2019";"Trimestre 1";"Sustracciones de vehículos";"829"
"2019";"Trimestre 1";"Total";"55.902"
"2019";"Trimestre 1";"Tráfico de drogas";"433"
"2019";"Trimestre 2";"Agresión sexual con penetración";"86"
"2019";"Trimestre 2";"Homicidios dolosos y asesinatos consumados";"18"
"2019";"Trimestre 2";"Hurtos";"32.299"
"2019";"Trimestre 2";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"9.991"
"2019";"Trimestre 2";"Robos con violencia e intimidación";"2.353"
"2019";"Trimestre 2";"Secuestro";"1"
"2019";"Trimestre 2";"Sustracciones de vehículos";"1.585"
"2019";"Trimestre 2";"Total";"112.004"
"2019";"Trimestre 2";"Tráfico de drogas";"913"
"2019";"Trimestre 3";"Agresión sexual con penetración";"139"
"2019";"Trimestre 3";"Homicidios dolosos y asesinatos consumados";"31"
"2019";"Trimestre 3";"Hurtos";"52.273"
"2019";"Trimestre 3";"Robos con fuerza en domicilios, establecimientos y otras instalaciones";"14.769"
"2019";"Trimestre 3";"Robos con violencia e intimidación";"3.702"
