"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"430.097"
"2005";"Junio";"434.880"
"2005";"Julio";"449.296"
"2005";"Agosto";"452.633"
"2005";"Septiembre";"463.655"
"2005";"Octubre";"477.069"
"2005";"Noviembre";"485.358"
"2005";"Diciembre";"480.961"
"2006";"Enero";"490.580"
"2006";"Febrero";"489.059"
"2006";"Marzo";"488.885"
"2006";"Abril";"471.085"
"2006";"Mayo";"459.561"
"2006";"Junio";"463.318"
"2006";"Julio";"465.384"
"2006";"Agosto";"469.802"
"2006";"Septiembre";"474.597"
"2006";"Octubre";"486.945"
"2006";"Noviembre";"490.884"
"2006";"Diciembre";"477.784"
"2007";"Enero";"491.931"
"2007";"Febrero";"490.416"
"2007";"Marzo";"486.934"
"2007";"Abril";"480.446"
"2007";"Mayo";"473.876"
"2007";"Junio";"482.914"
"2007";"Julio";"485.693"
"2007";"Agosto";"497.306"
"2007";"Septiembre";"498.746"
"2007";"Octubre";"499.984"
"2007";"Noviembre";"508.654"
"2007";"Diciembre";"510.817"
"2008";"Enero";"533.291"
"2008";"Febrero";"541.908"
"2008";"Marzo";"536.591"
"2008";"Abril";"545.519"
"2008";"Mayo";"551.404"
"2008";"Junio";"570.334"
"2008";"Julio";"589.360"
"2008";"Agosto";"613.911"
"2008";"Septiembre";"641.433"
"2008";"Octubre";"683.777"
"2008";"Noviembre";"707.749"
"2008";"Diciembre";"719.378"
"2009";"Enero";"744.956"
"2009";"Febrero";"774.198"
"2009";"Marzo";"794.064"
"2009";"Abril";"796.467"
"2009";"Mayo";"789.121"
"2009";"Junio";"788.112"
"2009";"Julio";"785.686"
"2009";"Agosto";"803.137"
"2009";"Septiembre";"823.530"
"2009";"Octubre";"844.400"
"2009";"Noviembre";"848.607"
"2009";"Diciembre";"851.493"
"2010";"Enero";"868.085"
"2010";"Febrero";"882.867"
"2010";"Marzo";"883.393"
"2010";"Abril";"879.307"
"2010";"Mayo";"868.458"
"2010";"Junio";"866.935"
"2010";"Julio";"863.685"
"2010";"Agosto";"877.010"
"2010";"Septiembre";"897.645"
"2010";"Octubre";"912.817"
"2010";"Noviembre";"921.334"
"2010";"Diciembre";"903.999"
"2011";"Enero";"930.621"
"2011";"Febrero";"944.707"
"2011";"Marzo";"951.625"
"2011";"Abril";"932.107"
"2011";"Mayo";"911.848"
"2011";"Junio";"910.065"
"2011";"Julio";"908.548"
"2011";"Agosto";"919.502"
"2011";"Septiembre";"943.094"
"2011";"Octubre";"974.162"
"2011";"Noviembre";"982.477"
"2011";"Diciembre";"969.152"
"2012";"Enero";"1.008.202"
"2012";"Febrero";"1.044.606"
"2012";"Marzo";"1.057.144"
"2012";"Abril";"1.049.573"
"2012";"Mayo";"1.043.714"
"2012";"Junio";"1.025.635"
"2012";"Julio";"1.015.716"
"2012";"Agosto";"1.026.081"
"2012";"Septiembre";"1.055.109"
"2012";"Octubre";"1.087.248"
"2012";"Noviembre";"1.110.801"
"2012";"Diciembre";"1.083.829"
"2013";"Enero";"1.102.398"
"2013";"Febrero";"1.125.120"
"2013";"Marzo";"1.126.452"
"2013";"Abril";"1.108.022"
"2013";"Mayo";"1.081.493"
"2013";"Junio";"1.065.051"
"2013";"Julio";"1.051.157"
"2013";"Agosto";"1.046.483"
"2013";"Septiembre";"1.049.456"
"2013";"Octubre";"1.069.011"
"2013";"Noviembre";"1.064.114"
"2013";"Diciembre";"1.033.647"
"2014";"Enero";"1.059.720"
"2014";"Febrero";"1.069.394"
"2014";"Marzo";"1.079.454"
"2014";"Abril";"1.051.780"
"2014";"Mayo";"1.037.698"
"2014";"Junio";"1.022.986"
"2014";"Julio";"1.019.499"
