"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"37.331"
"2005";"Junio";"35.741"
"2005";"Julio";"36.242"
"2005";"Agosto";"38.222"
"2005";"Septiembre";"38.969"
"2005";"Octubre";"41.463"
"2005";"Noviembre";"41.274"
"2005";"Diciembre";"41.508"
"2006";"Enero";"43.166"
"2006";"Febrero";"42.293"
"2006";"Marzo";"41.875"
"2006";"Abril";"39.754"
"2006";"Mayo";"37.691"
"2006";"Junio";"34.413"
"2006";"Julio";"34.033"
"2006";"Agosto";"34.912"
"2006";"Septiembre";"35.068"
"2006";"Octubre";"35.952"
"2006";"Noviembre";"36.285"
"2006";"Diciembre";"36.507"
"2007";"Enero";"37.365"
"2007";"Febrero";"36.389"
"2007";"Marzo";"36.275"
"2007";"Abril";"35.848"
"2007";"Mayo";"34.311"
"2007";"Junio";"33.165"
"2007";"Julio";"33.701"
"2007";"Agosto";"35.655"
"2007";"Septiembre";"35.385"
"2007";"Octubre";"36.585"
"2007";"Noviembre";"37.371"
"2007";"Diciembre";"38.378"
"2008";"Enero";"41.192"
"2008";"Febrero";"42.029"
"2008";"Marzo";"41.737"
"2008";"Abril";"42.402"
"2008";"Mayo";"40.881"
"2008";"Junio";"41.687"
"2008";"Julio";"43.787"
"2008";"Agosto";"46.185"
"2008";"Septiembre";"50.818"
"2008";"Octubre";"58.331"
"2008";"Noviembre";"62.441"
"2008";"Diciembre";"67.266"
"2009";"Enero";"73.291"
"2009";"Febrero";"76.986"
"2009";"Marzo";"79.923"
"2009";"Abril";"81.906"
"2009";"Mayo";"81.334"
"2009";"Junio";"79.460"
"2009";"Julio";"79.170"
"2009";"Agosto";"80.730"
"2009";"Septiembre";"81.446"
"2009";"Octubre";"83.720"
"2009";"Noviembre";"85.196"
"2009";"Diciembre";"87.623"
"2010";"Enero";"91.272"
"2010";"Febrero";"93.405"
"2010";"Marzo";"95.833"
"2010";"Abril";"96.082"
"2010";"Mayo";"93.415"
"2010";"Junio";"90.494"
"2010";"Julio";"88.440"
"2010";"Agosto";"88.903"
"2010";"Septiembre";"88.094"
"2010";"Octubre";"90.099"
"2010";"Noviembre";"91.523"
"2010";"Diciembre";"92.669"
"2011";"Enero";"95.279"
"2011";"Febrero";"97.283"
"2011";"Marzo";"98.840"
"2011";"Abril";"97.800"
"2011";"Mayo";"92.485"
"2011";"Junio";"91.271"
"2011";"Julio";"91.872"
"2011";"Agosto";"92.715"
"2011";"Septiembre";"94.701"
"2011";"Octubre";"97.648"
"2011";"Noviembre";"100.078"
"2011";"Diciembre";"101.982"
"2012";"Enero";"105.753"
"2012";"Febrero";"107.913"
"2012";"Marzo";"109.247"
"2012";"Abril";"108.862"
"2012";"Mayo";"107.902"
"2012";"Junio";"104.859"
"2012";"Julio";"103.784"
"2012";"Agosto";"104.369"
"2012";"Septiembre";"106.830"
"2012";"Octubre";"110.761"
"2012";"Noviembre";"111.436"
"2012";"Diciembre";"110.521"
"2013";"Enero";"114.705"
"2013";"Febrero";"116.173"
"2013";"Marzo";"116.855"
"2013";"Abril";"116.713"
"2013";"Mayo";"114.763"
"2013";"Junio";"110.029"
"2013";"Julio";"110.262"
"2013";"Agosto";"110.493"
"2013";"Septiembre";"110.268"
"2013";"Octubre";"114.040"
"2013";"Noviembre";"113.257"
"2013";"Diciembre";"110.832"
"2014";"Enero";"114.819"
"2014";"Febrero";"109.774"
"2014";"Marzo";"108.862"
"2014";"Abril";"105.374"
"2014";"Mayo";"101.942"
"2014";"Junio";"98.836"
"2014";"Julio";"102.153"
"2014";"Agosto";"103.032"
"2014";"Septiembre";"102.904"
"2014";"Octubre";"105.747"
"2014";"Noviembre";"103.665"
"2014";"Diciembre";"101.572"
"2015";"Enero";"103.294"
"2015";"Febrero";"103.066"
"2015";"Marzo";"102.368"
"2015";"Abril";"99.638"
"2015";"Mayo";"95.547"
"2015";"Junio";"92.829"
"2015";"Julio";"91.804"
"2015";"Agosto";"92.500"
"2015";"Septiembre";"90.426"
"2015";"Octubre";"91.817"
"2015";"Noviembre";"91.119"
"2015";"Diciembre";"89.284"
"2016";"Enero";"91.345"
"2016";"Febrero";"90.682"
"2016";"Marzo";"89.641"
"2016";"Abril";"87.747"
"2016";"Mayo";"83.086"
"2016";"Junio";"79.062"
"2016";"Julio";"77.770"
"2016";"Agosto";"77.840"
"2016";"Septiembre";"80.123"
"2016";"Octubre";"81.055"
"2016";"Noviembre";"81.483"
"2016";"Diciembre";"79.933"
"2017";"Enero";"81.911"
"2017";"Febrero";"79.093"
"2017";"Marzo";"77.533"
"2017";"Abril";"73.522"
"2017";"Mayo";"68.762"
"2017";"Junio";"66.494"
"2017";"Julio";"67.211"
"2017";"Agosto";"68.011"
"2017";"Septiembre";"69.238"
"2017";"Octubre";"71.599"
"2017";"Noviembre";"70.991"
"2017";"Diciembre";"70.710"
"2018";"Enero";"72.081"
"2018";"Febrero";"70.356"
"2018";"Marzo";"69.707"
"2018";"Abril";"68.114"
"2018";"Mayo";"64.206"
"2018";"Junio";"61.044"
"2018";"Julio";"60.806"
"2018";"Agosto";"62.470"
"2018";"Septiembre";"63.671"
"2018";"Octubre";"65.844"
"2018";"Noviembre";"66.484"
"2018";"Diciembre";"66.179"
"2019";"Enero";"69.059"
"2019";"Febrero";"66.962"
"2019";"Marzo";"65.412"
"2019";"Abril";"63.750"
"2019";"Mayo";"60.731"
"2019";"Junio";"59.508"
"2019";"Julio";"60.454"
"2019";"Agosto";"61.483"
"2019";"Septiembre";"62.863"
"2019";"Octubre";"65.235"
"2019";"Noviembre";"65.223"
"2019";"Diciembre";"64.856"
"2020";"Enero";"67.635"
"2020";"Febrero";"66.972"
;;
;;
"Métrica":"Paro registrado"
"Fuente":"Ministerio de Empleo y Seguridad Social"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/paro/b0eea2e9-e5c9-4f05-bd70-8dc6150db238/aragon/291"
"Titulo":"El paro registrado en Aragón﻿"
"Subtitulo":""
