"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"57.681"
"2005";"Junio";"54.014"
"2005";"Julio";"51.247"
"2005";"Agosto";"51.392"
"2005";"Septiembre";"52.946"
"2005";"Octubre";"55.334"
"2005";"Noviembre";"56.370"
"2005";"Diciembre";"56.753"
"2006";"Enero";"59.953"
"2006";"Febrero";"60.028"
"2006";"Marzo";"59.124"
"2006";"Abril";"55.788"
"2006";"Mayo";"52.194"
"2006";"Junio";"49.882"
"2006";"Julio";"48.449"
"2006";"Agosto";"49.137"
"2006";"Septiembre";"49.985"
"2006";"Octubre";"51.443"
"2006";"Noviembre";"52.382"
"2006";"Diciembre";"52.913"
"2007";"Enero";"56.644"
"2007";"Febrero";"55.613"
"2007";"Marzo";"53.738"
"2007";"Abril";"51.848"
"2007";"Mayo";"48.288"
"2007";"Junio";"46.364"
"2007";"Julio";"44.911"
"2007";"Agosto";"45.643"
"2007";"Septiembre";"46.972"
"2007";"Octubre";"49.133"
"2007";"Noviembre";"50.146"
"2007";"Diciembre";"51.229"
"2008";"Enero";"54.623"
"2008";"Febrero";"54.371"
"2008";"Marzo";"52.474"
"2008";"Abril";"52.037"
"2008";"Mayo";"50.778"
"2008";"Junio";"48.959"
"2008";"Julio";"47.461"
"2008";"Agosto";"47.682"
"2008";"Septiembre";"49.954"
"2008";"Octubre";"53.917"
"2008";"Noviembre";"58.251"
"2008";"Diciembre";"63.614"
"2009";"Enero";"70.366"
"2009";"Febrero";"73.558"
"2009";"Marzo";"74.381"
"2009";"Abril";"73.770"
"2009";"Mayo";"72.819"
"2009";"Junio";"70.592"
"2009";"Julio";"67.261"
"2009";"Agosto";"68.433"
"2009";"Septiembre";"70.389"
"2009";"Octubre";"70.787"
"2009";"Noviembre";"73.097"
"2009";"Diciembre";"75.837"
"2010";"Enero";"80.925"
"2010";"Febrero";"83.736"
"2010";"Marzo";"83.606"
"2010";"Abril";"82.722"
"2010";"Mayo";"79.397"
"2010";"Junio";"75.044"
"2010";"Julio";"71.675"
"2010";"Agosto";"72.956"
"2010";"Septiembre";"76.002"
"2010";"Octubre";"78.140"
"2010";"Noviembre";"79.647"
"2010";"Diciembre";"81.199"
"2011";"Enero";"86.008"
"2011";"Febrero";"88.072"
"2011";"Marzo";"87.740"
