"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"137.472"
"2005";"Junio";"136.477"
"2005";"Julio";"134.923"
"2005";"Agosto";"131.822"
"2005";"Septiembre";"128.178"
"2005";"Octubre";"130.290"
"2005";"Noviembre";"131.855"
"2005";"Diciembre";"129.930"
"2006";"Enero";"133.647"
"2006";"Febrero";"134.828"
"2006";"Marzo";"136.536"
"2006";"Abril";"135.885"
"2006";"Mayo";"133.443"
"2006";"Junio";"132.328"
"2006";"Julio";"130.291"
"2006";"Agosto";"127.768"
"2006";"Septiembre";"125.720"
"2006";"Octubre";"126.004"
"2006";"Noviembre";"125.702"
"2006";"Diciembre";"122.153"
"2007";"Enero";"126.736"
"2007";"Febrero";"129.444"
"2007";"Marzo";"130.648"
"2007";"Abril";"133.091"
"2007";"Mayo";"135.268"
"2007";"Junio";"135.557"
"2007";"Julio";"132.139"
"2007";"Agosto";"132.797"
"2007";"Septiembre";"133.912"
"2007";"Octubre";"137.259"
"2007";"Noviembre";"138.813"
"2007";"Diciembre";"139.081"
"2008";"Enero";"148.560"
"2008";"Febrero";"154.109"
"2008";"Marzo";"158.842"
"2008";"Abril";"166.241"
"2008";"Mayo";"171.511"
"2008";"Junio";"175.824"
"2008";"Julio";"176.101"
"2008";"Agosto";"176.339"
"2008";"Septiembre";"180.805"
"2008";"Octubre";"190.469"
"2008";"Noviembre";"199.889"
"2008";"Diciembre";"202.993"
"2009";"Enero";"215.976"
"2009";"Febrero";"227.706"
"2009";"Marzo";"238.344"
"2009";"Abril";"246.500"
"2009";"Mayo";"249.661"
"2009";"Junio";"248.325"
"2009";"Julio";"246.264"
"2009";"Agosto";"245.966"
"2009";"Septiembre";"248.858"
"2009";"Octubre";"248.108"
"2009";"Noviembre";"248.786"
"2009";"Diciembre";"248.783"
"2010";"Enero";"253.930"
"2010";"Febrero";"257.939"
"2010";"Marzo";"261.534"
"2010";"Abril";"266.042"
"2010";"Mayo";"265.916"
"2010";"Junio";"265.973"
"2010";"Julio";"262.661"
"2010";"Agosto";"260.794"
"2010";"Septiembre";"259.751"
"2010";"Octubre";"260.273"
"2010";"Noviembre";"256.693"
"2010";"Diciembre";"254.620"
"2011";"Enero";"258.311"
"2011";"Febrero";"261.176"
"2011";"Marzo";"261.202"
"2011";"Abril";"256.773"
"2011";"Mayo";"254.341"
"2011";"Junio";"251.963"
"2011";"Julio";"253.629"
"2011";"Agosto";"252.478"
"2011";"Septiembre";"251.990"
"2011";"Octubre";"258.264"
"2011";"Noviembre";"266.213"
"2011";"Diciembre";"265.569"
"2012";"Enero";"273.983"
"2012";"Febrero";"278.898"
"2012";"Marzo";"283.699"
"2012";"Abril";"288.752"
"2012";"Mayo";"293.228"
"2012";"Junio";"290.664"
"2012";"Julio";"289.785"
"2012";"Agosto";"288.666"
"2012";"Septiembre";"288.813"
"2012";"Octubre";"287.820"
"2012";"Noviembre";"289.032"
"2012";"Diciembre";"284.915"
"2013";"Enero";"289.517"
"2013";"Febrero";"291.474"
"2013";"Marzo";"291.672"
"2013";"Abril";"295.824"
"2013";"Mayo";"296.362"
"2013";"Junio";"293.054"
"2013";"Julio";"290.375"
"2013";"Agosto";"286.081"
"2013";"Septiembre";"284.072"
"2013";"Octubre";"284.309"
"2013";"Noviembre";"283.378"
"2013";"Diciembre";"274.053"
"2014";"Enero";"276.034"
"2014";"Febrero";"275.551"
"2014";"Marzo";"277.498"
"2014";"Abril";"276.786"
"2014";"Mayo";"274.412"
"2014";"Junio";"270.059"
"2014";"Julio";"268.422"
"2014";"Agosto";"266.668"
"2014";"Septiembre";"266.637"
"2014";"Octubre";"265.791"
"2014";"Noviembre";"265.385"
"2014";"Diciembre";"260.682"
"2015";"Enero";"259.743"
"2015";"Febrero";"258.687"
"2015";"Marzo";"256.851"
"2015";"Abril";"254.016"
"2015";"Mayo";"251.941"
"2015";"Junio";"248.223"
"2015";"Julio";"243.906"
"2015";"Agosto";"242.649"
"2015";"Septiembre";"242.313"
"2015";"Octubre";"247.162"
"2015";"Noviembre";"248.639"
"2015";"Diciembre";"247.529"
"2016";"Enero";"245.984"
"2016";"Febrero";"243.632"
"2016";"Marzo";"242.888"
"2016";"Abril";"242.063"
"2016";"Mayo";"240.067"
"2016";"Junio";"236.876"
"2016";"Julio";"232.069"
"2016";"Agosto";"230.185"
"2016";"Septiembre";"230.901"
"2016";"Octubre";"232.874"
"2016";"Noviembre";"234.774"
"2016";"Diciembre";"229.233"
"2017";"Enero";"231.774"
"2017";"Febrero";"229.900"
"2017";"Marzo";"230.779"
"2017";"Abril";"225.702"
"2017";"Mayo";"222.749"
"2017";"Junio";"220.079"
"2017";"Julio";"217.895"
"2017";"Agosto";"217.045"
"2017";"Septiembre";"221.006"
"2017";"Octubre";"221.794"
"2017";"Noviembre";"219.698"
"2017";"Diciembre";"216.087"
"2018";"Enero";"215.701"
"2018";"Febrero";"215.082"
"2018";"Marzo";"213.768"
"2018";"Abril";"213.141"
"2018";"Mayo";"212.411"
"2018";"Junio";"208.594"
"2018";"Julio";"206.747"
"2018";"Agosto";"207.017"
"2018";"Septiembre";"205.430"
"2018";"Octubre";"208.101"
"2018";"Noviembre";"209.975"
"2018";"Diciembre";"207.015"
"2019";"Enero";"209.419"
"2019";"Febrero";"209.466"
"2019";"Marzo";"209.235"
"2019";"Abril";"207.618"
"2019";"Mayo";"206.041"
"2019";"Junio";"202.683"
"2019";"Julio";"204.662"
"2019";"Agosto";"205.173"
"2019";"Septiembre";"204.529"
"2019";"Octubre";"210.131"
"2019";"Noviembre";"210.893"
"2019";"Diciembre";"208.249"
"2020";"Enero";"211.164"
"2020";"Febrero";"207.837"
;;
;;
"Métrica":"Paro registrado"
"Fuente":"Ministerio de Empleo y Seguridad Social"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/paro/b0eea2e9-e5c9-4f05-bd70-8dc6150db238/canarias/293"
"Titulo":"El paro registrado en Canarias﻿"
"Subtitulo":""
