"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"24.133"
"2005";"Junio";"22.962"
"2005";"Julio";"21.723"
"2005";"Agosto";"21.349"
"2005";"Septiembre";"21.808"
"2005";"Octubre";"23.032"
"2005";"Noviembre";"23.299"
"2005";"Diciembre";"24.177"
"2006";"Enero";"25.727"
"2006";"Febrero";"25.364"
"2006";"Marzo";"24.159"
"2006";"Abril";"22.991"
"2006";"Mayo";"21.943"
"2006";"Junio";"20.933"
"2006";"Julio";"19.378"
"2006";"Agosto";"19.191"
"2006";"Septiembre";"19.630"
"2006";"Octubre";"20.300"
"2006";"Noviembre";"20.675"
"2006";"Diciembre";"21.613"
"2007";"Enero";"23.010"
"2007";"Febrero";"22.618"
"2007";"Marzo";"21.871"
"2007";"Abril";"21.025"
"2007";"Mayo";"19.982"
"2007";"Junio";"19.381"
"2007";"Julio";"18.624"
"2007";"Agosto";"18.618"
"2007";"Septiembre";"19.061"
"2007";"Octubre";"20.139"
"2007";"Noviembre";"20.702"
"2007";"Diciembre";"21.848"
"2008";"Enero";"23.826"
"2008";"Febrero";"23.897"
"2008";"Marzo";"23.475"
"2008";"Abril";"23.934"
"2008";"Mayo";"23.351"
"2008";"Junio";"22.984"
"2008";"Julio";"22.088"
"2008";"Agosto";"22.881"
"2008";"Septiembre";"24.970"
"2008";"Octubre";"27.954"
"2008";"Noviembre";"31.173"
"2008";"Diciembre";"33.771"
"2009";"Enero";"36.110"
"2009";"Febrero";"37.485"
"2009";"Marzo";"38.556"
"2009";"Abril";"38.764"
"2009";"Mayo";"37.988"
"2009";"Junio";"35.564"
"2009";"Julio";"34.030"
"2009";"Agosto";"34.439"
"2009";"Septiembre";"36.598"
"2009";"Octubre";"38.802"
"2009";"Noviembre";"40.894"
"2009";"Diciembre";"42.294"
"2010";"Enero";"43.197"
"2010";"Febrero";"43.904"
"2010";"Marzo";"44.150"
"2010";"Abril";"44.032"
"2010";"Mayo";"42.926"
"2010";"Junio";"40.372"
"2010";"Julio";"38.069"
"2010";"Agosto";"38.209"
"2010";"Septiembre";"40.418"
"2010";"Octubre";"42.026"
"2010";"Noviembre";"43.083"
"2010";"Diciembre";"44.157"
"2011";"Enero";"45.800"
"2011";"Febrero";"46.976"
"2011";"Marzo";"47.395"
"2011";"Abril";"46.532"
"2011";"Mayo";"45.195"
"2011";"Junio";"43.098"
"2011";"Julio";"41.268"
"2011";"Agosto";"41.932"
"2011";"Septiembre";"44.367"
"2011";"Octubre";"46.786"
"2011";"Noviembre";"48.482"
"2011";"Diciembre";"49.273"
"2012";"Enero";"51.879"
"2012";"Febrero";"53.055"
"2012";"Marzo";"53.482"
"2012";"Abril";"53.189"
"2012";"Mayo";"52.953"
"2012";"Junio";"50.950"
"2012";"Julio";"47.976"
"2012";"Agosto";"48.325"
"2012";"Septiembre";"50.841"
"2012";"Octubre";"53.965"
"2012";"Noviembre";"55.818"
"2012";"Diciembre";"56.341"
"2013";"Enero";"58.650"
"2013";"Febrero";"59.278"
"2013";"Marzo";"58.687"
