"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"111.204"
"2005";"Junio";"107.566"
"2005";"Julio";"104.757"
"2005";"Agosto";"103.787"
"2005";"Septiembre";"104.891"
"2005";"Octubre";"111.032"
"2005";"Noviembre";"114.686"
"2005";"Diciembre";"115.650"
"2006";"Enero";"121.873"
"2006";"Febrero";"121.556"
"2006";"Marzo";"120.579"
"2006";"Abril";"116.881"
"2006";"Mayo";"110.460"
"2006";"Junio";"106.070"
"2006";"Julio";"101.303"
"2006";"Agosto";"100.345"
"2006";"Septiembre";"101.128"
"2006";"Octubre";"104.443"
"2006";"Noviembre";"107.085"
"2006";"Diciembre";"108.421"
"2007";"Enero";"113.240"
"2007";"Febrero";"113.136"
"2007";"Marzo";"112.578"
"2007";"Abril";"109.422"
"2007";"Mayo";"107.008"
"2007";"Junio";"102.387"
"2007";"Julio";"99.031"
"2007";"Agosto";"97.895"
"2007";"Septiembre";"100.329"
"2007";"Octubre";"104.088"
"2007";"Noviembre";"104.762"
"2007";"Diciembre";"109.711"
"2008";"Enero";"117.479"
"2008";"Febrero";"119.405"
"2008";"Marzo";"119.121"
"2008";"Abril";"119.983"
"2008";"Mayo";"118.656"
"2008";"Junio";"116.228"
"2008";"Julio";"113.137"
"2008";"Agosto";"115.116"
"2008";"Septiembre";"121.182"
"2008";"Octubre";"129.909"
"2008";"Noviembre";"139.381"
"2008";"Diciembre";"150.545"
"2009";"Enero";"161.493"
"2009";"Febrero";"167.133"
"2009";"Marzo";"172.570"
"2009";"Abril";"173.902"
"2009";"Mayo";"169.931"
"2009";"Junio";"164.117"
"2009";"Julio";"159.094"
"2009";"Agosto";"159.843"
"2009";"Septiembre";"164.236"
"2009";"Octubre";"172.461"
"2009";"Noviembre";"175.695"
"2009";"Diciembre";"182.030"
"2010";"Enero";"191.651"
"2010";"Febrero";"196.489"
"2010";"Marzo";"198.623"
"2010";"Abril";"197.751"
"2010";"Mayo";"196.246"
"2010";"Junio";"187.218"
"2010";"Julio";"180.035"
"2010";"Agosto";"180.117"
"2010";"Septiembre";"183.219"
"2010";"Octubre";"186.752"
"2010";"Noviembre";"188.915"
"2010";"Diciembre";"194.609"
"2011";"Enero";"204.266"
"2011";"Febrero";"205.006"
"2011";"Marzo";"203.586"
"2011";"Abril";"199.580"
"2011";"Mayo";"195.039"
"2011";"Junio";"185.917"
"2011";"Julio";"180.902"
"2011";"Agosto";"184.419"
"2011";"Septiembre";"191.675"
"2011";"Octubre";"199.934"
"2011";"Noviembre";"203.568"
"2011";"Diciembre";"208.475"
"2012";"Enero";"219.859"
"2012";"Febrero";"226.084"
"2012";"Marzo";"229.565"
"2012";"Abril";"231.244"
"2012";"Mayo";"229.353"
"2012";"Junio";"220.138"
"2012";"Julio";"216.494"
"2012";"Agosto";"218.373"
"2012";"Septiembre";"224.985"
"2012";"Octubre";"235.369"
"2012";"Noviembre";"239.867"
"2012";"Diciembre";"237.259"
"2013";"Enero";"245.877"
"2013";"Febrero";"250.364"
"2013";"Marzo";"249.405"
"2013";"Abril";"248.845"
"2013";"Mayo";"244.089"
"2013";"Junio";"233.912"
"2013";"Julio";"228.347"
"2013";"Agosto";"227.987"
"2013";"Septiembre";"233.799"
"2013";"Octubre";"239.596"
"2013";"Noviembre";"238.807"
"2013";"Diciembre";"235.919"
"2014";"Enero";"242.939"
"2014";"Febrero";"241.729"
"2014";"Marzo";"239.602"
"2014";"Abril";"234.133"
"2014";"Mayo";"227.384"
"2014";"Junio";"218.619"
"2014";"Julio";"214.399"
"2014";"Agosto";"211.700"
"2014";"Septiembre";"211.524"
"2014";"Octubre";"218.065"
"2014";"Noviembre";"221.577"
"2014";"Diciembre";"222.851"
"2015";"Enero";"224.869"
"2015";"Febrero";"223.293"
"2015";"Marzo";"219.917"
"2015";"Abril";"208.462"
"2015";"Mayo";"201.259"
"2015";"Junio";"193.004"
"2015";"Julio";"189.331"
"2015";"Agosto";"189.271"
"2015";"Septiembre";"190.001"
"2015";"Octubre";"201.827"
"2015";"Noviembre";"202.036"
"2015";"Diciembre";"201.696"
"2016";"Enero";"202.914"
"2016";"Febrero";"201.206"
"2016";"Marzo";"198.242"
"2016";"Abril";"193.165"
"2016";"Mayo";"185.279"
"2016";"Junio";"175.744"
"2016";"Julio";"171.845"
"2016";"Agosto";"171.938"
"2016";"Septiembre";"173.361"
"2016";"Octubre";"177.707"
"2016";"Noviembre";"180.564"
"2016";"Diciembre";"178.186"
"2017";"Enero";"181.027"
"2017";"Febrero";"180.455"
"2017";"Marzo";"177.903"
"2017";"Abril";"171.047"
"2017";"Mayo";"165.272"
"2017";"Junio";"155.665"
"2017";"Julio";"155.132"
"2017";"Agosto";"155.814"
"2017";"Septiembre";"156.936"
"2017";"Octubre";"161.913"
"2017";"Noviembre";"163.856"
"2017";"Diciembre";"162.988"
"2018";"Enero";"164.018"
"2018";"Febrero";"162.628"
"2018";"Marzo";"160.047"
"2018";"Abril";"155.616"
"2018";"Mayo";"150.424"
"2018";"Junio";"141.643"
"2018";"Julio";"139.245"
"2018";"Agosto";"141.143"
"2018";"Septiembre";"142.590"
"2018";"Octubre";"147.354"
"2018";"Noviembre";"147.480"
"2018";"Diciembre";"147.365"
"2019";"Enero";"151.328"
"2019";"Febrero";"151.065"
"2019";"Marzo";"148.767"
"2019";"Abril";"145.093"
"2019";"Mayo";"140.411"
"2019";"Junio";"133.242"
"2019";"Julio";"131.973"
"2019";"Agosto";"131.967"
"2019";"Septiembre";"132.594"
"2019";"Octubre";"139.536"
"2019";"Noviembre";"140.973"
"2019";"Diciembre";"139.874"
"2020";"Enero";"143.905"
"2020";"Febrero";"143.723"
;;
;;
"Métrica":"Paro registrado"
"Fuente":"Ministerio de Empleo y Seguridad Social"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/paro/b0eea2e9-e5c9-4f05-bd70-8dc6150db238/castilla-leon/295"
"Titulo":"El paro registrado en Castilla y León﻿"
"Subtitulo":""
