"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"93.613"
"2005";"Junio";"88.509"
"2005";"Julio";"87.210"
"2005";"Agosto";"89.637"
"2005";"Septiembre";"89.417"
"2005";"Octubre";"91.645"
"2005";"Noviembre";"91.975"
"2005";"Diciembre";"95.023"
"2006";"Enero";"98.802"
"2006";"Febrero";"99.123"
"2006";"Marzo";"97.741"
"2006";"Abril";"94.341"
"2006";"Mayo";"91.406"
"2006";"Junio";"87.349"
"2006";"Julio";"85.770"
"2006";"Agosto";"87.411"
"2006";"Septiembre";"87.757"
"2006";"Octubre";"88.743"
"2006";"Noviembre";"89.435"
"2006";"Diciembre";"90.921"
"2007";"Enero";"94.590"
"2007";"Febrero";"95.029"
"2007";"Marzo";"94.166"
"2007";"Abril";"92.925"
"2007";"Mayo";"89.991"
"2007";"Junio";"87.208"
"2007";"Julio";"87.073"
"2007";"Agosto";"89.685"
"2007";"Septiembre";"89.772"
"2007";"Octubre";"91.355"
"2007";"Noviembre";"93.163"
"2007";"Diciembre";"94.955"
"2008";"Enero";"101.138"
"2008";"Febrero";"105.519"
"2008";"Marzo";"105.658"
"2008";"Abril";"107.385"
"2008";"Mayo";"107.589"
"2008";"Junio";"106.446"
"2008";"Julio";"108.350"
"2008";"Agosto";"113.485"
"2008";"Septiembre";"115.345"
"2008";"Octubre";"128.948"
"2008";"Noviembre";"138.689"
"2008";"Diciembre";"147.817"
"2009";"Enero";"155.680"
"2009";"Febrero";"164.532"
"2009";"Marzo";"173.051"
"2009";"Abril";"176.136"
"2009";"Mayo";"174.729"
"2009";"Junio";"168.442"
"2009";"Julio";"165.797"
"2009";"Agosto";"169.165"
"2009";"Septiembre";"166.821"
"2009";"Octubre";"179.229"
"2009";"Noviembre";"181.683"
"2009";"Diciembre";"188.150"
"2010";"Enero";"193.499"
"2010";"Febrero";"199.917"
"2010";"Marzo";"204.382"
"2010";"Abril";"202.869"
"2010";"Mayo";"198.430"
"2010";"Junio";"192.897"
"2010";"Julio";"188.971"
"2010";"Agosto";"193.287"
"2010";"Septiembre";"187.473"
"2010";"Octubre";"199.057"
"2010";"Noviembre";"202.677"
"2010";"Diciembre";"205.134"
"2011";"Enero";"212.593"
"2011";"Febrero";"216.637"
"2011";"Marzo";"217.745"
"2011";"Abril";"215.621"
"2011";"Mayo";"212.433"
"2011";"Junio";"209.193"
"2011";"Julio";"206.611"
"2011";"Agosto";"208.349"
"2011";"Septiembre";"207.595"
"2011";"Octubre";"221.543"
"2011";"Noviembre";"225.101"
"2011";"Diciembre";"225.842"
"2012";"Enero";"236.790"
