"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"252.704"
"2005";"Junio";"247.969"
"2005";"Julio";"259.417"
"2005";"Agosto";"269.054"
"2005";"Septiembre";"266.392"
"2005";"Octubre";"262.588"
"2005";"Noviembre";"263.825"
"2005";"Diciembre";"262.605"
"2006";"Enero";"269.904"
"2006";"Febrero";"273.062"
"2006";"Marzo";"270.573"
"2006";"Abril";"259.989"
"2006";"Mayo";"253.686"
"2006";"Junio";"250.757"
"2006";"Julio";"257.969"
"2006";"Agosto";"264.325"
"2006";"Septiembre";"255.144"
"2006";"Octubre";"256.166"
"2006";"Noviembre";"257.771"
"2006";"Diciembre";"260.749"
"2007";"Enero";"261.348"
"2007";"Febrero";"257.583"
"2007";"Marzo";"254.720"
"2007";"Abril";"248.659"
"2007";"Mayo";"244.813"
"2007";"Junio";"245.490"
"2007";"Julio";"255.575"
"2007";"Agosto";"267.473"
"2007";"Septiembre";"258.234"
"2007";"Octubre";"258.012"
"2007";"Noviembre";"259.170"
"2007";"Diciembre";"265.789"
"2008";"Enero";"282.897"
"2008";"Febrero";"290.912"
"2008";"Marzo";"291.640"
"2008";"Abril";"299.387"
"2008";"Mayo";"305.247"
"2008";"Junio";"311.422"
"2008";"Julio";"321.964"
"2008";"Agosto";"342.082"
"2008";"Septiembre";"354.215"
"2008";"Octubre";"377.999"
"2008";"Noviembre";"402.836"
"2008";"Diciembre";"423.232"
"2009";"Enero";"455.757"
"2009";"Febrero";"479.487"
"2009";"Marzo";"498.352"
"2009";"Abril";"505.262"
"2009";"Mayo";"505.041"
"2009";"Junio";"488.247"
"2009";"Julio";"495.911"
"2009";"Agosto";"519.129"
"2009";"Septiembre";"531.352"
"2009";"Octubre";"543.603"
"2009";"Noviembre";"555.405"
"2009";"Diciembre";"561.761"
"2010";"Enero";"583.883"
"2010";"Febrero";"597.287"
"2010";"Marzo";"604.038"
"2010";"Abril";"593.656"
"2010";"Mayo";"574.736"
"2010";"Junio";"554.261"
"2010";"Julio";"539.191"
