"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"6.204"
"2005";"Junio";"6.019"
"2005";"Julio";"6.024"
"2005";"Agosto";"6.016"
"2005";"Septiembre";"6.211"
"2005";"Octubre";"6.467"
"2005";"Noviembre";"6.694"
"2005";"Diciembre";"6.691"
"2006";"Enero";"7.720"
"2006";"Febrero";"8.138"
"2006";"Marzo";"8.146"
"2006";"Abril";"8.108"
"2006";"Mayo";"8.004"
"2006";"Junio";"7.672"
"2006";"Julio";"7.396"
"2006";"Agosto";"7.352"
"2006";"Septiembre";"6.616"
"2006";"Octubre";"6.585"
"2006";"Noviembre";"6.798"
"2006";"Diciembre";"6.704"
"2007";"Enero";"6.776"
"2007";"Febrero";"6.872"
"2007";"Marzo";"7.046"
"2007";"Abril";"6.986"
"2007";"Mayo";"6.703"
"2007";"Junio";"7.409"
"2007";"Julio";"7.313"
"2007";"Agosto";"7.236"
"2007";"Septiembre";"6.610"
"2007";"Octubre";"6.747"
"2007";"Noviembre";"6.888"
"2007";"Diciembre";"6.764"
"2008";"Enero";"7.048"
"2008";"Febrero";"7.395"
"2008";"Marzo";"7.195"
"2008";"Abril";"7.349"
"2008";"Mayo";"7.520"
"2008";"Junio";"8.224"
"2008";"Julio";"8.017"
"2008";"Agosto";"7.730"
"2008";"Septiembre";"6.812"
"2008";"Octubre";"7.100"
"2008";"Noviembre";"7.427"
"2008";"Diciembre";"7.486"
"2009";"Enero";"7.238"
"2009";"Febrero";"7.311"
"2009";"Marzo";"8.551"
"2009";"Abril";"8.706"
"2009";"Mayo";"8.613"
"2009";"Junio";"8.559"
"2009";"Julio";"8.863"
"2009";"Agosto";"8.839"
"2009";"Septiembre";"9.201"
"2009";"Octubre";"9.287"
"2009";"Noviembre";"8.499"
"2009";"Diciembre";"8.362"
"2010";"Enero";"8.492"
"2010";"Febrero";"8.903"
"2010";"Marzo";"9.092"
"2010";"Abril";"9.456"
"2010";"Mayo";"10.379"
"2010";"Junio";"10.415"
"2010";"Julio";"10.090"
"2010";"Agosto";"9.986"
"2010";"Septiembre";"10.138"
"2010";"Octubre";"10.023"
"2010";"Noviembre";"9.203"
"2010";"Diciembre";"9.046"
"2011";"Enero";"9.364"
"2011";"Febrero";"9.635"
"2011";"Marzo";"9.933"
"2011";"Abril";"10.391"
"2011";"Mayo";"11.319"
"2011";"Junio";"11.264"
"2011";"Julio";"10.660"
"2011";"Agosto";"10.711"
"2011";"Septiembre";"11.027"
"2011";"Octubre";"11.226"
"2011";"Noviembre";"11.351"
"2011";"Diciembre";"10.822"
"2012";"Enero";"11.452"
"2012";"Febrero";"11.608"
"2012";"Marzo";"11.841"
"2012";"Abril";"12.243"
"2012";"Mayo";"12.342"
"2012";"Junio";"12.333"
"2012";"Julio";"12.719"
"2012";"Agosto";"12.671"
"2012";"Septiembre";"12.892"
"2012";"Octubre";"13.219"
"2012";"Noviembre";"13.289"
