"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"198.775"
"2005";"Junio";"197.869"
"2005";"Julio";"194.524"
"2005";"Agosto";"199.931"
"2005";"Septiembre";"194.142"
"2005";"Octubre";"192.355"
"2005";"Noviembre";"195.894"
"2005";"Diciembre";"200.721"
"2006";"Enero";"208.669"
"2006";"Febrero";"208.153"
"2006";"Marzo";"204.527"
"2006";"Abril";"199.324"
"2006";"Mayo";"193.085"
"2006";"Junio";"189.859"
"2006";"Julio";"187.156"
"2006";"Agosto";"196.663"
"2006";"Septiembre";"190.563"
"2006";"Octubre";"187.768"
"2006";"Noviembre";"189.885"
"2006";"Diciembre";"194.879"
"2007";"Enero";"200.584"
"2007";"Febrero";"200.119"
"2007";"Marzo";"198.345"
"2007";"Abril";"196.329"
"2007";"Mayo";"193.447"
"2007";"Junio";"194.000"
"2007";"Julio";"194.930"
"2007";"Agosto";"208.014"
"2007";"Septiembre";"203.895"
"2007";"Octubre";"202.645"
"2007";"Noviembre";"209.099"
"2007";"Diciembre";"215.693"
"2008";"Enero";"233.250"
"2008";"Febrero";"242.154"
"2008";"Marzo";"241.836"
"2008";"Abril";"249.027"
"2008";"Mayo";"255.643"
"2008";"Junio";"262.865"
"2008";"Julio";"266.772"
"2008";"Agosto";"285.660"
"2008";"Septiembre";"295.010"
"2008";"Octubre";"311.659"
"2008";"Noviembre";"332.987"
"2008";"Diciembre";"357.824"
"2009";"Enero";"388.845"
"2009";"Febrero";"415.091"
"2009";"Marzo";"432.582"
"2009";"Abril";"441.597"
"2009";"Mayo";"442.522"
"2009";"Junio";"438.336"
"2009";"Julio";"435.184"
"2009";"Agosto";"449.778"
"2009";"Septiembre";"459.724"
"2009";"Octubre";"461.818"
"2009";"Noviembre";"470.140"
"2009";"Diciembre";"477.847"
"2010";"Enero";"493.567"
"2010";"Febrero";"506.989"
"2010";"Marzo";"513.588"
"2010";"Abril";"516.821"
"2010";"Mayo";"511.014"
"2010";"Junio";"497.808"
"2010";"Julio";"487.098"
"2010";"Agosto";"496.732"
"2010";"Septiembre";"502.237"
"2010";"Octubre";"503.109"
"2010";"Noviembre";"502.905"
"2010";"Diciembre";"501.315"
"2011";"Enero";"513.800"
"2011";"Febrero";"526.440"
"2011";"Marzo";"532.315"
"2011";"Abril";"530.006"
"2011";"Mayo";"524.335"
"2011";"Junio";"519.180"
"2011";"Julio";"509.558"
"2011";"Agosto";"517.510"
"2011";"Septiembre";"525.732"
"2011";"Octubre";"530.307"
"2011";"Noviembre";"532.930"
"2011";"Diciembre";"535.036"
"2012";"Enero";"551.793"
"2012";"Febrero";"566.131"
"2012";"Marzo";"572.706"
"2012";"Abril";"575.667"
"2012";"Mayo";"573.234"
"2012";"Junio";"564.130"
"2012";"Julio";"564.768"
"2012";"Agosto";"572.009"
"2012";"Septiembre";"578.907"
"2012";"Octubre";"578.040"
"2012";"Noviembre";"574.939"
"2012";"Diciembre";"569.735"
"2013";"Enero";"586.420"
"2013";"Febrero";"593.357"
"2013";"Marzo";"591.125"
"2013";"Abril";"592.797"
"2013";"Mayo";"582.126"
"2013";"Junio";"572.373"
"2013";"Julio";"568.584"
"2013";"Agosto";"573.486"
"2013";"Septiembre";"573.715"
"2013";"Octubre";"569.947"
"2013";"Noviembre";"561.618"
"2013";"Diciembre";"547.360"
"2014";"Enero";"559.523"
"2014";"Febrero";"560.438"
"2014";"Marzo";"554.536"
"2014";"Abril";"546.277"
"2014";"Mayo";"537.458"
"2014";"Junio";"527.240"
"2014";"Julio";"524.099"
"2014";"Agosto";"531.471"
"2014";"Septiembre";"533.600"
"2014";"Octubre";"528.866"
"2014";"Noviembre";"522.103"
"2014";"Diciembre";"511.164"
"2015";"Enero";"518.733"
"2015";"Febrero";"518.388"
"2015";"Marzo";"510.616"
"2015";"Abril";"502.532"
"2015";"Mayo";"488.371"
"2015";"Junio";"481.623"
"2015";"Julio";"473.880"
"2015";"Agosto";"481.494"
"2015";"Septiembre";"483.732"
"2015";"Octubre";"476.842"
"2015";"Noviembre";"467.035"
"2015";"Diciembre";"461.990"
"2016";"Enero";"468.921"
"2016";"Febrero";"469.301"
"2016";"Marzo";"461.664"
"2016";"Abril";"458.278"
