"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"222.419"
"2005";"Junio";"221.889"
"2005";"Julio";"224.153"
"2005";"Agosto";"227.684"
"2005";"Septiembre";"221.671"
"2005";"Octubre";"221.285"
"2005";"Noviembre";"220.227"
"2005";"Diciembre";"216.066"
"2006";"Enero";"225.259"
"2006";"Febrero";"225.214"
"2006";"Marzo";"223.860"
"2006";"Abril";"220.235"
"2006";"Mayo";"215.751"
"2006";"Junio";"206.759"
"2006";"Julio";"212.432"
"2006";"Agosto";"217.021"
"2006";"Septiembre";"213.081"
"2006";"Octubre";"213.581"
"2006";"Noviembre";"212.754"
"2006";"Diciembre";"211.558"
"2007";"Enero";"218.201"
"2007";"Febrero";"220.752"
"2007";"Marzo";"222.811"
"2007";"Abril";"222.172"
"2007";"Mayo";"218.126"
"2007";"Junio";"216.651"
"2007";"Julio";"216.289"
"2007";"Agosto";"223.083"
"2007";"Septiembre";"220.372"
"2007";"Octubre";"225.543"
"2007";"Noviembre";"227.629"
"2007";"Diciembre";"229.150"
"2008";"Enero";"246.797"
"2008";"Febrero";"255.339"
"2008";"Marzo";"253.924"
"2008";"Abril";"259.611"
"2008";"Mayo";"262.660"
"2008";"Junio";"266.936"
"2008";"Julio";"268.135"
"2008";"Agosto";"279.234"
"2008";"Septiembre";"288.972"
"2008";"Octubre";"315.159"
"2008";"Noviembre";"330.439"
"2008";"Diciembre";"345.333"
"2009";"Enero";"369.256"
"2009";"Febrero";"387.545"
"2009";"Marzo";"405.673"
"2009";"Abril";"415.142"
"2009";"Mayo";"417.273"
"2009";"Junio";"418.284"
"2009";"Julio";"416.264"
"2009";"Agosto";"424.759"
"2009";"Septiembre";"430.784"
"2009";"Octubre";"441.858"
"2009";"Noviembre";"448.224"
"2009";"Diciembre";"451.929"
"2010";"Enero";"465.452"
"2010";"Febrero";"474.356"
"2010";"Marzo";"480.022"
"2010";"Abril";"481.244"
"2010";"Mayo";"474.661"
"2010";"Junio";"470.913"
"2010";"Julio";"462.720"
"2010";"Agosto";"468.609"
"2010";"Septiembre";"471.643"
"2010";"Octubre";"471.388"
"2010";"Noviembre";"469.079"
"2010";"Diciembre";"461.928"
"2011";"Enero";"472.468"
"2011";"Febrero";"478.170"
"2011";"Marzo";"482.025"
"2011";"Abril";"479.070"
"2011";"Mayo";"475.876"
"2011";"Junio";"469.511"
"2011";"Julio";"469.957"
"2011";"Agosto";"474.997"
"2011";"Septiembre";"485.206"
"2011";"Octubre";"497.025"
"2011";"Noviembre";"493.012"
"2011";"Diciembre";"488.709"
"2012";"Enero";"511.465"
"2012";"Febrero";"526.374"
"2012";"Marzo";"530.875"
"2012";"Abril";"531.317"
"2012";"Mayo";"529.740"
"2012";"Junio";"521.246"
"2012";"Julio";"522.421"
"2012";"Agosto";"527.261"
"2012";"Septiembre";"536.457"
"2012";"Octubre";"549.354"
"2012";"Noviembre";"553.762"
"2012";"Diciembre";"544.484"
"2013";"Enero";"561.919"
"2013";"Febrero";"570.039"
"2013";"Marzo";"571.751"
"2013";"Abril";"569.030"
"2013";"Mayo";"560.560"
"2013";"Junio";"545.844"
"2013";"Julio";"542.400"
"2013";"Agosto";"543.905"
"2013";"Septiembre";"547.701"
"2013";"Octubre";"552.758"
"2013";"Noviembre";"550.269"
"2013";"Diciembre";"535.563"
"2014";"Enero";"547.353"
"2014";"Febrero";"549.514"
"2014";"Marzo";"546.879"
"2014";"Abril";"535.914"
"2014";"Mayo";"520.863"
"2014";"Junio";"505.428"
"2014";"Julio";"505.978"
"2014";"Agosto";"508.153"
"2014";"Septiembre";"510.581"
"2014";"Octubre";"516.048"
"2014";"Noviembre";"512.177"
"2014";"Diciembre";"498.649"
"2015";"Enero";"506.037"
"2015";"Febrero";"508.448"
"2015";"Marzo";"503.441"
"2015";"Abril";"491.281"
"2015";"Mayo";"475.184"
"2015";"Junio";"461.094"
"2015";"Julio";"454.661"
"2015";"Agosto";"458.696"
"2015";"Septiembre";"460.986"
"2015";"Octubre";"466.314"
"2015";"Noviembre";"461.636"
"2015";"Diciembre";"452.352"
"2016";"Enero";"460.330"
"2016";"Febrero";"462.540"
"2016";"Marzo";"458.434"
"2016";"Abril";"450.003"
"2016";"Mayo";"437.366"
"2016";"Junio";"425.540"
"2016";"Julio";"418.405"
"2016";"Agosto";"421.564"
"2016";"Septiembre";"419.532"
"2016";"Octubre";"420.305"
"2016";"Noviembre";"416.659"
"2016";"Diciembre";"405.367"
"2017";"Enero";"415.034"
"2017";"Febrero";"416.707"
"2017";"Marzo";"409.826"
"2017";"Abril";"397.451"
"2017";"Mayo";"387.543"
"2017";"Junio";"379.808"
"2017";"Julio";"379.442"
"2017";"Agosto";"383.307"
"2017";"Septiembre";"385.461"
"2017";"Octubre";"385.770"
"2017";"Noviembre";"377.579"
"2017";"Diciembre";"369.966"
"2018";"Enero";"381.732"
"2018";"Febrero";"383.463"
"2018";"Marzo";"380.051"
"2018";"Abril";"370.590"
"2018";"Mayo";"360.760"
"2018";"Junio";"351.047"
"2018";"Julio";"349.703"
"2018";"Agosto";"354.113"
"2018";"Septiembre";"353.903"
"2018";"Octubre";"351.797"
"2018";"Noviembre";"345.876"
"2018";"Diciembre";"339.298"
"2019";"Enero";"350.606"
"2019";"Febrero";"354.212"
"2019";"Marzo";"353.737"
"2019";"Abril";"347.725"
"2019";"Mayo";"341.125"
"2019";"Junio";"334.602"
"2019";"Julio";"335.510"
"2019";"Agosto";"342.709"
