"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"74.476"
"2005";"Junio";"74.534"
"2005";"Julio";"73.634"
"2005";"Agosto";"74.670"
"2005";"Septiembre";"77.065"
"2005";"Octubre";"77.643"
"2005";"Noviembre";"78.201"
"2005";"Diciembre";"77.722"
"2006";"Enero";"78.993"
"2006";"Febrero";"79.608"
"2006";"Marzo";"78.816"
"2006";"Abril";"77.781"
"2006";"Mayo";"76.668"
"2006";"Junio";"75.816"
"2006";"Julio";"73.681"
"2006";"Agosto";"74.390"
"2006";"Septiembre";"75.255"
"2006";"Octubre";"74.020"
"2006";"Noviembre";"74.743"
"2006";"Diciembre";"74.637"
"2007";"Enero";"76.387"
"2007";"Febrero";"75.803"
"2007";"Marzo";"75.712"
"2007";"Abril";"74.489"
"2007";"Mayo";"73.373"
"2007";"Junio";"73.906"
"2007";"Julio";"72.023"
"2007";"Agosto";"72.622"
"2007";"Septiembre";"74.703"
"2007";"Octubre";"74.678"
"2007";"Noviembre";"75.239"
"2007";"Diciembre";"76.202"
"2008";"Enero";"78.934"
"2008";"Febrero";"79.218"
"2008";"Marzo";"78.706"
"2008";"Abril";"79.483"
"2008";"Mayo";"80.757"
"2008";"Junio";"82.255"
"2008";"Julio";"80.957"
"2008";"Agosto";"83.947"
"2008";"Septiembre";"88.605"
"2008";"Octubre";"90.690"
"2008";"Noviembre";"93.231"
"2008";"Diciembre";"97.574"
"2009";"Enero";"103.647"
"2009";"Febrero";"107.237"
"2009";"Marzo";"108.664"
"2009";"Abril";"106.641"
"2009";"Mayo";"104.923"
"2009";"Junio";"104.493"
"2009";"Julio";"102.944"
"2009";"Agosto";"104.804"
"2009";"Septiembre";"110.179"
"2009";"Octubre";"111.570"
"2009";"Noviembre";"110.470"
"2009";"Diciembre";"112.320"
"2010";"Enero";"116.663"
"2010";"Febrero";"118.763"
"2010";"Marzo";"118.550"
"2010";"Abril";"115.124"
"2010";"Mayo";"112.155"
"2010";"Junio";"111.818"
"2010";"Julio";"111.087"
"2010";"Agosto";"113.866"
"2010";"Septiembre";"118.970"
"2010";"Octubre";"122.209"
"2010";"Noviembre";"119.636"
"2010";"Diciembre";"119.897"
"2011";"Enero";"122.179"
"2011";"Febrero";"123.254"
