"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"172.079"
"2005";"Junio";"162.264"
"2005";"Julio";"157.423"
"2005";"Agosto";"157.295"
"2005";"Septiembre";"157.116"
"2005";"Octubre";"164.299"
"2005";"Noviembre";"172.838"
"2005";"Diciembre";"178.676"
"2006";"Enero";"181.401"
"2006";"Febrero";"178.373"
"2006";"Marzo";"176.114"
"2006";"Abril";"170.332"
"2006";"Mayo";"163.161"
"2006";"Junio";"153.746"
"2006";"Julio";"148.068"
"2006";"Agosto";"146.388"
"2006";"Septiembre";"146.834"
"2006";"Octubre";"151.534"
"2006";"Noviembre";"158.690"
"2006";"Diciembre";"160.666"
"2007";"Enero";"163.583"
"2007";"Febrero";"160.904"
"2007";"Marzo";"159.886"
"2007";"Abril";"155.479"
"2007";"Mayo";"148.209"
"2007";"Junio";"143.156"
"2007";"Julio";"139.998"
"2007";"Agosto";"140.299"
"2007";"Septiembre";"140.960"
"2007";"Octubre";"146.371"
"2007";"Noviembre";"152.728"
"2007";"Diciembre";"154.982"
"2008";"Enero";"161.162"
"2008";"Febrero";"161.828"
"2008";"Marzo";"160.180"
"2008";"Abril";"159.749"
"2008";"Mayo";"156.779"
"2008";"Junio";"152.708"
"2008";"Julio";"149.318"
"2008";"Agosto";"152.437"
"2008";"Septiembre";"156.834"
"2008";"Octubre";"168.423"
"2008";"Noviembre";"180.820"
"2008";"Diciembre";"189.903"
"2009";"Enero";"201.316"
"2009";"Febrero";"206.570"
"2009";"Marzo";"211.484"
"2009";"Abril";"210.662"
"2009";"Mayo";"207.518"
"2009";"Junio";"200.240"
"2009";"Julio";"192.859"
"2009";"Agosto";"195.241"
"2009";"Septiembre";"200.465"
"2009";"Octubre";"208.923"
"2009";"Noviembre";"216.828"
"2009";"Diciembre";"222.839"
"2010";"Enero";"231.628"
"2010";"Febrero";"234.171"
"2010";"Marzo";"236.449"
"2010";"Abril";"233.916"
"2010";"Mayo";"228.507"
"2010";"Junio";"219.825"
"2010";"Julio";"209.789"
"2010";"Agosto";"211.532"
"2010";"Septiembre";"216.095"
"2010";"Octubre";"223.894"
"2010";"Noviembre";"231.721"
"2010";"Diciembre";"237.313"
"2011";"Enero";"245.831"
"2011";"Febrero";"248.279"
"2011";"Marzo";"249.246"
"2011";"Abril";"244.662"
"2011";"Mayo";"240.014"
"2011";"Junio";"233.557"
"2011";"Julio";"223.000"
"2011";"Agosto";"224.582"
"2011";"Septiembre";"232.918"
"2011";"Octubre";"242.142"
"2011";"Noviembre";"253.416"
"2011";"Diciembre";"258.234"
"2012";"Enero";"271.284"
"2012";"Febrero";"274.675"
"2012";"Marzo";"276.795"
"2012";"Abril";"277.644"
"2012";"Mayo";"276.608"
"2012";"Junio";"269.203"
"2012";"Julio";"260.198"
"2012";"Agosto";"257.267"
"2012";"Septiembre";"259.373"
"2012";"Octubre";"267.812"
"2012";"Noviembre";"276.536"
"2012";"Diciembre";"278.787"
"2013";"Enero";"290.790"
"2013";"Febrero";"292.823"
"2013";"Marzo";"291.187"
"2013";"Abril";"290.459"
"2013";"Mayo";"283.886"
"2013";"Junio";"273.434"
"2013";"Julio";"261.102"
"2013";"Agosto";"257.524"
"2013";"Septiembre";"260.733"
"2013";"Octubre";"268.225"
"2013";"Noviembre";"270.854"
"2013";"Diciembre";"271.063"
"2014";"Enero";"281.077"
"2014";"Febrero";"280.071"
"2014";"Marzo";"276.463"
"2014";"Abril";"270.144"
"2014";"Mayo";"263.444"
"2014";"Junio";"252.310"
"2014";"Julio";"240.279"
"2014";"Agosto";"236.939"
"2014";"Septiembre";"238.203"
"2014";"Octubre";"244.044"
"2014";"Noviembre";"248.632"
"2014";"Diciembre";"251.918"
"2015";"Enero";"259.002"
"2015";"Febrero";"257.549"
"2015";"Marzo";"252.137"
"2015";"Abril";"244.761"
"2015";"Mayo";"236.981"
"2015";"Junio";"229.062"
"2015";"Julio";"216.371"
"2015";"Agosto";"213.732"
"2015";"Septiembre";"215.737"
"2015";"Octubre";"222.092"
"2015";"Noviembre";"225.158"
"2015";"Diciembre";"228.808"
"2016";"Enero";"236.447"
"2016";"Febrero";"235.268"
"2016";"Marzo";"231.797"
"2016";"Abril";"228.153"
"2016";"Mayo";"220.464"
"2016";"Junio";"207.320"
"2016";"Julio";"195.457"
"2016";"Agosto";"193.045"
"2016";"Septiembre";"194.336"
"2016";"Octubre";"198.940"
"2016";"Noviembre";"203.554"
"2016";"Diciembre";"205.914"
"2017";"Enero";"212.078"
"2017";"Febrero";"211.924"
"2017";"Marzo";"210.056"
"2017";"Abril";"204.629"
"2017";"Mayo";"199.638"
"2017";"Junio";"189.665"
"2017";"Julio";"181.871"
"2017";"Agosto";"181.125"
"2017";"Septiembre";"184.057"
"2017";"Octubre";"185.903"
"2017";"Noviembre";"187.175"
"2017";"Diciembre";"185.013"
"2018";"Enero";"189.886"
"2018";"Febrero";"188.207"
"2018";"Marzo";"185.103"
"2018";"Abril";"182.291"
"2018";"Mayo";"176.696"
"2018";"Junio";"170.065"
"2018";"Julio";"163.412"
"2018";"Agosto";"164.424"
"2018";"Septiembre";"166.320"
"2018";"Octubre";"169.744"
"2018";"Noviembre";"170.369"
"2018";"Diciembre";"169.295"
"2019";"Enero";"174.800"
"2019";"Febrero";"173.709"
"2019";"Marzo";"170.841"
"2019";"Abril";"166.226"
"2019";"Mayo";"160.805"
"2019";"Junio";"155.249"
"2019";"Julio";"150.921"
"2019";"Agosto";"153.820"
"2019";"Septiembre";"156.984"
"2019";"Octubre";"164.307"
"2019";"Noviembre";"165.659"
"2019";"Diciembre";"165.308"
"2020";"Enero";"167.755"
"2020";"Febrero";"166.229"
;;
;;
"Métrica":"Paro registrado"
"Fuente":"Ministerio de Empleo y Seguridad Social"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/paro/b0eea2e9-e5c9-4f05-bd70-8dc6150db238/galicia/301"
"Titulo":"El paro registrado en Galicia﻿"
"Subtitulo":""
