"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"29.544"
"2005";"Junio";"27.736"
"2005";"Julio";"28.156"
"2005";"Agosto";"29.248"
"2005";"Septiembre";"29.362"
"2005";"Octubre";"35.198"
"2005";"Noviembre";"47.996"
"2005";"Diciembre";"48.903"
"2006";"Enero";"48.036"
"2006";"Febrero";"45.193"
"2006";"Marzo";"42.231"
"2006";"Abril";"35.070"
"2006";"Mayo";"28.259"
"2006";"Junio";"26.344"
"2006";"Julio";"26.932"
"2006";"Agosto";"28.338"
"2006";"Septiembre";"28.725"
"2006";"Octubre";"33.704"
"2006";"Noviembre";"44.490"
"2006";"Diciembre";"46.284"
"2007";"Enero";"46.824"
"2007";"Febrero";"43.353"
"2007";"Marzo";"39.855"
"2007";"Abril";"34.253"
"2007";"Mayo";"28.245"
"2007";"Junio";"27.713"
"2007";"Julio";"29.334"
"2007";"Agosto";"30.900"
"2007";"Septiembre";"31.221"
"2007";"Octubre";"37.100"
"2007";"Noviembre";"48.119"
"2007";"Diciembre";"50.004"
"2008";"Enero";"50.518"
"2008";"Febrero";"48.335"
"2008";"Marzo";"45.184"
"2008";"Abril";"41.233"
"2008";"Mayo";"36.439"
"2008";"Junio";"36.929"
"2008";"Julio";"39.927"
"2008";"Agosto";"43.540"
"2008";"Septiembre";"46.807"
"2008";"Octubre";"56.982"
"2008";"Noviembre";"70.144"
"2008";"Diciembre";"73.298"
"2009";"Enero";"74.447"
"2009";"Febrero";"74.367"
"2009";"Marzo";"75.153"
"2009";"Abril";"71.946"
"2009";"Mayo";"66.789"
"2009";"Junio";"64.160"
"2009";"Julio";"64.023"
"2009";"Agosto";"66.796"
"2009";"Septiembre";"72.116"
"2009";"Octubre";"81.683"
"2009";"Noviembre";"89.952"
"2009";"Diciembre";"91.098"
"2010";"Enero";"90.588"
"2010";"Febrero";"90.026"
"2010";"Marzo";"88.125"
"2010";"Abril";"84.264"
"2010";"Mayo";"77.795"
"2010";"Junio";"73.917"
"2010";"Julio";"72.115"
"2010";"Agosto";"73.007"
"2010";"Septiembre";"76.643"
"2010";"Octubre";"84.761"
"2010";"Noviembre";"92.049"
"2010";"Diciembre";"91.288"
"2011";"Enero";"90.726"
"2011";"Febrero";"89.662"
"2011";"Marzo";"88.127"
"2011";"Abril";"82.626"
"2011";"Mayo";"75.772"
"2011";"Junio";"71.494"
"2011";"Julio";"70.980"
"2011";"Agosto";"71.365"
"2011";"Septiembre";"76.067"
"2011";"Octubre";"86.924"
"2011";"Noviembre";"97.320"
"2011";"Diciembre";"98.087"
"2012";"Enero";"98.927"
"2012";"Febrero";"98.352"
"2012";"Marzo";"96.122"
"2012";"Abril";"89.807"
"2012";"Mayo";"82.514"
"2012";"Junio";"77.277"
"2012";"Julio";"75.524"
"2012";"Agosto";"74.960"
"2012";"Septiembre";"77.677"
"2012";"Octubre";"87.151"
"2012";"Noviembre";"96.377"
"2012";"Diciembre";"95.835"
"2013";"Enero";"95.509"
"2013";"Febrero";"93.947"
"2013";"Marzo";"90.576"
"2013";"Abril";"84.041"
"2013";"Mayo";"76.124"
"2013";"Junio";"70.734"
"2013";"Julio";"69.354"
"2013";"Agosto";"69.500"
"2013";"Septiembre";"72.398"
"2013";"Octubre";"82.486"
"2013";"Noviembre";"91.498"
"2013";"Diciembre";"91.215"
"2014";"Enero";"90.735"
"2014";"Febrero";"89.218"
"2014";"Marzo";"85.718"
"2014";"Abril";"75.789"
"2014";"Mayo";"67.837"
"2014";"Junio";"62.578"
"2014";"Julio";"62.123"
"2014";"Agosto";"62.382"
"2014";"Septiembre";"65.093"
"2014";"Octubre";"75.513"
"2014";"Noviembre";"84.311"
"2014";"Diciembre";"83.560"
"2015";"Enero";"83.066"
"2015";"Febrero";"80.295"
"2015";"Marzo";"75.091"
"2015";"Abril";"66.756"
"2015";"Mayo";"58.832"
"2015";"Junio";"55.508"
"2015";"Julio";"54.407"
"2015";"Agosto";"54.437"
"2015";"Septiembre";"56.531"
"2015";"Octubre";"67.344"
"2015";"Noviembre";"77.187"
"2015";"Diciembre";"75.784"
"2016";"Enero";"74.973"
"2016";"Febrero";"71.710"
"2016";"Marzo";"66.134"
"2016";"Abril";"58.441"
"2016";"Mayo";"49.986"
"2016";"Junio";"46.278"
"2016";"Julio";"45.530"
"2016";"Agosto";"46.164"
"2016";"Septiembre";"48.270"
"2016";"Octubre";"57.007"
"2016";"Noviembre";"68.395"
"2016";"Diciembre";"66.908"
"2017";"Enero";"66.716"
"2017";"Febrero";"63.630"
"2017";"Marzo";"58.295"
"2017";"Abril";"48.294"
"2017";"Mayo";"41.429"
"2017";"Junio";"38.866"
"2017";"Julio";"39.154"
"2017";"Agosto";"40.351"
"2017";"Septiembre";"42.415"
"2017";"Octubre";"51.395"
"2017";"Noviembre";"63.981"
"2017";"Diciembre";"63.369"
"2018";"Enero";"62.719"
"2018";"Febrero";"59.381"
"2018";"Marzo";"53.731"
"2018";"Abril";"45.624"
"2018";"Mayo";"39.068"
"2018";"Junio";"36.587"
"2018";"Julio";"37.243"
"2018";"Agosto";"38.627"
"2018";"Septiembre";"40.747"
"2018";"Octubre";"50.217"
"2018";"Noviembre";"59.872"
"2018";"Diciembre";"59.878"
"2019";"Enero";"60.216"
"2019";"Febrero";"58.125"
"2019";"Marzo";"54.761"
"2019";"Abril";"44.730"
"2019";"Mayo";"38.897"
"2019";"Junio";"36.372"
"2019";"Julio";"37.505"
"2019";"Agosto";"38.841"
"2019";"Septiembre";"40.377"
"2019";"Octubre";"50.586"
"2019";"Noviembre";"62.143"
"2019";"Diciembre";"61.121"
"2020";"Enero";"60.855"
"2020";"Febrero";"57.565"
;;
;;
"Métrica":"Paro registrado"
"Fuente":"Ministerio de Empleo y Seguridad Social"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/paro/b0eea2e9-e5c9-4f05-bd70-8dc6150db238/islas-baleares/302"
"Titulo":"El paro registrado en Islas Baleares﻿"
"Subtitulo":""
