"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"9.560"
"2005";"Junio";"9.433"
"2005";"Julio";"9.598"
"2005";"Agosto";"9.896"
"2005";"Septiembre";"9.277"
"2005";"Octubre";"9.597"
"2005";"Noviembre";"9.928"
"2005";"Diciembre";"10.279"
"2006";"Enero";"10.804"
"2006";"Febrero";"10.823"
"2006";"Marzo";"10.810"
"2006";"Abril";"10.756"
"2006";"Mayo";"10.301"
"2006";"Junio";"9.790"
"2006";"Julio";"9.754"
"2006";"Agosto";"9.899"
"2006";"Septiembre";"9.345"
"2006";"Octubre";"9.631"
"2006";"Noviembre";"9.766"
"2006";"Diciembre";"10.154"
"2007";"Enero";"10.461"
"2007";"Febrero";"10.415"
"2007";"Marzo";"10.318"
"2007";"Abril";"10.089"
"2007";"Mayo";"9.491"
"2007";"Junio";"9.379"
"2007";"Julio";"9.399"
"2007";"Agosto";"9.935"
"2007";"Septiembre";"9.672"
"2007";"Octubre";"9.994"
"2007";"Noviembre";"10.356"
"2007";"Diciembre";"10.753"
"2008";"Enero";"11.599"
"2008";"Febrero";"12.128"
"2008";"Marzo";"12.030"
"2008";"Abril";"12.138"
"2008";"Mayo";"11.924"
"2008";"Junio";"11.879"
"2008";"Julio";"11.997"
"2008";"Agosto";"12.357"
"2008";"Septiembre";"12.386"
"2008";"Octubre";"13.364"
"2008";"Noviembre";"15.209"
"2008";"Diciembre";"16.671"
"2009";"Enero";"18.152"
"2009";"Febrero";"19.297"
"2009";"Marzo";"20.113"
"2009";"Abril";"20.318"
"2009";"Mayo";"19.852"
"2009";"Junio";"19.574"
"2009";"Julio";"19.414"
"2009";"Agosto";"19.205"
"2009";"Septiembre";"18.957"
"2009";"Octubre";"20.354"
"2009";"Noviembre";"21.022"
"2009";"Diciembre";"21.747"
"2010";"Enero";"21.856"
"2010";"Febrero";"22.633"
"2010";"Marzo";"23.365"
"2010";"Abril";"23.221"
"2010";"Mayo";"22.033"
"2010";"Junio";"21.794"
"2010";"Julio";"21.485"
"2010";"Agosto";"20.940"
"2010";"Septiembre";"20.584"
"2010";"Octubre";"21.144"
"2010";"Noviembre";"21.770"
"2010";"Diciembre";"22.406"
"2011";"Enero";"22.661"
"2011";"Febrero";"23.221"
"2011";"Marzo";"24.074"
"2011";"Abril";"23.339"
"2011";"Mayo";"22.655"
"2011";"Junio";"22.749"
"2011";"Julio";"22.546"
"2011";"Agosto";"22.144"
"2011";"Septiembre";"21.693"
"2011";"Octubre";"23.357"
"2011";"Noviembre";"24.560"
"2011";"Diciembre";"25.381"
"2012";"Enero";"26.200"
"2012";"Febrero";"26.530"
"2012";"Marzo";"26.856"
"2012";"Abril";"26.981"
"2012";"Mayo";"26.249"
"2012";"Junio";"25.852"
"2012";"Julio";"26.039"
"2012";"Agosto";"25.782"
"2012";"Septiembre";"24.977"
"2012";"Octubre";"26.443"
"2012";"Noviembre";"27.520"
"2012";"Diciembre";"27.577"
"2013";"Enero";"28.613"
"2013";"Febrero";"29.067"
"2013";"Marzo";"29.371"
"2013";"Abril";"28.548"
"2013";"Mayo";"27.519"
"2013";"Junio";"26.840"
"2013";"Julio";"26.675"
