"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"6.950"
"2005";"Junio";"5.910"
"2005";"Julio";"5.536"
"2005";"Agosto";"5.420"
"2005";"Septiembre";"5.775"
"2005";"Octubre";"5.983"
"2005";"Noviembre";"6.204"
"2005";"Diciembre";"7.018"
"2006";"Enero";"7.387"
"2006";"Febrero";"7.445"
"2006";"Marzo";"7.611"
"2006";"Abril";"7.297"
"2006";"Mayo";"7.182"
"2006";"Junio";"6.939"
"2006";"Julio";"6.899"
"2006";"Agosto";"5.798"
"2006";"Septiembre";"5.838"
"2006";"Octubre";"5.957"
"2006";"Noviembre";"6.149"
"2006";"Diciembre";"6.076"
"2007";"Enero";"6.339"
"2007";"Febrero";"7.622"
"2007";"Marzo";"7.668"
"2007";"Abril";"7.708"
"2007";"Mayo";"7.374"
"2007";"Junio";"7.557"
"2007";"Julio";"6.608"
"2007";"Agosto";"6.222"
"2007";"Septiembre";"6.253"
"2007";"Octubre";"6.311"
"2007";"Noviembre";"6.539"
"2007";"Diciembre";"6.411"
"2008";"Enero";"7.859"
"2008";"Febrero";"8.612"
"2008";"Marzo";"8.395"
"2008";"Abril";"8.443"
"2008";"Mayo";"8.414"
"2008";"Junio";"8.494"
"2008";"Julio";"8.126"
"2008";"Agosto";"6.848"
"2008";"Septiembre";"6.893"
"2008";"Octubre";"7.145"
"2008";"Noviembre";"7.508"
"2008";"Diciembre";"7.709"
"2009";"Enero";"7.144"
"2009";"Febrero";"8.430"
"2009";"Marzo";"8.651"
"2009";"Abril";"8.818"
"2009";"Mayo";"8.712"
"2009";"Junio";"8.557"
"2009";"Julio";"8.878"
"2009";"Agosto";"8.458"
"2009";"Septiembre";"8.776"
"2009";"Octubre";"9.138"
"2009";"Noviembre";"8.312"
"2009";"Diciembre";"8.351"
"2010";"Enero";"8.527"
"2010";"Febrero";"8.884"
"2010";"Marzo";"9.230"
"2010";"Abril";"9.418"
"2010";"Mayo";"10.388"
"2010";"Junio";"10.293"
"2010";"Julio";"10.312"
"2010";"Agosto";"10.125"
"2010";"Septiembre";"10.429"
"2010";"Octubre";"10.664"
"2010";"Noviembre";"10.802"
"2010";"Diciembre";"9.913"
"2011";"Enero";"10.078"
"2011";"Febrero";"10.073"
"2011";"Marzo";"10.174"
"2011";"Abril";"10.272"
"2011";"Mayo";"10.354"
"2011";"Junio";"11.371"
"2011";"Julio";"11.408"
"2011";"Agosto";"11.384"
"2011";"Septiembre";"11.759"
"2011";"Octubre";"11.487"
"2011";"Noviembre";"10.619"
"2011";"Diciembre";"10.357"
"2012";"Enero";"10.464"
"2012";"Febrero";"10.840"
"2012";"Marzo";"11.063"
"2012";"Abril";"11.205"
"2012";"Mayo";"12.292"
"2012";"Junio";"12.145"
"2012";"Julio";"12.215"
"2012";"Agosto";"12.277"
"2012";"Septiembre";"12.680"
"2012";"Octubre";"12.843"
"2012";"Noviembre";"13.113"
"2012";"Diciembre";"12.605"
"2013";"Enero";"11.882"
"2013";"Febrero";"11.740"
"2013";"Marzo";"11.870"
"2013";"Abril";"12.182"
"2013";"Mayo";"12.374"
"2013";"Junio";"12.582"
"2013";"Julio";"13.448"
"2013";"Agosto";"13.268"
"2013";"Septiembre";"13.713"
"2013";"Octubre";"13.475"
"2013";"Noviembre";"12.566"
"2013";"Diciembre";"12.196"
"2014";"Enero";"12.576"
"2014";"Febrero";"12.635"
"2014";"Marzo";"12.871"
"2014";"Abril";"12.781"
"2014";"Mayo";"12.805"
"2014";"Junio";"13.419"
"2014";"Julio";"13.285"
"2014";"Agosto";"13.158"
"2014";"Septiembre";"13.382"
"2014";"Octubre";"13.304"
"2014";"Noviembre";"13.327"
"2014";"Diciembre";"12.685"
"2015";"Enero";"12.443"
"2015";"Febrero";"12.126"
"2015";"Marzo";"12.327"
"2015";"Abril";"12.364"
"2015";"Mayo";"12.191"
"2015";"Junio";"12.375"
"2015";"Julio";"12.454"
"2015";"Agosto";"12.412"
"2015";"Septiembre";"12.734"
"2015";"Octubre";"12.934"
"2015";"Noviembre";"12.330"
"2015";"Diciembre";"12.012"
"2016";"Enero";"12.104"
"2016";"Febrero";"11.723"
"2016";"Marzo";"11.682"
"2016";"Abril";"11.783"
"2016";"Mayo";"11.591"
"2016";"Junio";"11.902"
"2016";"Julio";"11.630"
"2016";"Agosto";"11.552"
"2016";"Septiembre";"11.541"
"2016";"Octubre";"11.467"
"2016";"Noviembre";"11.360"
"2016";"Diciembre";"11.048"
"2017";"Enero";"10.805"
"2017";"Febrero";"10.931"
"2017";"Marzo";"11.605"
"2017";"Abril";"11.767"
"2017";"Mayo";"11.663"
"2017";"Junio";"11.380"
"2017";"Julio";"11.244"
"2017";"Agosto";"11.158"
"2017";"Septiembre";"10.356"
"2017";"Octubre";"10.345"
"2017";"Noviembre";"10.275"
"2017";"Diciembre";"9.397"
"2018";"Enero";"9.081"
"2018";"Febrero";"9.036"
"2018";"Marzo";"9.030"
"2018";"Abril";"9.219"
"2018";"Mayo";"10.083"
"2018";"Junio";"10.328"
"2018";"Julio";"10.156"
"2018";"Agosto";"10.002"
"2018";"Septiembre";"10.095"
"2018";"Octubre";"10.024"
"2018";"Noviembre";"8.823"
"2018";"Diciembre";"8.463"
"2019";"Enero";"8.376"
"2019";"Febrero";"8.767"
"2019";"Marzo";"9.167"
"2019";"Abril";"9.268"
"2019";"Mayo";"9.164"
"2019";"Junio";"9.102"
"2019";"Julio";"9.845"
"2019";"Agosto";"9.709"
"2019";"Septiembre";"9.875"
"2019";"Octubre";"9.985"
"2019";"Noviembre";"10.052"
"2019";"Diciembre";"9.627"
"2020";"Enero";"9.332"
"2020";"Febrero";"9.329"
;;
;;
"Métrica":"Paro registrado"
"Fuente":"Ministerio de Empleo y Seguridad Social"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/paro/b0eea2e9-e5c9-4f05-bd70-8dc6150db238/melilla/305"
"Titulo":"El paro registrado en Melilla﻿"
"Subtitulo":""
