"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"41.312"
"2005";"Junio";"40.955"
"2005";"Julio";"41.966"
"2005";"Agosto";"44.313"
"2005";"Septiembre";"44.197"
"2005";"Octubre";"44.313"
"2005";"Noviembre";"44.209"
"2005";"Diciembre";"44.572"
"2006";"Enero";"46.584"
"2006";"Febrero";"47.695"
"2006";"Marzo";"46.379"
"2006";"Abril";"43.833"
"2006";"Mayo";"41.465"
"2006";"Junio";"41.959"
"2006";"Julio";"43.226"
"2006";"Agosto";"45.543"
"2006";"Septiembre";"44.472"
"2006";"Octubre";"44.056"
"2006";"Noviembre";"43.451"
"2006";"Diciembre";"43.591"
"2007";"Enero";"45.295"
"2007";"Febrero";"45.982"
"2007";"Marzo";"45.112"
"2007";"Abril";"44.471"
"2007";"Mayo";"42.981"
"2007";"Junio";"43.481"
"2007";"Julio";"45.188"
"2007";"Agosto";"48.922"
"2007";"Septiembre";"47.807"
"2007";"Octubre";"48.669"
"2007";"Noviembre";"49.895"
"2007";"Diciembre";"51.623"
"2008";"Enero";"56.594"
"2008";"Febrero";"60.261"
"2008";"Marzo";"57.813"
"2008";"Abril";"59.923"
"2008";"Mayo";"61.724"
"2008";"Junio";"64.512"
"2008";"Julio";"68.632"
"2008";"Agosto";"74.199"
"2008";"Septiembre";"76.345"
"2008";"Octubre";"80.977"
"2008";"Noviembre";"86.189"
"2008";"Diciembre";"90.956"
"2009";"Enero";"97.659"
"2009";"Febrero";"101.894"
"2009";"Marzo";"105.889"
"2009";"Abril";"107.773"
"2009";"Mayo";"106.737"
"2009";"Junio";"106.148"
"2009";"Julio";"108.019"
"2009";"Agosto";"112.649"
"2009";"Septiembre";"115.268"
"2009";"Octubre";"118.286"
"2009";"Noviembre";"119.433"
"2009";"Diciembre";"122.285"
"2010";"Enero";"126.313"
"2010";"Febrero";"129.443"
"2010";"Marzo";"130.755"
"2010";"Abril";"129.828"
"2010";"Mayo";"128.402"
"2010";"Junio";"125.109"
"2010";"Julio";"124.382"
"2010";"Agosto";"127.535"
"2010";"Septiembre";"129.231"
"2010";"Octubre";"128.743"
"2010";"Noviembre";"129.202"
"2010";"Diciembre";"128.935"
"2011";"Enero";"133.127"
"2011";"Febrero";"136.739"
"2011";"Marzo";"137.495"
"2011";"Abril";"135.299"
"2011";"Mayo";"131.027"
"2011";"Junio";"130.027"
