"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"21.207"
"2005";"Junio";"21.338"
"2005";"Julio";"22.199"
"2005";"Agosto";"21.975"
"2005";"Septiembre";"21.194"
"2005";"Octubre";"21.416"
"2005";"Noviembre";"21.506"
"2005";"Diciembre";"22.292"
"2006";"Enero";"23.448"
"2006";"Febrero";"23.463"
"2006";"Marzo";"22.218"
"2006";"Abril";"21.041"
"2006";"Mayo";"19.937"
"2006";"Junio";"19.781"
"2006";"Julio";"20.552"
"2006";"Agosto";"20.530"
"2006";"Septiembre";"19.999"
"2006";"Octubre";"19.777"
"2006";"Noviembre";"20.029"
"2006";"Diciembre";"21.060"
"2007";"Enero";"22.509"
"2007";"Febrero";"22.265"
"2007";"Marzo";"21.611"
"2007";"Abril";"19.938"
"2007";"Mayo";"18.845"
"2007";"Junio";"19.196"
"2007";"Julio";"20.285"
"2007";"Agosto";"20.477"
"2007";"Septiembre";"20.011"
"2007";"Octubre";"20.223"
"2007";"Noviembre";"20.768"
"2007";"Diciembre";"21.575"
"2008";"Enero";"23.765"
"2008";"Febrero";"24.592"
"2008";"Marzo";"23.586"
"2008";"Abril";"22.968"
"2008";"Mayo";"22.287"
"2008";"Junio";"22.737"
"2008";"Julio";"23.942"
"2008";"Agosto";"24.458"
"2008";"Septiembre";"24.985"
"2008";"Octubre";"27.386"
"2008";"Noviembre";"30.168"
"2008";"Diciembre";"32.956"
"2009";"Enero";"36.375"
"2009";"Febrero";"37.379"
"2009";"Marzo";"38.311"
"2009";"Abril";"38.459"
"2009";"Mayo";"37.832"
"2009";"Junio";"37.581"
"2009";"Julio";"37.730"
"2009";"Agosto";"37.391"
"2009";"Septiembre";"37.353"
"2009";"Octubre";"38.737"
"2009";"Noviembre";"39.249"
"2009";"Diciembre";"40.653"
"2010";"Enero";"43.278"
"2010";"Febrero";"43.770"
"2010";"Marzo";"43.753"
"2010";"Abril";"42.372"
"2010";"Mayo";"41.696"
"2010";"Junio";"40.917"
"2010";"Julio";"40.941"
"2010";"Agosto";"40.866"
"2010";"Septiembre";"41.374"
"2010";"Octubre";"42.036"
"2010";"Noviembre";"42.463"
"2010";"Diciembre";"43.011"
"2011";"Enero";"45.150"
"2011";"Febrero";"45.866"
"2011";"Marzo";"45.305"
"2011";"Abril";"43.790"
"2011";"Mayo";"42.772"
"2011";"Junio";"41.700"
"2011";"Julio";"41.744"
"2011";"Agosto";"41.407"
"2011";"Septiembre";"42.618"
"2011";"Octubre";"44.771"
"2011";"Noviembre";"45.839"
"2011";"Diciembre";"46.946"
"2012";"Enero";"50.149"
"2012";"Febrero";"51.944"
"2012";"Marzo";"51.552"
"2012";"Abril";"50.905"
"2012";"Mayo";"49.549"
"2012";"Junio";"48.813"
"2012";"Julio";"48.787"
"2012";"Agosto";"48.352"
"2012";"Septiembre";"49.677"
"2012";"Octubre";"50.993"
"2012";"Noviembre";"51.849"
"2012";"Diciembre";"51.944"
"2013";"Enero";"55.597"
"2013";"Febrero";"56.524"
"2013";"Marzo";"56.486"
"2013";"Abril";"54.444"
"2013";"Mayo";"53.185"
"2013";"Junio";"51.421"
"2013";"Julio";"50.979"
"2013";"Agosto";"50.725"
"2013";"Septiembre";"50.407"
"2013";"Octubre";"50.922"
"2013";"Noviembre";"51.278"
"2013";"Diciembre";"51.488"
"2014";"Enero";"53.163"
"2014";"Febrero";"53.082"
"2014";"Marzo";"52.424"
"2014";"Abril";"50.745"
"2014";"Mayo";"49.156"
"2014";"Junio";"47.107"
"2014";"Julio";"46.747"
"2014";"Agosto";"46.202"
"2014";"Septiembre";"46.206"
"2014";"Octubre";"47.019"
"2014";"Noviembre";"47.506"
"2014";"Diciembre";"47.786"
"2015";"Enero";"49.428"
"2015";"Febrero";"49.049"
"2015";"Marzo";"48.427"
"2015";"Abril";"46.370"
"2015";"Mayo";"44.676"
"2015";"Junio";"42.911"
"2015";"Julio";"42.330"
"2015";"Agosto";"41.767"
"2015";"Septiembre";"41.243"
"2015";"Octubre";"41.996"
"2015";"Noviembre";"41.946"
"2015";"Diciembre";"43.143"
"2016";"Enero";"45.113"
"2016";"Febrero";"45.096"
"2016";"Marzo";"44.119"
"2016";"Abril";"42.879"
"2016";"Mayo";"41.175"
"2016";"Junio";"39.658"
"2016";"Julio";"39.606"
"2016";"Agosto";"38.899"
"2016";"Septiembre";"39.282"
"2016";"Octubre";"38.696"
"2016";"Noviembre";"38.916"
"2016";"Diciembre";"40.045"
"2017";"Enero";"41.242"
"2017";"Febrero";"40.720"
"2017";"Marzo";"40.353"
"2017";"Abril";"38.375"
"2017";"Mayo";"36.773"
"2017";"Junio";"35.938"
"2017";"Julio";"36.133"
"2017";"Agosto";"35.951"
"2017";"Septiembre";"35.295"
"2017";"Octubre";"35.319"
"2017";"Noviembre";"35.221"
"2017";"Diciembre";"35.732"
"2018";"Enero";"36.657"
"2018";"Febrero";"36.088"
"2018";"Marzo";"35.910"
"2018";"Abril";"34.519"
"2018";"Mayo";"33.336"
"2018";"Junio";"32.054"
"2018";"Julio";"32.569"
"2018";"Agosto";"32.664"
"2018";"Septiembre";"33.115"
"2018";"Octubre";"33.178"
"2018";"Noviembre";"33.015"
"2018";"Diciembre";"32.842"
"2019";"Enero";"33.579"
"2019";"Febrero";"33.839"
"2019";"Marzo";"33.693"
"2019";"Abril";"32.581"
"2019";"Mayo";"31.263"
"2019";"Junio";"30.376"
"2019";"Julio";"31.002"
"2019";"Agosto";"31.083"
"2019";"Septiembre";"30.437"
"2019";"Octubre";"31.858"
"2019";"Noviembre";"32.416"
"2019";"Diciembre";"33.198"
"2020";"Enero";"33.872"
"2020";"Febrero";"33.975"
;;
;;
"Métrica":"Paro registrado"
"Fuente":"Ministerio de Empleo y Seguridad Social"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/paro/b0eea2e9-e5c9-4f05-bd70-8dc6150db238/navarra/307"
"Titulo":"El paro registrado en Navarra, Comunidad Foral de﻿"
"Subtitulo":""
