"Año";"Periodo";"Paro registrado"
"2005";"Mayo";"80.632"
"2005";"Junio";"78.795"
"2005";"Julio";"81.389"
"2005";"Agosto";"84.766"
"2005";"Septiembre";"81.020"
"2005";"Octubre";"81.852"
"2005";"Noviembre";"83.241"
"2005";"Diciembre";"83.390"
"2006";"Enero";"89.550"
"2006";"Febrero";"89.859"
"2006";"Marzo";"88.346"
"2006";"Abril";"85.185"
"2006";"Mayo";"80.331"
"2006";"Junio";"76.039"
"2006";"Julio";"76.311"
"2006";"Agosto";"78.864"
"2006";"Septiembre";"76.409"
"2006";"Octubre";"76.227"
"2006";"Noviembre";"76.190"
"2006";"Diciembre";"76.203"
"2007";"Enero";"80.685"
"2007";"Febrero";"80.960"
"2007";"Marzo";"80.157"
"2007";"Abril";"77.946"
"2007";"Mayo";"72.900"
"2007";"Junio";"70.955"
"2007";"Julio";"72.224"
"2007";"Agosto";"75.514"
"2007";"Septiembre";"73.448"
"2007";"Octubre";"73.741"
"2007";"Noviembre";"74.432"
"2007";"Diciembre";"74.582"
"2008";"Enero";"81.393"
"2008";"Febrero";"83.319"
"2008";"Marzo";"82.588"
"2008";"Abril";"81.705"
"2008";"Mayo";"80.011"
"2008";"Junio";"79.001"
"2008";"Julio";"78.845"
"2008";"Agosto";"81.910"
"2008";"Septiembre";"82.997"
"2008";"Octubre";"87.837"
"2008";"Noviembre";"94.738"
"2008";"Diciembre";"100.637"
"2009";"Enero";"110.093"
"2009";"Febrero";"115.653"
"2009";"Marzo";"121.090"
"2009";"Abril";"122.111"
"2009";"Mayo";"118.744"
"2009";"Junio";"116.098"
"2009";"Julio";"116.704"
"2009";"Agosto";"120.318"
"2009";"Septiembre";"123.394"
"2009";"Octubre";"125.589"
"2009";"Noviembre";"127.454"
"2009";"Diciembre";"128.201"
"2010";"Enero";"135.687"
"2010";"Febrero";"137.143"
"2010";"Marzo";"138.125"
"2010";"Abril";"134.300"
"2010";"Mayo";"129.648"
"2010";"Junio";"126.365"
"2010";"Julio";"125.832"
"2010";"Agosto";"129.293"
"2010";"Septiembre";"130.549"
"2010";"Octubre";"132.345"
"2010";"Noviembre";"133.051"
"2010";"Diciembre";"135.961"
"2011";"Enero";"143.118"
"2011";"Febrero";"145.456"
"2011";"Marzo";"151.551"
"2011";"Abril";"153.155"
"2011";"Mayo";"148.347"
"2011";"Junio";"144.414"
"2011";"Julio";"140.097"
"2011";"Agosto";"140.729"
"2011";"Septiembre";"141.906"
"2011";"Octubre";"142.601"
"2011";"Noviembre";"144.974"
"2011";"Diciembre";"145.394"
"2012";"Enero";"155.867"
"2012";"Febrero";"159.330"
"2012";"Marzo";"161.918"
"2012";"Abril";"161.896"
"2012";"Mayo";"160.908"
"2012";"Junio";"158.080"
"2012";"Julio";"157.811"
"2012";"Agosto";"160.125"
"2012";"Septiembre";"164.139"
"2012";"Octubre";"168.078"
"2012";"Noviembre";"171.069"
"2012";"Diciembre";"169.083"
"2013";"Enero";"175.281"
"2013";"Febrero";"178.006"
"2013";"Marzo";"179.341"
"2013";"Abril";"178.589"
"2013";"Mayo";"178.218"
"2013";"Junio";"174.013"
"2013";"Julio";"171.593"
"2013";"Agosto";"173.107"
"2013";"Septiembre";"176.486"
"2013";"Octubre";"178.267"
"2013";"Noviembre";"174.700"
"2013";"Diciembre";"167.374"
"2014";"Enero";"174.171"
"2014";"Febrero";"176.036"
"2014";"Marzo";"178.148"
