Comunidad,Año,Trimestre,Tipo de delito,Denuncias
Andalucía,2013,1,Homicidios dolosos y asesinatos consumados,14
Andalucía,2013,1,Hurtos,31041
Andalucía,2013,1,"Robos con fuerza, violencia o intimidación",21705
Andalucía,2013,1,Sustracciones de vehículos,2340
Andalucía,2013,1,Tráfico de drogas,729
Andalucía,2013,1,Otros,93015
Aragón,2013,1,Homicidios dolosos y asesinatos consumados,1
Aragón,2013,1,Hurtos,3751
Aragón,2013,1,"Robos con fuerza, violencia o intimidación",2495
Aragón,2013,1,Sustracciones de vehículos,155
Aragón,2013,1,Tráfico de drogas,72
Aragón,2013,1,Otros,11154
Principado de Asturias,2013,1,Homicidios dolosos y asesinatos consumados,1
Principado de Asturias,2013,1,Hurtos,2555
Principado de Asturias,2013,1,"Robos con fuerza, violencia o intimidación",1176
Principado de Asturias,2013,1,Sustracciones de vehículos,138
Principado de Asturias,2013,1,Tráfico de drogas,33
Principado de Asturias,2013,1,Otros,8016
Islas Baleares,2013,1,Homicidios dolosos y asesinatos consumados,4
Islas Baleares,2013,1,Hurtos,3943
Islas Baleares,2013,1,"Robos con fuerza, violencia o intimidación",2420
Islas Baleares,2013,1,Sustracciones de vehículos,301
Islas Baleares,2013,1,Tráfico de drogas,71
Islas Baleares,2013,1,Otros,12108
Canarias,2013,1,Homicidios dolosos y asesinatos consumados,6
Canarias,2013,1,Hurtos,9807
Canarias,2013,1,"Robos con fuerza, violencia o intimidación",4674
Canarias,2013,1,Sustracciones de vehículos,555
Canarias,2013,1,Tráfico de drogas,164
Canarias,2013,1,Otros,25299
Cantabria,2013,1,Homicidios dolosos y asesinatos consumados,0
Cantabria,2013,1,Hurtos,1364
Cantabria,2013,1,"Robos con fuerza, violencia o intimidación",823
Cantabria,2013,1,Sustracciones de vehículos,71
Cantabria,2013,1,Tráfico de drogas,14
Cantabria,2013,1,Otros,4162
Castilla y León,2013,1,Homicidios dolosos y asesinatos consumados,6
Castilla y León,2013,1,Hurtos,6990
Castilla y León,2013,1,"Robos con fuerza, violencia o intimidación",3714
Castilla y León,2013,1,Sustracciones de vehículos,173
Castilla y León,2013,1,Tráfico de drogas,70
Castilla y León,2013,1,Otros,19642
Castilla-La Mancha,2013,1,Homicidios dolosos y asesinatos consumados,5
Castilla-La Mancha,2013,1,Hurtos,4495
Castilla-La Mancha,2013,1,"Robos con fuerza, violencia o intimidación",5590
Castilla-La Mancha,2013,1,Sustracciones de vehículos,341
Castilla-La Mancha,2013,1,Tráfico de drogas,83
Castilla-La Mancha,2013,1,Otros,18449
Cataluña,2013,1,Homicidios dolosos y asesinatos consumados,9
Cataluña,2013,1,Hurtos,37503
Cataluña,2013,1,"Robos con fuerza, violencia o intimidación",29139
Cataluña,2013,1,Sustracciones de vehículos,2636
Cataluña,2013,1,Tráfico de drogas,463
Cataluña,2013,1,Otros,104205
Comunidad Valenciana,2013,1,Homicidios dolosos y asesinatos consumados,10
Comunidad Valenciana,2013,1,Hurtos,20355
Comunidad Valenciana,2013,1,"Robos con fuerza, violencia o intimidación",17659
Comunidad Valenciana,2013,1,Sustracciones de vehículos,1392
Comunidad Valenciana,2013,1,Tráfico de drogas,361
Comunidad Valenciana,2013,1,Otros,65109
